assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,14,0,11.8,147,7,3,0,2.8,14.8,2020-09-14 19:15:00+00:00,90,5,0,0,0,0,1,0,187445,3,1,1.0,1,0,0,0,45,True,0,2,Adam Webster,3,CHE,1300,1310,BHA,1150,1100,0,2020
0,0,21,1,1.0,147,16,0,0,1.1,10.0,2020-09-20 13:00:00+00:00,90,14,0,0,0,0,2,0,171745,3,0,0.0,6,-17741,2892,20633,45,False,0,2,Adam Webster,3,NEW,1050,1030,BHA,1190,1130,0,2020
0,0,12,0,0.8,147,19,3,0,3.0,12.4,2020-09-26 11:30:00+00:00,90,13,0,0,0,0,3,0,173190,3,2,17.0,1,-4037,15990,20027,45,True,0,2,Adam Webster,3,MUN,1280,1310,BHA,1150,1100,0,2020
0,0,10,0,5.0,147,32,4,0,3.2,6.8,2020-10-03 14:00:00+00:00,90,7,0,0,0,0,4,0,163327,2,4,20.0,0,-10365,4263,14628,45,False,0,2,Adam Webster,3,EVE,1130,1200,BHA,1190,1130,0,2020
0,0,11,0,13.4,147,40,1,0,6.5,16.0,2020-10-18 13:00:00+00:00,90,6,0,0,0,0,5,0,152098,1,1,36.0,2,-12528,6669,19197,45,False,0,2,Adam Webster,3,CRY,1030,1010,BHA,1190,1130,0,2020
0,0,10,0,1.8,147,51,1,0,1.8,16.6,2020-10-26 17:30:00+00:00,90,18,0,0,0,0,6,0,148601,1,1,0.0,1,-4912,5979,10891,45,True,1,2,Adam Webster,3,WBA,1000,1040,BHA,1150,1100,0,2020
0,0,12,0,2.8,147,67,2,0,4.0,15.8,2020-11-01 19:15:00+00:00,90,17,0,0,0,0,7,0,139948,1,2,21.0,1,-8627,826,9453,45,False,0,2,Adam Webster,3,TOT,1130,1250,BHA,1190,1130,0,2020
0,0,20,1,1.4,147,70,0,0,0.8,2.8,2020-11-06 17:30:00+00:00,90,4,0,0,0,0,8,0,140229,0,0,4.0,6,-1722,6272,7994,44,True,0,2,Adam Webster,3,BUR,1090,1080,BHA,1150,1100,0,2020
0,0,13,0,0.3,147,79,1,0,2.3,20.4,2020-11-21 15:00:00+00:00,90,2,0,0,0,0,9,0,135354,2,1,2.0,2,-4281,4367,8648,44,False,0,2,Adam Webster,3,AVL,1120,1080,BHA,1190,1130,0,2020
0,0,11,0,0.8,147,90,1,0,1.6,8.8,2020-11-28 12:30:00+00:00,90,11,0,0,0,0,10,0,131297,1,1,6.0,2,-4479,1922,6401,44,True,0,2,Adam Webster,3,LIV,1210,1230,BHA,1150,1100,0,2020
0,0,9,0,1.5,147,100,2,0,1.8,12.6,2020-12-07 20:00:00+00:00,90,16,0,0,0,0,11,0,130815,2,1,4.0,1,-1258,4287,5545,44,True,0,2,Adam Webster,3,SOU,1110,1160,BHA,1150,1100,0,2020
0,0,0,0,0.0,147,114,0,0,0.0,0.0,2020-12-13 19:15:00+00:00,0,9,0,0,0,0,12,0,127371,0,3,0.0,0,-3445,1964,5409,44,False,0,2,Adam Webster,3,LEI,1190,1150,BHA,1190,1130,0,2020
0,0,24,1,11.8,147,121,0,0,3.3,15.6,2020-12-16 20:00:00+00:00,90,8,0,0,0,0,13,0,125038,0,0,6.0,6,-2686,2600,5286,44,False,0,2,Adam Webster,3,FUL,1150,1040,BHA,1190,1130,0,2020
0,0,11,0,3.7,147,129,1,0,4.9,15.6,2020-12-20 12:00:00+00:00,90,15,0,0,0,0,14,0,136912,1,1,30.0,2,10711,13571,2860,44,True,0,2,Adam Webster,3,SHU,1070,1010,BHA,1150,1100,0,2020
0,0,16,0,2.3,147,147,2,0,5.5,25.8,2020-12-27 14:15:00+00:00,90,19,0,0,0,0,15,0,132475,2,2,27.0,1,-3951,4698,8649,44,False,0,2,Adam Webster,3,WHU,1140,1260,BHA,1190,1130,0,2020
