assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,875,5,0,0,0.0,0.0,2020-09-13 13:00:00+00:00,0,27,0,0,0,0,1,0,1369,3,0,0.0,0,0,0,0,45,False,0,2,Christian Fuchs,11,WBA,1040,1050,LEI,1150,1230,0,2020
0,0,0,0,0.0,875,14,0,0,0.0,0.0,2020-09-20 18:00:00+00:00,0,21,0,0,0,0,2,0,5420,2,4,0.0,0,668,1032,364,45,True,0,2,Christian Fuchs,11,BUR,1090,1080,LEI,1190,1150,0,2020
0,0,3,0,0.0,875,24,1,0,0.6,6.0,2020-09-27 15:30:00+00:00,10,13,0,0,0,0,3,0,7420,5,2,0.0,1,254,1284,1030,45,False,0,2,Christian Fuchs,11,MCI,1280,1340,LEI,1150,1230,0,2020
0,0,0,0,0.0,875,34,0,0,0.0,0.0,2020-10-04 11:00:00+00:00,0,19,0,0,0,0,4,0,8961,3,0,0.0,0,412,1338,926,45,True,0,2,Christian Fuchs,11,WHU,1190,1290,LEI,1190,1150,0,2020
0,0,0,0,0.0,875,43,0,0,0.0,0.0,2020-10-18 18:15:00+00:00,0,2,0,0,0,0,5,0,9447,1,0,0.0,0,-246,807,1053,45,True,0,2,Christian Fuchs,11,AVL,1140,1100,LEI,1190,1150,0,2020
0,1,23,1,3.0,875,49,0,0,2.4,21.0,2020-10-25 19:15:00+00:00,90,1,0,0,0,0,6,0,9551,1,0,0.0,6,-216,592,808,45,False,1,2,Christian Fuchs,11,ARS,1130,1220,LEI,1150,1230,0,2020
0,0,11,0,1.4,875,62,1,0,1.7,16.0,2020-11-02 20:00:00+00:00,90,24,0,0,0,0,7,0,11091,4,1,0.0,2,973,1485,512,45,False,0,2,Christian Fuchs,11,LEE,1060,1210,LEI,1150,1230,0,2020
0,1,24,1,1.4,875,74,0,0,3.1,20.6,2020-11-08 14:00:00+00:00,90,20,0,0,0,0,8,0,12624,0,1,9.0,7,1066,1697,631,45,True,0,2,Christian Fuchs,11,WOL,1130,1120,LEI,1190,1150,0,2020
0,0,9,0,0.1,875,83,2,0,1.5,15.0,2020-11-22 19:15:00+00:00,61,12,0,0,0,0,9,0,18174,0,3,0.0,1,4420,5791,1371,45,False,0,2,Christian Fuchs,11,LIV,1190,1300,LEI,1150,1230,0,2020
0,0,7,0,15.1,875,94,2,0,4.3,25.8,2020-11-30 17:30:00+00:00,90,9,0,0,0,0,10,0,29093,2,1,2.0,1,9131,10594,1463,45,True,0,2,Christian Fuchs,11,FUL,1110,1060,LEI,1190,1150,0,2020
