assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1033,4,0,0,0.0,0.0,2020-09-13 15:30:00+00:00,0,7,0,0,0,0,1,0,62607,1,0,0.0,0,0,0,0,55,True,0,2,Davinson Sánchez,17,EVE,1100,1140,TOT,1130,1250,0,2020
0,0,8,0,0.2,1033,17,2,0,1.1,11.2,2020-09-20 11:00:00+00:00,90,16,0,0,0,0,2,0,62588,5,2,0.0,1,-10521,1670,12191,55,False,0,2,Davinson Sánchez,17,SOU,1030,1110,TOT,1170,1290,0,2020
0,0,11,0,1.4,1033,26,1,0,6.7,13.2,2020-09-27 13:00:00+00:00,90,14,0,0,0,0,3,0,66672,1,1,52.0,2,-2613,5021,7634,55,True,0,2,Davinson Sánchez,17,NEW,1060,1110,TOT,1130,1250,0,2020
0,0,11,0,0.4,1033,35,1,0,5.0,15.6,2020-10-04 15:30:00+00:00,90,13,0,0,0,0,4,0,65080,6,1,34.0,2,-4008,1692,5700,54,False,0,2,Davinson Sánchez,17,MUN,1250,1240,TOT,1170,1290,0,2020
0,0,7,0,0.1,1033,47,3,0,1.5,15.0,2020-10-18 15:30:00+00:00,90,19,1,0,0,0,5,0,68827,3,3,0.0,-1,114,5242,5128,54,True,0,2,Davinson Sánchez,17,WHU,1190,1290,TOT,1130,1250,0,2020
0,0,0,0,0.0,1033,52,0,0,0.0,0.0,2020-10-26 20:00:00+00:00,0,4,0,0,0,0,6,0,68403,1,0,0.0,0,-1440,3535,4975,54,False,0,2,Davinson Sánchez,17,BUR,1040,1040,TOT,1170,1290,0,2020
0,0,0,0,0.0,1033,67,0,0,0.0,0.0,2020-11-01 19:15:00+00:00,0,3,0,0,0,0,7,0,66996,1,2,0.0,0,-2421,2085,4506,54,True,0,2,Davinson Sánchez,17,BHA,1190,1130,TOT,1130,1250,0,2020
0,0,0,0,0.0,1033,77,0,0,0.0,0.0,2020-11-08 12:00:00+00:00,0,18,0,0,0,0,8,0,63840,1,0,0.0,0,-3784,1251,5035,54,False,0,2,Davinson Sánchez,17,WBA,1040,1050,TOT,1170,1290,0,2020
0,0,0,0,0.0,1033,87,0,0,0.0,0.0,2020-11-21 17:30:00+00:00,0,12,0,0,0,0,9,0,60366,0,2,0.0,0,-4179,798,4977,54,True,0,2,Davinson Sánchez,17,MCI,1320,1350,TOT,1130,1250,0,2020
0,0,0,0,0.0,1033,91,0,0,0.0,0.0,2020-11-29 16:30:00+00:00,0,5,0,0,0,0,10,0,59242,0,0,0.0,0,-1802,1152,2954,53,False,0,2,Davinson Sánchez,17,CHE,1260,1250,TOT,1170,1290,0,2020
0,0,0,0,0.0,1033,106,0,0,0.0,0.0,2020-12-06 16:30:00+00:00,0,1,0,0,0,0,11,0,58330,0,2,0.0,0,-1547,1292,2839,53,True,0,2,Davinson Sánchez,17,ARS,1150,1210,TOT,1130,1250,0,2020
0,0,0,0,0.0,1033,110,0,0,0.0,0.0,2020-12-13 14:15:00+00:00,0,6,0,0,0,0,12,0,56957,1,1,0.0,0,-1769,836,2605,53,False,0,2,Davinson Sánchez,17,CRY,1030,1010,TOT,1170,1290,0,2020
0,0,0,0,0.0,1033,127,0,0,0.0,0.0,2020-12-16 20:00:00+00:00,0,11,0,0,0,0,13,0,55914,1,2,0.0,0,-1317,294,1611,53,False,0,2,Davinson Sánchez,17,LIV,1190,1300,TOT,1170,1290,0,2020
0,0,0,0,0.0,1033,137,0,0,0.0,0.0,2020-12-20 14:15:00+00:00,0,9,0,0,0,0,14,0,55043,2,0,0.0,0,-1089,381,1470,53,True,0,2,Davinson Sánchez,17,LEI,1150,1230,TOT,1130,1250,0,2020
0,0,14,0,1.6,1033,148,1,0,2.3,19.0,2020-12-27 19:15:00+00:00,90,20,0,0,0,0,15,0,54300,1,1,2.0,2,-1176,687,1863,53,False,0,2,Davinson Sánchez,17,WOL,1120,1040,TOT,1170,1290,0,2020
0,0,0,0,0.0,1033,167,0,0,0.0,0.0,2021-01-02 12:30:00+00:00,0,10,0,0,0,0,17,0,54938,0,3,0.0,0,-274,574,848,53,True,0,2,Davinson Sánchez,17,LEE,1150,1170,TOT,1130,1250,0,2020
0,0,13,0,0.6,1033,157,1,0,2.4,23.6,2021-01-13 20:15:00+00:00,90,8,0,0,0,0,18,0,54522,1,1,0.0,2,-1042,800,1842,52,True,0,2,Davinson Sánchez,17,FUL,1110,1060,TOT,1130,1250,0,2020
0,0,3,0,0.0,1033,186,0,0,0.0,0.0,2021-01-17 14:00:00+00:00,1,15,0,0,0,0,19,0,54228,3,1,0.0,1,-312,257,569,52,False,0,2,Davinson Sánchez,17,SHU,1020,1000,TOT,1170,1290,0,2020
0,0,0,0,0.0,1033,198,0,0,0.0,0.0,2021-01-28 20:00:00+00:00,0,11,0,0,0,0,20,0,53836,3,1,0.0,0,-797,334,1131,52,True,0,2,Davinson Sánchez,17,LIV,1210,1230,TOT,1130,1250,0,2020
