assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,462,8,0,0,0.0,0.0,2020-09-14 17:00:00+00:00,0,15,0,0,0,0,1,0,2930,2,0,0.0,0,0,0,0,55,False,0,2,Jonathan Castro Otto,20,1,SHU,1020,1000,WOL,1130,1120,0,2020
0,0,0,0,0.0,462,18,0,0,0.0,0.0,2020-09-21 19:15:00+00:00,0,12,0,0,0,0,2,0,2558,3,1,0.0,0,-620,84,704,55,True,0,2,Jonathan Castro Otto,20,2,MCI,1320,1350,WOL,1120,1040,0,2020
0,0,0,0,0.0,462,28,0,0,0.0,0.0,2020-09-27 18:00:00+00:00,0,19,0,0,0,0,3,0,2194,0,4,0.0,0,-481,115,596,55,False,0,2,Jonathan Castro Otto,20,3,WHU,1140,1260,WOL,1130,1120,0,2020
0,0,0,0,0.0,462,38,0,0,0.0,0.0,2020-10-04 13:00:00+00:00,0,8,0,0,0,0,4,0,1991,0,1,0.0,0,-253,66,319,54,True,0,2,Jonathan Castro Otto,20,4,FUL,1110,1060,WOL,1120,1040,0,2020
0,0,0,0,0.0,462,42,0,0,0.0,0.0,2020-10-19 19:00:00+00:00,0,10,0,0,0,0,5,0,1843,1,0,0.0,0,-182,62,244,54,False,0,2,Jonathan Castro Otto,20,5,LEE,1060,1210,WOL,1130,1120,0,2020
0,0,0,0,0.0,462,58,0,0,0.0,0.0,2020-10-25 16:30:00+00:00,0,14,0,0,0,0,6,0,1734,1,1,0.0,0,-120,38,158,54,True,0,2,Jonathan Castro Otto,20,6,NEW,1060,1110,WOL,1120,1040,0,2020
0,0,0,0,0.0,462,68,0,0,0.0,0.0,2020-10-30 20:00:00+00:00,0,6,0,0,0,0,7,0,1674,0,2,0.0,0,-71,40,111,54,True,0,2,Jonathan Castro Otto,20,7,CRY,1120,1020,WOL,1120,1040,0,2020
0,0,0,0,0.0,462,74,0,0,0.0,0.0,2020-11-08 14:00:00+00:00,0,9,0,0,0,0,8,0,1628,0,1,0.0,0,-60,32,92,54,False,0,2,Jonathan Castro Otto,20,8,LEI,1190,1150,WOL,1130,1120,0,2020
0,0,0,0,0.0,462,88,0,0,0.0,0.0,2020-11-23 20:00:00+00:00,0,16,0,0,0,0,9,0,1583,1,1,0.0,0,-57,42,99,54,True,0,2,Jonathan Castro Otto,20,9,SOU,1110,1160,WOL,1120,1040,0,2020
0,0,0,0,0.0,462,89,0,0,0.0,0.0,2020-11-29 19:15:00+00:00,0,1,0,0,0,0,10,0,1587,2,1,0.0,0,-5,36,41,54,False,0,2,Jonathan Castro Otto,20,10,ARS,1130,1220,WOL,1130,1120,0,2020
