assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,25,0,0.2,532,7,1,1,6.9,51.8,2020-09-14 19:15:00+00:00,90,5,0,0,0,0,1,0,53224,3,1,17.0,8,0,0,0,50,False,0,2,Kurt Zouma,6,BHA,1150,1100,CHE,1300,1310,0,2020
0,0,16,0,0.2,532,11,2,0,3.6,18.4,2020-09-20 15:30:00+00:00,90,12,0,0,0,0,2,0,89752,2,0,17.0,1,7097,15614,8517,50,True,0,2,Kurt Zouma,6,LIV,1210,1230,CHE,1260,1250,0,2020
0,0,0,0,0.0,532,27,0,0,0.0,0.0,2020-09-26 16:30:00+00:00,0,27,0,0,0,0,3,0,148022,3,3,0.0,0,33603,52299,18696,50,False,0,2,Kurt Zouma,6,WBA,1040,1050,CHE,1300,1310,0,2020
0,1,36,1,2.2,532,31,0,1,7.0,46.8,2020-10-03 11:30:00+00:00,90,7,0,0,0,0,4,0,124337,0,4,21.0,13,-23094,6291,29385,50,True,0,2,Kurt Zouma,6,CRY,1120,1020,CHE,1260,1250,0,2020
0,0,15,0,0.7,532,39,3,0,4.8,28.0,2020-10-17 14:00:00+00:00,90,17,0,0,0,0,5,0,312917,3,3,19.0,1,139084,165810,26726,50,True,0,2,Kurt Zouma,6,SOU,1110,1160,CHE,1260,1250,0,2020
0,3,33,1,11.3,532,55,0,0,4.1,27.8,2020-10-24 16:30:00+00:00,90,14,0,0,0,0,6,0,290727,0,0,2.0,9,-9060,28838,37898,50,False,0,2,Kurt Zouma,6,MUN,1250,1240,CHE,1300,1310,0,2020
0,2,37,1,0.3,532,60,0,1,6.1,43.6,2020-10-31 15:00:00+00:00,90,21,0,0,0,0,7,0,544259,3,0,17.0,14,226234,238536,12302,51,False,0,2,Kurt Zouma,6,BUR,1040,1040,CHE,1300,1310,0,2020
0,0,12,0,0.8,532,71,1,0,1.8,15.4,2020-11-07 17:30:00+00:00,90,23,0,0,0,0,8,0,1126522,1,4,2.0,2,548818,561350,12532,53,True,0,2,Kurt Zouma,6,SHU,1070,1010,CHE,1260,1250,0,2020
0,0,26,1,2.2,532,85,0,0,3.0,22.0,2020-11-21 12:30:00+00:00,90,15,0,0,0,0,9,0,1375103,2,0,6.0,6,230257,287310,57053,54,False,0,2,Kurt Zouma,6,NEW,1050,1030,CHE,1300,1310,0,2020
0,0,21,1,2.3,532,91,0,0,1.6,13.8,2020-11-29 16:30:00+00:00,90,18,0,0,0,0,10,0,1458690,0,0,0.0,5,98408,144943,46535,55,True,1,2,Kurt Zouma,6,TOT,1170,1290,CHE,1260,1250,0,2020
0,0,28,0,0.7,532,102,1,1,6.8,48.0,2020-12-05 20:00:00+00:00,90,24,0,0,0,0,11,0,1614934,1,3,19.0,8,132635,162105,29470,56,True,0,2,Kurt Zouma,6,LEE,1150,1170,CHE,1260,1250,0,2020
0,0,13,0,22.2,532,111,1,0,7.3,31.6,2020-12-12 20:00:00+00:00,90,8,0,0,0,0,12,0,1779480,0,1,19.0,2,151524,171846,20322,57,False,0,2,Kurt Zouma,6,EVE,1130,1200,CHE,1300,1310,0,2020
0,0,20,0,0.4,532,126,2,0,3.3,19.0,2020-12-15 18:00:00+00:00,90,20,0,0,0,0,13,0,1844843,1,2,14.0,1,57728,81968,24240,57,False,0,2,Kurt Zouma,6,WOL,1120,1040,CHE,1300,1310,0,2020
0,0,29,1,0.6,532,131,0,0,1.8,17.0,2020-12-21 20:00:00+00:00,90,19,0,0,0,0,14,0,1902184,0,3,0.0,6,48749,87171,38422,58,True,0,2,Kurt Zouma,6,WHU,1190,1290,CHE,1260,1250,0,2020
0,0,13,0,0.6,532,139,3,0,3.6,9.8,2020-12-26 17:30:00+00:00,90,1,0,0,0,0,15,0,2108037,1,3,26.0,1,186183,235506,49323,59,False,0,2,Kurt Zouma,6,ARS,1130,1220,CHE,1300,1310,0,2020
0,0,0,0,0.0,532,151,0,0,0.0,0.0,2020-12-28 17:30:00+00:00,0,2,0,0,0,0,16,0,2091158,1,1,0.0,0,-17379,54516,71895,59,True,0,2,Kurt Zouma,6,AVL,1140,1100,CHE,1260,1250,0,2020
0,0,13,0,1.2,532,161,3,0,2.5,23.6,2021-01-03 16:30:00+00:00,90,13,0,0,0,0,17,0,1942991,3,1,0.0,1,-152502,32040,184542,59,True,0,2,Kurt Zouma,6,MCI,1320,1350,CHE,1260,1250,0,2020
0,0,0,0,0.0,532,181,0,0,0.0,0.0,2021-01-16 17:30:00+00:00,0,9,0,0,0,0,19,0,1682489,1,0,0.0,0,-35229,59653,94882,58,False,0,2,Kurt Zouma,6,FUL,1150,1040,CHE,1300,1310,0,2020
0,0,0,0,0.0,532,173,0,0,0.0,0.0,2021-01-19 20:15:00+00:00,0,11,0,0,0,0,19,0,1682489,0,2,0.0,0,-35229,59653,94882,58,False,0,2,Kurt Zouma,6,LEI,1190,1150,CHE,1300,1310,0,2020
0,0,0,0,0.0,532,194,0,0,0.0,0.0,2021-01-27 18:00:00+00:00,0,20,0,0,0,0,20,0,1339984,0,0,0.0,0,-343608,10907,354515,57,True,0,2,Kurt Zouma,6,WOL,1130,1120,CHE,1260,1250,0,2020
0,0,0,0,0.0,532,201,0,0,0.0,0.0,2021-01-31 12:00:00+00:00,0,21,0,0,0,0,21,0,1121805,0,2,0.0,0,-221932,5864,227796,56,True,0,2,Kurt Zouma,6,BUR,1090,1080,CHE,1260,1250,0,2020
0,0,0,0,0.0,532,218,0,0,0.0,0.0,2021-02-04 20:00:00+00:00,0,18,0,0,0,0,22,0,972455,1,0,0.0,0,-151734,2815,154549,55,False,0,2,Kurt Zouma,6,TOT,1130,1250,CHE,1300,1310,0,2020
0,0,0,0,0.0,532,226,0,0,0.0,0.0,2021-02-07 19:15:00+00:00,0,23,0,0,0,0,23,0,836494,2,1,0.0,0,-137160,3066,140226,55,False,0,2,Kurt Zouma,6,SHU,1020,1000,CHE,1300,1310,0,2020
0,0,0,0,0.0,532,231,0,0,0.0,0.0,2021-02-15 20:00:00+00:00,0,15,0,0,0,0,24,0,749712,0,2,0.0,0,-86496,5325,91821,54,True,0,2,Kurt Zouma,6,NEW,1060,1110,CHE,1260,1250,0,2020
0,0,13,0,1.2,532,246,1,0,4.2,23.4,2021-02-20 12:30:00+00:00,90,17,0,0,0,0,25,0,718609,1,1,17.0,2,-36099,4395,40494,54,False,0,2,Kurt Zouma,6,SOU,1030,1110,CHE,1300,1310,0,2020
0,0,0,0,0.0,532,249,0,0,0.0,0.0,2021-02-28 16:30:00+00:00,0,14,0,0,0,0,26,0,693755,0,0,0.0,0,-25600,5235,30835,54,True,0,2,Kurt Zouma,6,MUN,1280,1310,CHE,1260,1250,0,2020
0,0,0,0,0.0,532,283,0,0,0.0,0.0,2021-03-04 20:15:00+00:00,0,12,0,0,0,0,26,0,693755,1,0,0.0,0,-25600,5235,30835,54,False,0,2,Kurt Zouma,6,LIV,1190,1300,CHE,1300,1310,0,2020
0,0,25,1,1.3,532,262,0,0,3.6,17.4,2021-03-08 18:00:00+00:00,90,8,0,0,0,0,27,0,669235,0,2,17.0,6,-26687,1791,28478,54,True,0,2,Kurt Zouma,6,EVE,1100,1140,CHE,1260,1250,0,2020
0,0,0,0,0.0,532,273,0,0,0.0,0.0,2021-03-13 12:30:00+00:00,0,24,0,0,0,0,28,0,660828,0,0,0.0,0,-9660,4029,13689,54,False,0,2,Kurt Zouma,6,LEE,1060,1210,CHE,1300,1310,0,2020
0,0,8,0,2.1,532,291,5,0,4.2,9.8,2021-04-03 11:30:00+00:00,90,27,0,0,0,0,30,0,641942,5,2,30.0,0,-4097,5402,9499,53,True,0,2,Kurt Zouma,6,WBA,1000,1040,CHE,1260,1250,0,2020
0,0,26,0,0.5,532,301,1,1,8.8,48.6,2021-04-10 16:30:00+00:00,90,7,0,0,0,0,31,0,637030,4,1,39.0,8,-5379,5047,10426,53,False,0,2,Kurt Zouma,6,CRY,1030,1010,CHE,1300,1310,0,2020
0,0,22,1,1.3,532,311,0,0,2.8,20.0,2021-04-20 19:15:00+00:00,90,5,0,0,0,0,32,0,664924,0,0,7.0,5,25574,30639,5065,53,True,1,2,Kurt Zouma,6,BHA,1190,1130,CHE,1260,1250,0,2020
0,0,0,0,0.0,532,327,0,0,0.0,0.0,2021-04-24 16:30:00+00:00,0,19,0,0,0,0,33,0,679598,1,0,0.0,0,13912,19707,5795,53,False,0,2,Kurt Zouma,6,WHU,1140,1260,CHE,1300,1310,0,2020
0,0,24,1,3.8,532,331,0,0,2.3,19.4,2021-05-01 16:30:00+00:00,90,9,0,0,0,0,34,0,681713,0,2,0.0,5,2225,14676,12451,53,True,1,2,Kurt Zouma,6,FUL,1110,1060,CHE,1260,1250,0,2020
0,0,9,0,0.3,532,345,0,0,1.2,11.2,2021-05-08 16:30:00+00:00,45,13,0,0,0,0,35,0,678662,2,1,0.0,1,-3288,9424,12712,53,False,0,2,Kurt Zouma,6,MCI,1280,1340,CHE,1300,1310,0,2020
0,0,14,0,16.1,532,354,1,0,7.7,11.2,2021-05-12 19:15:00+00:00,90,1,0,0,0,0,35,0,678662,1,0,50.0,2,-3288,9424,12712,53,True,0,2,Kurt Zouma,6,ARS,1150,1210,CHE,1260,1250,0,2020
0,0,3,0,0.1,532,361,0,0,0.0,0.2,2021-05-18 19:15:00+00:00,2,11,0,0,0,0,37,0,660241,1,2,0.0,1,-3236,2586,5822,53,True,0,2,Kurt Zouma,6,LEI,1150,1230,CHE,1260,1250,0,2020
0,0,0,0,0.0,532,370,0,0,0.0,0.0,2021-05-23 15:00:00+00:00,0,2,0,0,0,0,38,0,654163,1,2,0.0,0,-5647,3422,9069,53,False,0,2,Kurt Zouma,6,AVL,1120,1080,CHE,1300,1310,0,2020
