assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,12,0,18.6,476,1,1,0,4.7,24.0,2020-09-12 14:00:00+00:00,90,7,0,0,0,0,1,0,748080,0,1,4.0,1,0,0,0,45,False,1,2,Kyle Walker-Peters,17,CRY,1030,1010,SOU,1110,1160,0,2020
1,0,29,0,12.5,476,17,5,0,4.6,33.0,2020-09-20 11:00:00+00:00,90,18,0,0,0,0,2,0,702353,5,2,0.0,3,-69696,29779,99475,45,True,0,2,Kyle Walker-Peters,17,TOT,1170,1290,SOU,1030,1110,0,2020
0,0,16,1,10.8,476,20,0,0,1.6,5.6,2020-09-26 19:00:00+00:00,90,21,0,0,0,0,3,0,685330,1,0,0.0,6,-34442,75246,109688,45,False,0,2,Kyle Walker-Peters,17,BUR,1040,1040,SOU,1110,1160,0,2020
0,0,21,1,3.4,476,37,0,0,2.5,10.8,2020-10-04 11:00:00+00:00,90,27,0,0,0,0,4,0,744822,0,2,11.0,5,43503,86275,42772,45,True,1,2,Kyle Walker-Peters,17,WBA,1000,1040,SOU,1030,1110,0,2020
0,0,11,0,3.6,476,39,3,0,4.6,25.6,2020-10-17 14:00:00+00:00,90,6,0,0,0,0,5,0,787702,3,3,17.0,1,38507,117862,79355,45,False,0,2,Kyle Walker-Peters,17,CHE,1260,1250,SOU,1110,1160,0,2020
0,0,27,1,2.8,476,56,0,0,2.0,13.0,2020-10-25 14:00:00+00:00,90,8,0,0,0,0,6,0,774462,0,2,4.0,5,-15319,37452,52771,45,True,1,2,Kyle Walker-Peters,17,EVE,1100,1140,SOU,1030,1110,0,2020
0,0,9,0,1.0,476,59,3,0,2.4,22.6,2020-11-01 12:00:00+00:00,90,2,0,0,0,0,7,0,801021,4,3,0.0,1,20542,39284,18742,45,False,0,2,Kyle Walker-Peters,17,AVL,1120,1080,SOU,1110,1160,0,2020
0,3,32,1,2.4,476,76,0,0,3.6,15.4,2020-11-06 20:00:00+00:00,90,15,0,0,0,0,8,0,803402,0,2,18.0,9,616,31312,30696,45,True,0,2,Kyle Walker-Peters,17,NEW,1060,1110,SOU,1030,1110,0,2020
0,1,22,0,1.8,476,88,1,0,2.5,22.8,2020-11-23 20:00:00+00:00,90,20,0,0,0,0,9,0,892985,1,1,0.0,3,79840,107928,28088,46,False,0,2,Kyle Walker-Peters,17,WOL,1120,1040,SOU,1110,1160,0,2020
0,0,15,0,12.2,476,96,3,0,4.5,15.2,2020-11-29 14:00:00+00:00,90,14,0,0,0,0,10,0,904034,3,2,18.0,1,15335,35914,20579,46,True,0,2,Kyle Walker-Peters,17,MUN,1280,1310,SOU,1030,1110,0,2020
