assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,479,1,0,0,0.0,0.0,2020-09-12 14:00:00+00:00,0,6,0,0,0,0,1,0,22240,0,1,0.0,0,0,0,0,45,False,0,2,Mohammed Salisu,16,CRY,1030,1010,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,17,0,0,0.0,0.0,2020-09-20 11:00:00+00:00,0,17,0,0,0,0,2,0,18707,5,2,0.0,0,-4712,336,5048,45,True,0,2,Mohammed Salisu,16,TOT,1170,1290,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,20,0,0,0.0,0.0,2020-09-26 19:00:00+00:00,0,4,0,0,0,0,3,0,13625,1,0,0.0,0,-5165,136,5301,44,False,0,2,Mohammed Salisu,16,BUR,1040,1040,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,37,0,0,0.0,0.0,2020-10-04 11:00:00+00:00,0,18,0,0,0,0,4,0,11675,0,2,0.0,0,-2186,74,2260,44,True,0,2,Mohammed Salisu,16,WBA,1000,1040,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,39,0,0,0.0,0.0,2020-10-17 14:00:00+00:00,0,5,0,0,0,0,5,0,9788,3,3,0.0,0,-1933,139,2072,44,False,0,2,Mohammed Salisu,16,CHE,1260,1250,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,56,0,0,0.0,0.0,2020-10-25 14:00:00+00:00,0,7,0,0,0,0,6,0,8698,0,2,0.0,0,-1155,43,1198,43,True,0,2,Mohammed Salisu,16,EVE,1100,1140,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,59,0,0,0.0,0.0,2020-11-01 12:00:00+00:00,0,2,0,0,0,0,7,0,7934,4,3,0.0,0,-811,43,854,43,False,0,2,Mohammed Salisu,16,AVL,1120,1080,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,76,0,0,0.0,0.0,2020-11-06 20:00:00+00:00,0,14,0,0,0,0,8,0,7308,0,2,0.0,0,-622,35,657,43,True,0,2,Mohammed Salisu,16,NEW,1060,1110,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,88,0,0,0.0,0.0,2020-11-23 20:00:00+00:00,0,20,0,0,0,0,9,0,6776,1,1,0.0,0,-535,43,578,43,False,0,2,Mohammed Salisu,16,WOL,1120,1040,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,96,0,0,0.0,0.0,2020-11-29 14:00:00+00:00,0,13,0,0,0,0,10,0,6492,3,2,0.0,0,-296,20,316,43,True,0,2,Mohammed Salisu,16,MUN,1280,1310,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,100,0,0,0.0,0.0,2020-12-07 20:00:00+00:00,0,3,0,0,0,0,11,0,6152,2,1,0.0,0,-332,10,342,43,False,0,2,Mohammed Salisu,16,BHA,1150,1100,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,117,0,0,0.0,0.0,2020-12-13 12:00:00+00:00,0,15,0,0,0,0,12,0,6113,0,3,0.0,0,-96,83,179,43,True,0,2,Mohammed Salisu,16,SHU,1070,1010,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,119,0,0,0.0,0.0,2020-12-16 18:00:00+00:00,0,1,0,0,0,0,13,0,6088,1,1,0.0,0,-59,71,130,43,False,0,2,Mohammed Salisu,16,ARS,1130,1220,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,136,0,0,0.0,0.0,2020-12-19 15:00:00+00:00,0,12,0,0,0,0,14,0,6044,1,0,0.0,0,-80,56,136,43,True,0,2,Mohammed Salisu,16,MCI,1320,1350,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,141,0,0,0.0,0.0,2020-12-26 15:00:00+00:00,0,8,0,0,0,0,15,0,6070,0,0,0.0,0,-45,166,211,43,False,0,2,Mohammed Salisu,16,FUL,1150,1040,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,156,0,0,0.0,0.0,2020-12-29 18:00:00+00:00,0,19,0,0,0,0,16,0,6018,0,0,0.0,0,-67,57,124,43,True,0,2,Mohammed Salisu,16,WHU,1190,1290,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,166,0,0,0.0,0.0,2021-01-04 20:00:00+00:00,0,11,0,0,0,0,17,0,5963,0,1,0.0,0,-90,51,141,43,True,0,2,Mohammed Salisu,16,LIV,1210,1230,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,183,0,0,0.0,0.0,2021-01-16 20:00:00+00:00,0,9,0,0,0,0,19,0,5656,0,2,0.0,0,-112,9,121,43,False,0,2,Mohammed Salisu,16,LEI,1190,1150,SOU,1110,1160,0,2020
0,0,0,0,0.0,479,197,0,0,0.0,0.0,2021-01-26 20:15:00+00:00,0,1,0,0,0,0,20,0,5503,3,1,0.0,0,-166,33,199,43,True,0,2,Mohammed Salisu,16,ARS,1150,1210,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,206,0,0,0.0,0.0,2021-01-30 20:00:00+00:00,0,2,0,0,0,0,21,0,5409,1,0,0.0,0,-96,22,118,43,True,0,2,Mohammed Salisu,16,AVL,1140,1100,SOU,1030,1110,0,2020
0,0,0,0,0.0,479,213,0,0,0.0,0.0,2021-02-02 20:15:00+00:00,0,13,0,0,0,0,22,0,5340,0,9,0.0,0,-70,18,88,43,False,0,2,Mohammed Salisu,16,MUN,1250,1240,SOU,1110,1160,0,2020
