assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,2,2,0,0,0.0,0.0,2020-09-12 11:30:00+00:00,0,8,0,0,0,0,1,0,12184,3,0,0.0,0,0,0,0,50,False,0,2,Sokratis Papastathopoulos,1,1,FUL,1150,1040,ARS,1150,1210,0,2020
0,0,0,0,0.0,2,9,0,0,0.0,0.0,2020-09-19 19:00:00+00:00,0,19,0,0,0,0,2,0,8234,1,2,0.0,0,-4015,51,4066,50,True,0,2,Sokratis Papastathopoulos,1,2,WHU,1190,1290,ARS,1130,1220,0,2020
0,0,0,0,0.0,2,23,0,0,0.0,0.0,2020-09-28 19:00:00+00:00,0,11,0,0,0,0,3,0,6874,1,3,0.0,0,-1641,9673,11314,49,False,0,2,Sokratis Papastathopoulos,1,3,LIV,1190,1300,ARS,1150,1210,0,2020
0,0,0,0,0.0,2,29,0,0,0.0,0.0,2020-10-04 13:00:00+00:00,0,15,0,0,0,0,4,0,6274,1,2,0.0,0,-739,38,777,49,True,0,2,Sokratis Papastathopoulos,1,4,SHU,1070,1010,ARS,1130,1220,0,2020
0,0,0,0,0.0,2,44,0,0,0.0,0.0,2020-10-17 16:30:00+00:00,0,12,0,0,0,0,5,0,6624,0,1,0.0,0,-167,233,400,49,False,0,2,Sokratis Papastathopoulos,1,5,MCI,1280,1340,ARS,1150,1210,0,2020
0,0,0,0,0.0,2,49,0,0,0.0,0.0,2020-10-25 19:15:00+00:00,0,9,0,0,0,0,6,0,6429,1,0,0.0,0,-392,182,574,49,True,0,2,Sokratis Papastathopoulos,1,6,LEI,1150,1230,ARS,1130,1220,0,2020
0,0,0,0,0.0,2,64,0,0,0.0,0.0,2020-11-01 16:30:00+00:00,0,13,0,0,0,0,7,0,5829,1,0,0.0,0,-608,18,626,49,False,0,2,Sokratis Papastathopoulos,1,7,MUN,1250,1240,ARS,1150,1210,0,2020
0,0,0,0,0.0,2,69,0,0,0.0,0.0,2020-11-08 19:15:00+00:00,0,2,0,0,0,0,8,0,5530,3,0,0.0,0,-321,10,331,49,True,0,2,Sokratis Papastathopoulos,1,8,AVL,1140,1100,ARS,1130,1220,0,2020
0,0,0,0,0.0,2,82,0,0,0.0,0.0,2020-11-22 16:30:00+00:00,0,10,0,0,0,0,9,0,5298,0,0,0.0,0,-246,11,257,49,False,0,2,Sokratis Papastathopoulos,1,9,LEE,1060,1210,ARS,1150,1210,0,2020
0,0,0,0,0.0,2,89,0,0,0.0,0.0,2020-11-29 19:15:00+00:00,0,20,0,0,0,0,10,0,5198,2,1,0.0,0,-112,4,116,49,True,0,2,Sokratis Papastathopoulos,1,10,WOL,1130,1120,ARS,1130,1220,0,2020
