assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,258,47,0,0,0.0,0.0,2020-10-18 15:30:00+00:00,0,19,0,0,0,0,5,0,1832,3,3,0.0,0,1008,1400,392,70,True,0,4,Carlos Vinícius Alves Morais,18,WHU,1190,1290,TOT,1130,1250,0,2020
0,0,0,0,0.0,258,52,0,0,0.0,0.0,2020-10-26 20:00:00+00:00,0,21,0,0,0,0,6,0,2770,1,0,0.0,0,426,1106,680,70,False,0,4,Carlos Vinícius Alves Morais,18,BUR,1040,1040,TOT,1170,1290,0,2020
0,0,0,0,0.0,258,67,0,0,0.0,0.0,2020-11-01 19:15:00+00:00,0,5,0,0,0,0,7,0,3032,1,2,0.0,0,-150,652,802,70,True,0,4,Carlos Vinícius Alves Morais,18,BHA,1190,1130,TOT,1130,1250,0,2020
0,0,2,0,10.3,258,77,0,0,3.3,2.0,2020-11-08 12:00:00+00:00,12,27,0,0,0,0,8,0,3029,1,0,21.0,1,-245,360,605,70,False,0,4,Carlos Vinícius Alves Morais,18,WBA,1040,1050,TOT,1170,1290,0,2020
0,0,0,0,0.0,258,87,0,0,0.0,0.0,2020-11-21 17:30:00+00:00,0,13,0,0,0,0,9,0,3243,0,2,0.0,0,-171,375,546,70,True,0,4,Carlos Vinícius Alves Morais,18,MCI,1320,1350,TOT,1130,1250,0,2020
0,0,0,0,0.0,258,91,0,0,0.0,0.0,2020-11-29 16:30:00+00:00,0,6,0,0,0,0,10,0,3382,0,0,0.0,0,-65,261,326,70,False,0,4,Carlos Vinícius Alves Morais,18,CHE,1260,1250,TOT,1170,1290,0,2020
0,0,0,0,0.0,258,106,0,0,0.0,0.0,2020-12-06 16:30:00+00:00,0,1,0,0,0,0,11,0,3410,0,2,0.0,0,-170,311,481,70,True,0,4,Carlos Vinícius Alves Morais,18,ARS,1150,1210,TOT,1130,1250,0,2020
0,0,0,0,0.0,258,110,0,0,0.0,0.0,2020-12-13 14:15:00+00:00,0,7,0,0,0,0,12,0,3424,1,1,0.0,0,-121,229,350,69,False,0,4,Carlos Vinícius Alves Morais,18,CRY,1030,1010,TOT,1170,1290,0,2020
0,0,0,0,0.0,258,127,0,0,0.0,0.0,2020-12-16 20:00:00+00:00,0,12,0,0,0,0,13,0,3477,1,2,0.0,0,-61,126,187,69,False,0,4,Carlos Vinícius Alves Morais,18,LIV,1190,1300,TOT,1170,1290,0,2020
0,0,0,0,0.0,258,137,0,0,0.0,0.0,2020-12-20 14:15:00+00:00,0,11,0,0,0,0,14,0,3484,2,0,0.0,0,-100,120,220,69,True,0,4,Carlos Vinícius Alves Morais,18,LEI,1150,1230,TOT,1130,1250,0,2020
