assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1646,18,0,0,0.0,0.0,2020-09-21 19:15:00+00:00,0,20,0,0,0,0,2,0,235327,3,1,0.0,0,-37798,45002,82800,105,False,0,4,Sergio Agüero,12,WOL,1120,1040,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,24,0,0,0.0,0.0,2020-09-27 15:30:00+00:00,0,9,0,0,0,0,3,0,116374,5,2,0.0,0,-118886,10519,129405,104,True,0,4,Sergio Agüero,12,LEI,1150,1230,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,33,0,0,0.0,0.0,2020-10-03 16:30:00+00:00,0,10,0,0,0,0,4,0,97547,1,1,0.0,0,-24868,524,25392,104,False,0,4,Sergio Agüero,12,LEE,1060,1210,MCI,1320,1350,0,2020
0,0,14,1,35.2,1646,44,0,0,4.9,4.0,2020-10-17 16:30:00+00:00,64,1,0,0,0,0,5,0,98872,0,1,10.0,2,-1486,14179,15665,104,True,0,4,Sergio Agüero,12,ARS,1150,1210,MCI,1280,1340,0,2020
0,0,2,0,1.6,1646,57,1,0,0.9,0.0,2020-10-24 11:30:00+00:00,45,19,0,0,0,0,6,0,220389,1,1,8.0,1,107707,117690,9983,104,False,0,4,Sergio Agüero,12,WHU,1140,1260,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,66,0,0,0.0,0.0,2020-10-31 12:30:00+00:00,0,15,0,0,0,0,7,0,107315,1,0,0.0,0,-104570,4479,109049,103,False,0,4,Sergio Agüero,12,SHU,1020,1000,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,75,0,0,0.0,0.0,2020-11-08 16:30:00+00:00,0,11,0,0,0,0,8,0,93498,1,1,0.0,0,-16010,282,16292,103,True,0,4,Sergio Agüero,12,LIV,1210,1230,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,87,0,0,0.0,0.0,2020-11-21 17:30:00+00:00,0,17,0,0,0,0,9,0,89559,0,2,0.0,0,-4570,1589,6159,103,False,0,4,Sergio Agüero,12,TOT,1130,1250,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,95,0,0,0.0,0.0,2020-11-28 15:00:00+00:00,0,4,0,0,0,0,10,0,104850,0,5,0.0,0,12792,15680,2888,103,True,0,4,Sergio Agüero,12,BUR,1090,1080,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,104,0,0,0.0,0.0,2020-12-05 15:00:00+00:00,0,8,0,0,0,0,11,0,91044,0,2,0.0,0,-12126,2158,14284,103,True,0,4,Sergio Agüero,12,FUL,1110,1060,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,115,0,0,0.0,0.0,2020-12-12 17:30:00+00:00,0,13,0,0,0,0,12,0,93629,0,0,0.0,0,1200,5728,4528,103,False,0,4,Sergio Agüero,12,MUN,1250,1240,MCI,1320,1350,0,2020
0,0,1,0,0.0,1646,128,0,0,0.8,0.0,2020-12-15 20:00:00+00:00,14,18,0,0,0,0,13,0,96807,1,1,12.0,1,2731,6707,3976,103,True,0,4,Sergio Agüero,12,WBA,1000,1040,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,136,0,0,0.0,0.0,2020-12-19 15:00:00+00:00,0,16,0,0,0,0,14,0,105230,1,0,0.0,0,7838,11236,3398,103,False,0,4,Sergio Agüero,12,SOU,1030,1110,MCI,1320,1350,0,2020
0,0,0,0,0.1,1646,145,0,0,3.8,3.2,2020-12-26 20:00:00+00:00,13,14,0,0,0,0,15,0,116353,0,2,35.0,1,8835,16607,7772,103,True,0,4,Sergio Agüero,12,NEW,1060,1110,MCI,1280,1340,0,2020
0,0,3,0,0.0,1646,161,1,0,0.0,0.0,2021-01-03 16:30:00+00:00,4,5,0,0,0,0,17,0,112496,3,1,0.0,1,-2550,6226,8776,103,False,0,4,Sergio Agüero,12,CHE,1260,1250,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,178,0,0,0.0,0.0,2021-01-13 18:00:00+00:00,0,3,0,0,0,0,18,0,117764,0,1,0.0,0,1908,20105,18197,103,True,0,4,Sergio Agüero,12,BHA,1190,1130,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,185,0,0,0.0,0.0,2021-01-17 19:15:00+00:00,0,6,0,0,0,0,19,0,95277,0,4,0.0,0,-18869,151,19020,103,True,0,4,Sergio Agüero,12,CRY,1120,1020,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,380,0,0,0.0,0.0,2021-01-20 18:00:00+00:00,0,2,0,0,0,0,19,0,95277,0,2,0.0,0,-18869,151,19020,103,True,0,4,Sergio Agüero,12,AVL,1140,1100,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,193,0,0,0.0,0.0,2021-01-26 20:15:00+00:00,0,18,0,0,0,0,20,0,90519,5,0,0.0,0,-6620,620,7240,103,False,0,4,Sergio Agüero,12,WBA,1040,1050,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,205,0,0,0.0,0.0,2021-01-30 15:00:00+00:00,0,15,0,0,0,0,21,0,89136,0,1,0.0,0,-1535,516,2051,103,True,0,4,Sergio Agüero,12,SHU,1070,1010,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,210,0,0,0.0,0.0,2021-02-03 18:00:00+00:00,0,4,0,0,0,0,22,0,88781,2,0,0.0,0,-430,1000,1430,103,False,0,4,Sergio Agüero,12,BUR,1040,1040,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,223,0,0,0.0,0.0,2021-02-07 16:30:00+00:00,0,11,0,0,0,0,23,0,87736,4,1,0.0,0,-1127,380,1507,103,False,0,4,Sergio Agüero,12,LIV,1190,1300,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,235,0,0,0.0,0.0,2021-02-13 17:30:00+00:00,0,17,0,0,0,0,24,0,88195,0,3,0.0,0,167,1695,1528,103,True,0,4,Sergio Agüero,12,TOT,1170,1290,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,153,0,0,0.0,0.0,2021-02-17 20:15:00+00:00,0,7,0,0,0,0,24,0,88195,3,1,0.0,0,167,1695,1528,103,False,0,4,Sergio Agüero,12,EVE,1130,1200,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,239,0,0,0.0,0.0,2021-02-21 16:30:00+00:00,0,1,0,0,0,0,25,0,90832,1,0,0.0,0,2124,3554,1430,103,False,0,4,Sergio Agüero,12,ARS,1130,1220,MCI,1320,1350,0,2020
0,0,3,0,16.5,1646,254,1,0,2.4,1.6,2021-02-27 12:30:00+00:00,60,19,0,0,0,0,26,0,94076,1,2,6.0,2,2357,5056,2699,103,True,0,4,Sergio Agüero,12,WHU,1190,1290,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,284,0,0,0.0,0.0,2021-03-02 20:00:00+00:00,0,20,0,0,0,0,26,0,94076,1,4,0.0,0,2357,5056,2699,103,True,0,4,Sergio Agüero,12,WOL,1130,1120,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,264,0,0,0.0,0.0,2021-03-07 16:30:00+00:00,0,13,0,0,0,0,27,0,97816,2,0,0.0,0,3108,5859,2751,103,True,0,4,Sergio Agüero,12,MUN,1280,1310,MCI,1280,1340,0,2020
0,0,2,0,0.0,1646,325,0,0,2.0,3.0,2021-03-10 18:00:00+00:00,18,16,0,0,0,0,27,0,97816,2,5,17.0,1,3108,5859,2751,103,True,0,4,Sergio Agüero,12,SOU,1110,1160,MCI,1280,1340,0,2020
0,0,27,1,2.3,1646,272,0,1,8.6,41.8,2021-03-13 20:00:00+00:00,90,8,0,0,0,0,28,0,96927,3,0,42.0,6,-1462,3008,4470,103,False,0,4,Sergio Agüero,12,FUL,1150,1040,MCI,1320,1350,0,2020
0,0,5,1,3.6,1646,294,0,0,2.7,0.0,2021-04-03 16:30:00+00:00,62,9,0,0,0,0,30,0,100745,2,0,24.0,2,1379,3837,2458,103,False,0,4,Sergio Agüero,12,LEI,1190,1150,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,304,0,0,0.0,0.0,2021-04-10 11:30:00+00:00,0,10,0,0,0,0,31,0,118241,2,1,0.0,0,16763,20880,4117,103,True,0,4,Sergio Agüero,12,LEE,1150,1170,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,310,0,0,0.0,0.0,2021-04-21 19:15:00+00:00,0,2,0,0,0,0,32,0,99327,2,1,0.0,0,-18651,315,18966,103,False,0,4,Sergio Agüero,12,AVL,1120,1080,MCI,1320,1350,0,2020
0,2,36,1,18.8,1646,332,0,1,12.8,41.6,2021-05-01 11:30:00+00:00,90,6,0,0,0,0,34,0,96516,2,0,68.0,8,656,1756,1100,103,False,0,4,Sergio Agüero,12,CRY,1030,1010,MCI,1320,1350,0,2020
1,0,9,0,21.8,1646,345,1,0,8.4,30.6,2021-05-08 16:30:00+00:00,69,5,0,1,0,0,35,0,100556,2,1,32.0,3,3612,5751,2139,103,True,0,4,Sergio Agüero,12,CHE,1300,1310,MCI,1280,1340,0,2020
0,0,0,0,0.0,1646,356,0,0,0.0,0.0,2021-05-14 19:00:00+00:00,0,14,0,0,0,0,36,0,126756,4,3,0.0,0,24144,26435,2291,103,False,0,4,Sergio Agüero,12,NEW,1050,1030,MCI,1320,1350,0,2020
0,0,0,0,0.0,1646,359,0,0,0.0,0.0,2021-05-18 18:00:00+00:00,0,3,0,0,0,0,37,0,107102,2,3,0.0,0,-17846,879,18725,103,False,0,4,Sergio Agüero,12,BHA,1150,1100,MCI,1320,1350,0,2020
0,1,53,0,2.3,1646,375,0,2,14.9,74.8,2021-05-23 15:00:00+00:00,25,7,0,0,0,0,38,0,137176,0,5,72.0,10,28243,33759,5516,103,True,0,4,Sergio Agüero,12,EVE,1100,1140,MCI,1280,1340,0,2020
