assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,341,6,0,0,0.0,0.0,2020-09-12 19:00:00+00:00,0,19,0,0,0,0,1,0,23205,2,0,0.0,0,0,0,0,50,False,0,4,Yoshinori Muto,14,WHU,1140,1260,NEW,1060,1110,0,2020
0,0,0,0,0.0,341,16,0,0,0.0,0.0,2020-09-20 13:00:00+00:00,0,3,0,0,0,0,2,0,22448,3,0,0.0,0,-5130,3615,8745,50,True,0,4,Yoshinori Muto,14,BHA,1190,1130,NEW,1050,1030,0,2020
0,0,0,0,0.0,341,26,0,0,0.0,0.0,2020-09-27 13:00:00+00:00,0,17,0,0,0,0,3,0,14868,1,1,0.0,0,-7656,242,7898,49,False,0,4,Yoshinori Muto,14,TOT,1130,1250,NEW,1060,1110,0,2020
0,0,0,0,0.0,341,36,0,0,0.0,0.0,2020-10-03 19:00:00+00:00,0,4,0,0,0,0,4,0,12276,1,3,0.0,0,-3016,163,3179,49,True,0,4,Yoshinori Muto,14,BUR,1090,1080,NEW,1050,1030,0,2020
0,0,0,0,0.0,341,45,0,0,0.0,0.0,2020-10-17 19:00:00+00:00,0,13,0,0,0,0,5,0,10789,4,1,0.0,0,-1628,469,2097,49,True,0,4,Yoshinori Muto,14,MUN,1280,1310,NEW,1050,1030,0,2020
0,0,0,0,0.0,341,58,0,0,0.0,0.0,2020-10-25 16:30:00+00:00,0,20,0,0,0,0,6,0,9776,1,1,0.0,0,-1061,142,1203,48,False,0,4,Yoshinori Muto,14,WOL,1120,1040,NEW,1060,1110,0,2020
0,0,0,0,0.0,341,65,0,0,0.0,0.0,2020-11-01 14:00:00+00:00,0,7,0,0,0,0,7,0,9216,1,2,0.0,0,-612,140,752,48,True,0,4,Yoshinori Muto,14,EVE,1100,1140,NEW,1050,1030,0,2020
0,0,0,0,0.0,341,76,0,0,0.0,0.0,2020-11-06 20:00:00+00:00,0,16,0,0,0,0,8,0,8759,0,2,0.0,0,-485,64,549,48,False,0,4,Yoshinori Muto,14,SOU,1030,1110,NEW,1060,1110,0,2020
0,0,0,0,0.0,341,85,0,0,0.0,0.0,2020-11-21 12:30:00+00:00,0,5,0,0,0,0,9,0,8514,2,0,0.0,0,-265,263,528,48,True,0,4,Yoshinori Muto,14,CHE,1300,1310,NEW,1050,1030,0,2020
0,0,0,0,0.0,341,92,0,0,0.0,0.0,2020-11-27 20:00:00+00:00,0,6,0,0,0,0,10,0,8223,2,0,0.0,0,-310,67,377,48,False,0,4,Yoshinori Muto,14,CRY,1030,1010,NEW,1060,1110,0,2020
0,0,0,0,0.0,341,116,0,0,0.0,0.0,2020-12-12 15:00:00+00:00,0,18,0,0,0,0,12,0,7847,1,2,0.0,0,-131,32,163,48,True,0,4,Yoshinori Muto,14,WBA,1000,1040,NEW,1050,1030,0,2020
0,0,0,0,0.0,341,122,0,0,0.0,0.0,2020-12-16 18:00:00+00:00,0,10,0,0,0,0,13,0,7796,2,5,0.0,0,-71,77,148,48,False,0,4,Yoshinori Muto,14,LEE,1060,1210,NEW,1060,1110,0,2020
0,0,0,0,0.0,341,135,0,0,0.0,0.0,2020-12-19 20:00:00+00:00,0,8,0,0,0,0,14,0,7714,1,1,0.0,0,-79,93,172,48,True,0,4,Yoshinori Muto,14,FUL,1110,1060,NEW,1050,1030,0,2020
0,0,0,0,0.0,341,145,0,0,0.0,0.0,2020-12-26 20:00:00+00:00,0,12,0,0,0,0,15,0,7618,0,2,0.0,0,-109,118,227,48,False,0,4,Yoshinori Muto,14,MCI,1280,1340,NEW,1060,1110,0,2020
0,0,0,0,0.0,341,155,0,0,0.0,0.0,2020-12-30 20:00:00+00:00,0,11,0,0,0,0,16,0,7570,0,0,0.0,0,-54,60,114,48,True,0,4,Yoshinori Muto,14,LIV,1210,1230,NEW,1050,1030,0,2020
0,0,0,0,0.0,341,165,0,0,0.0,0.0,2021-01-03 14:15:00+00:00,0,9,0,0,0,0,17,0,7507,2,1,0.0,0,-74,58,132,48,True,0,4,Yoshinori Muto,14,LEI,1150,1230,NEW,1050,1030,0,2020
