assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,513,2,0,0,0.0,0.0,2020-09-12 11:30:00+00:00,0,1,0,0,0,0,1,0,71203,3,0,0.0,0,0,0,0,45,True,0,1,Alphonse Areola,9,ARS,1150,1210,FUL,1150,1040,0,2020
0,0,17,0,0.0,513,13,4,0,2.4,24.4,2020-09-19 14:00:00+00:00,90,24,0,0,0,0,2,3,87432,3,4,0.0,1,-4124,9436,13560,45,False,0,1,Alphonse Areola,9,LEE,1060,1210,FUL,1110,1060,0,2020
0,0,11,0,0.0,513,22,3,0,1.9,19.2,2020-09-28 16:45:00+00:00,90,2,0,0,0,0,3,2,94818,3,0,0.0,1,-2084,14452,16536,45,True,0,1,Alphonse Areola,9,AVL,1140,1100,FUL,1150,1040,0,2020
0,0,17,0,0.0,513,38,1,0,2.6,26.2,2020-10-04 13:00:00+00:00,90,20,0,0,0,0,4,4,89827,0,1,0.0,3,-7566,4123,11689,45,False,0,1,Alphonse Areola,9,WOL,1120,1040,FUL,1110,1060,0,2020
0,0,18,0,0.0,513,46,1,0,3.4,34.2,2020-10-18 11:00:00+00:00,90,23,0,0,0,0,5,5,94310,1,1,0.0,3,-795,9526,10321,45,False,0,1,Alphonse Areola,9,SHU,1020,1000,FUL,1110,1060,0,2020
0,0,24,0,0.0,513,53,2,0,5.9,59.0,2020-10-24 14:00:00+00:00,90,7,0,0,0,0,6,8,96163,2,1,0.0,3,170,7328,7158,45,True,0,1,Alphonse Areola,9,CRY,1120,1020,FUL,1150,1040,0,2020
0,0,22,1,0.0,513,61,0,0,1.0,10.4,2020-11-02 17:30:00+00:00,90,27,0,0,0,0,7,1,98365,0,2,0.0,6,396,5597,5201,45,True,0,1,Alphonse Areola,9,WBA,1000,1040,FUL,1150,1040,0,2020
0,0,20,0,0.0,513,78,1,0,4.2,42.4,2020-11-07 20:00:00+00:00,90,19,0,0,0,0,8,6,99407,0,1,0.0,4,-182,4889,5071,45,False,0,1,Alphonse Areola,9,WHU,1140,1260,FUL,1110,1060,0,2020
0,0,18,0,0.0,513,81,3,0,3.0,30.2,2020-11-22 12:00:00+00:00,90,8,0,0,0,0,9,4,101083,3,2,0.0,2,-196,5506,5702,45,True,0,1,Alphonse Areola,9,EVE,1100,1140,FUL,1150,1040,0,2020
0,0,12,0,0.0,513,94,1,0,1.7,17.4,2020-11-30 17:30:00+00:00,90,11,0,0,0,0,10,2,100136,2,1,0.0,2,-1755,2582,4337,45,False,0,1,Alphonse Areola,9,LEI,1190,1150,FUL,1110,1060,0,2020
0,0,16,0,0.0,513,104,2,0,3.4,34.2,2020-12-05 15:00:00+00:00,90,13,0,0,0,0,11,4,98750,0,2,0.0,2,-2167,2849,5016,45,False,0,1,Alphonse Areola,9,MCI,1280,1340,FUL,1110,1060,0,2020
0,0,19,0,0.0,513,112,1,0,3.1,30.6,2020-12-13 16:30:00+00:00,90,12,0,0,0,0,12,5,99117,1,1,0.0,3,-954,2994,3948,45,True,0,1,Alphonse Areola,9,LIV,1210,1230,FUL,1150,1040,0,2020
0,2,29,1,0.0,513,121,0,0,2.7,26.8,2020-12-16 20:00:00+00:00,90,5,0,0,0,0,13,4,104244,0,0,0.0,9,3599,6176,2577,45,True,0,1,Alphonse Areola,9,BHA,1190,1130,FUL,1150,1040,0,2020
0,0,15,0,0.0,513,135,1,0,3.0,29.8,2020-12-19 20:00:00+00:00,90,15,0,0,0,0,14,4,110969,1,1,0.0,3,5855,8668,2813,45,False,0,1,Alphonse Areola,9,NEW,1050,1030,FUL,1110,1060,0,2020
0,2,25,1,0.0,513,141,0,0,0.9,9.4,2020-12-26 15:00:00+00:00,90,17,0,0,0,0,15,2,117635,0,0,0.0,8,4693,10210,5517,45,True,0,1,Alphonse Areola,9,SOU,1110,1160,FUL,1150,1040,0,2020
0,0,19,0,0.0,513,157,1,0,3.4,34.0,2021-01-13 20:15:00+00:00,90,18,0,0,0,0,18,5,190931,1,1,0.0,3,20753,40247,19494,45,False,0,1,Alphonse Areola,9,TOT,1130,1250,FUL,1110,1060,0,2020
0,0,20,0,0.0,513,181,1,0,3.7,37.2,2021-01-16 17:30:00+00:00,90,6,0,0,0,0,19,5,204173,1,0,0.0,3,34034,49429,15395,45,True,0,1,Alphonse Areola,9,CHE,1300,1310,FUL,1150,1040,0,2020
0,0,10,0,0.0,513,171,2,0,1.8,17.8,2021-01-20 20:15:00+00:00,90,14,0,0,0,0,19,3,204173,2,1,0.0,2,34034,49429,15395,45,True,0,1,Alphonse Areola,9,MUN,1280,1310,FUL,1150,1040,0,2020
