assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,247,4,0,0,0.0,0.0,2020-09-13 15:30:00+00:00,0,18,0,0,0,0,1,0,10789,1,0,0.0,0,0,0,0,60,False,0,3,Alex Iwobi,8,TOT,1130,1250,EVE,1100,1140,0,2020
0,0,2,0,6.0,247,12,0,0,0.9,0.0,2020-09-19 11:30:00+00:00,19,27,0,0,0,0,2,0,11246,2,5,4.0,1,-2245,641,2886,60,True,0,3,Alex Iwobi,8,WBA,1000,1040,EVE,1130,1200,0,2020
0,0,2,0,0.3,247,21,0,0,0.2,2.0,2020-09-26 14:00:00+00:00,4,7,0,0,0,0,3,0,10421,2,1,0.0,1,-1782,500,2282,59,False,0,3,Alex Iwobi,8,CRY,1030,1010,EVE,1100,1140,0,2020
1,0,15,0,13.6,247,32,2,0,4.5,27.2,2020-10-03 14:00:00+00:00,65,5,0,0,0,0,4,0,10403,2,4,4.0,5,-750,608,1358,59,True,0,3,Alex Iwobi,8,BHA,1190,1130,EVE,1130,1200,0,2020
0,0,3,0,1.6,247,41,0,0,0.2,0.0,2020-10-17 11:30:00+00:00,12,12,0,0,0,0,5,0,11514,2,2,0.0,1,31,1328,1297,59,True,0,3,Alex Iwobi,8,LIV,1210,1230,EVE,1130,1200,0,2020
0,0,6,0,1.2,247,56,2,0,3.0,4.4,2020-10-25 14:00:00+00:00,45,17,0,0,0,0,6,0,12424,0,2,24.0,1,344,1532,1188,59,False,0,3,Alex Iwobi,8,SOU,1030,1110,EVE,1100,1140,0,2020
1,0,13,0,13.8,247,65,1,0,1.6,2.2,2020-11-01 14:00:00+00:00,14,15,0,0,0,0,7,0,12488,1,2,0.0,4,-314,899,1213,59,False,0,3,Alex Iwobi,8,NEW,1050,1030,EVE,1100,1140,0,2020
0,0,4,0,16.5,247,73,1,0,2.6,7.0,2020-11-07 12:30:00+00:00,23,14,0,0,0,0,8,0,12468,3,1,2.0,1,-365,659,1024,59,True,0,3,Alex Iwobi,8,MUN,1280,1310,EVE,1130,1200,0,2020
0,0,19,0,3.5,247,81,2,0,2.5,19.8,2020-11-22 12:00:00+00:00,90,9,0,0,0,0,9,0,12423,3,2,2.0,2,-436,648,1084,59,False,0,3,Alex Iwobi,8,FUL,1150,1040,EVE,1100,1140,0,2020
0,0,10,1,11.3,247,93,0,0,3.1,15.4,2020-11-28 17:30:00+00:00,66,24,0,0,0,0,10,0,13780,1,0,4.0,3,921,1672,751,59,True,0,3,Alex Iwobi,8,LEE,1150,1170,EVE,1130,1200,0,2020
0,0,18,0,31.6,247,101,1,0,7.7,19.6,2020-12-05 12:30:00+00:00,90,21,0,0,0,0,11,0,13955,1,1,26.0,2,-55,1014,1069,59,False,0,3,Alex Iwobi,8,BUR,1040,1040,EVE,1100,1140,0,2020
0,0,11,1,5.1,247,111,0,0,2.4,11.0,2020-12-12 20:00:00+00:00,85,6,0,0,0,0,12,0,13939,0,1,8.0,3,-208,866,1074,59,True,0,3,Alex Iwobi,8,CHE,1300,1310,EVE,1130,1200,0,2020
1,0,21,1,36.1,247,123,0,0,8.5,28.4,2020-12-16 18:00:00+00:00,90,11,0,0,0,0,13,0,14823,2,0,20.0,6,636,1306,670,59,False,0,3,Alex Iwobi,8,LEI,1190,1150,EVE,1100,1140,0,2020
0,0,11,0,15.8,247,133,1,0,3.9,5.4,2020-12-19 17:30:00+00:00,82,1,0,0,0,0,14,0,19905,1,2,18.0,2,4574,5502,928,59,True,0,3,Alex Iwobi,8,ARS,1150,1210,EVE,1130,1200,0,2020
0,0,14,1,10.9,247,146,0,0,4.1,17.0,2020-12-26 20:00:00+00:00,90,23,0,0,0,0,15,0,22780,1,0,13.0,3,2202,4950,2748,59,False,0,3,Alex Iwobi,8,SHU,1020,1000,EVE,1100,1140,0,2020
0,0,0,0,0.0,247,163,0,0,0.0,0.0,2021-01-01 17:30:00+00:00,0,19,0,0,0,0,17,0,22072,1,0,0.0,0,-152,1976,2128,59,True,0,3,Alex Iwobi,8,WHU,1190,1290,EVE,1130,1200,0,2020
0,1,30,0,6.0,247,176,1,1,11.1,49.2,2021-01-12 20:15:00+00:00,90,20,0,0,0,0,18,0,21652,2,1,56.0,8,-1684,1703,3387,59,False,0,3,Alex Iwobi,8,WOL,1120,1040,EVE,1100,1140,0,2020
0,0,2,0,0.2,247,191,0,0,0.0,0.2,2021-01-27 20:15:00+00:00,10,11,0,0,0,0,20,0,20469,1,1,0.0,1,-366,1605,1971,59,True,0,3,Alex Iwobi,8,LEI,1150,1230,EVE,1130,1200,0,2020
0,0,6,1,1.6,247,203,0,0,0.3,1.0,2021-01-30 12:30:00+00:00,62,15,0,0,0,0,21,0,19377,2,0,0.0,3,-1180,467,1647,59,True,0,3,Alex Iwobi,8,NEW,1060,1110,EVE,1130,1200,0,2020
0,0,6,0,12.9,247,212,1,0,1.7,0.6,2021-02-03 19:30:00+00:00,86,24,0,0,0,0,22,0,18914,2,1,3.0,2,-605,378,983,59,False,0,3,Alex Iwobi,8,LEE,1060,1210,EVE,1100,1140,0,2020
0,0,2,0,0.0,247,224,0,0,0.0,0.0,2021-02-06 20:00:00+00:00,15,14,0,0,0,0,23,0,18351,3,3,0.0,1,-716,401,1117,59,False,0,3,Alex Iwobi,8,MUN,1250,1240,EVE,1100,1140,0,2020
0,0,0,0,0.0,247,233,0,0,0.0,0.0,2021-02-14 19:00:00+00:00,0,9,0,0,0,0,24,0,19298,2,0,0.0,0,456,1820,1364,59,True,0,3,Alex Iwobi,8,FUL,1110,1060,EVE,1130,1200,0,2020
0,0,10,0,12.3,247,153,2,0,2.4,12.0,2021-02-17 20:15:00+00:00,68,13,0,0,0,0,24,0,19298,3,1,0.0,2,456,1820,1364,59,True,0,3,Alex Iwobi,8,MCI,1320,1350,EVE,1130,1200,0,2020
0,0,2,0,0.0,247,244,0,0,0.0,0.0,2021-02-20 17:30:00+00:00,4,12,0,0,0,0,25,0,17800,2,0,0.0,1,-1348,213,1561,59,False,0,3,Alex Iwobi,8,LIV,1190,1300,EVE,1100,1140,0,2020
0,0,1,0,1.5,247,251,0,0,0.5,3.0,2021-03-01 20:00:00+00:00,3,17,0,0,0,0,26,0,17587,0,1,0.0,1,-440,493,933,59,True,0,3,Alex Iwobi,8,SOU,1110,1160,EVE,1130,1200,0,2020
0,0,6,0,1.1,247,287,0,0,1.5,9.6,2021-03-04 18:00:00+00:00,57,27,0,0,0,0,26,0,17587,1,0,4.0,1,-440,493,933,59,False,0,3,Alex Iwobi,8,WBA,1040,1050,EVE,1100,1140,0,2020
0,0,3,0,11.7,247,262,1,0,1.7,3.2,2021-03-08 18:00:00+00:00,55,6,0,0,0,0,27,0,17240,0,2,2.0,1,-454,219,673,59,False,0,3,Alex Iwobi,8,CHE,1260,1250,EVE,1100,1140,0,2020
0,0,14,0,29.0,247,271,2,0,6.2,12.6,2021-03-13 17:30:00+00:00,90,21,0,0,0,0,28,0,17366,2,1,20.0,2,-18,549,567,59,True,0,3,Alex Iwobi,8,BUR,1090,1080,EVE,1130,1200,0,2020
0,0,0,0,0.0,247,292,0,0,0.0,0.0,2021-04-05 17:00:00+00:00,0,7,0,0,0,0,30,0,17135,1,1,0.0,0,-89,245,334,59,True,0,3,Alex Iwobi,8,CRY,1120,1020,EVE,1130,1200,0,2020
0,0,2,0,0.2,247,299,0,0,0.3,0.0,2021-04-12 19:15:00+00:00,32,5,0,0,0,0,31,0,16734,0,0,4.0,1,-420,95,515,59,False,0,3,Alex Iwobi,8,BHA,1150,1100,EVE,1100,1140,0,2020
0,0,3,0,1.4,247,312,1,0,0.8,0.2,2021-04-16 19:00:00+00:00,60,18,0,0,0,0,32,0,16794,2,2,6.0,2,-10,259,269,59,True,0,3,Alex Iwobi,8,TOT,1170,1290,EVE,1130,1200,0,2020
0,0,0,0,0.0,247,319,0,0,0.0,0.0,2021-04-23 19:00:00+00:00,0,1,0,0,0,0,33,0,16983,1,0,0.0,0,136,351,215,59,False,0,3,Alex Iwobi,8,ARS,1130,1220,EVE,1100,1140,0,2020
0,0,13,0,12.1,247,333,1,0,3.2,6.4,2021-05-01 19:00:00+00:00,75,2,0,0,0,0,34,0,16880,2,1,13.0,2,-131,155,286,59,True,0,3,Alex Iwobi,8,AVL,1140,1100,EVE,1130,1200,0,2020
0,0,0,0,0.0,247,347,0,0,0.0,0.0,2021-05-09 15:30:00+00:00,0,19,0,0,0,0,35,0,17649,1,0,0.0,0,676,968,292,59,False,0,3,Alex Iwobi,8,WHU,1140,1260,EVE,1100,1140,0,2020
0,0,4,0,4.8,247,180,0,0,0.9,4.4,2021-05-13 17:00:00+00:00,15,2,0,0,0,0,35,0,17649,0,0,0.0,1,676,968,292,59,False,0,3,Alex Iwobi,8,AVL,1120,1080,EVE,1100,1140,0,2020
0,0,0,0,0.0,247,351,0,0,0.0,0.0,2021-05-16 18:00:00+00:00,0,23,0,0,0,0,36,0,17696,1,0,0.0,0,18,339,321,59,True,0,3,Alex Iwobi,8,SHU,1070,1010,EVE,1130,1200,0,2020
0,0,0,0,0.0,247,363,0,0,0.0,0.0,2021-05-19 17:00:00+00:00,0,20,0,0,0,0,37,0,17407,0,1,0.0,0,-298,86,384,59,True,0,3,Alex Iwobi,8,WOL,1130,1120,EVE,1130,1200,0,2020
0,0,3,0,1.0,247,375,2,0,0.2,0.8,2021-05-23 15:00:00+00:00,33,13,0,0,0,0,38,0,17214,0,5,0.0,1,-221,144,365,59,False,0,3,Alex Iwobi,8,MCI,1280,1340,EVE,1100,1140,0,2020
