assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,11,1,3.3,826,4,0,0,2.7,3.8,2020-09-13 15:30:00+00:00,67,17,0,0,0,0,1,0,21001,1,0,20.0,3,0,0,0,55,False,0,3,André Tavares Gomes,7,TOT,1130,1250,EVE,1100,1140,0,2020
0,0,11,0,17.2,826,12,2,0,3.0,11.2,2020-09-19 11:30:00+00:00,90,18,0,0,0,0,2,0,32961,2,5,2.0,2,3676,7797,4121,55,True,0,3,André Tavares Gomes,7,WBA,1000,1040,EVE,1130,1200,0,2020
0,0,11,0,2.1,826,21,1,0,1.0,7.4,2020-09-26 14:00:00+00:00,75,6,0,0,0,0,3,0,32333,2,1,0.0,2,-2627,3986,6613,55,False,0,3,André Tavares Gomes,7,CRY,1030,1010,EVE,1100,1140,0,2020
0,0,0,0,0.0,826,32,0,0,0.0,0.0,2020-10-03 14:00:00+00:00,0,3,0,0,0,0,4,0,29624,2,4,0.0,0,-4013,3719,7732,55,True,0,3,André Tavares Gomes,7,BHA,1190,1130,EVE,1130,1200,0,2020
0,0,-2,0,12.2,826,41,2,0,1.6,4.2,2020-10-17 11:30:00+00:00,71,11,0,0,0,0,5,0,23833,2,2,0.0,1,-6314,756,7070,55,True,1,3,André Tavares Gomes,7,LIV,1210,1230,EVE,1130,1200,0,2020
0,0,0,0,0.0,826,56,0,0,0.0,0.0,2020-10-25 14:00:00+00:00,0,16,0,0,0,0,6,0,24227,0,2,0.0,0,-603,1654,2257,55,False,0,3,André Tavares Gomes,7,SOU,1030,1110,EVE,1100,1140,0,2020
0,0,2,0,12.5,826,65,1,0,0.8,0.0,2020-11-01 14:00:00+00:00,59,14,0,0,0,0,7,0,23587,1,2,0.0,1,-1111,1029,2140,55,False,0,3,André Tavares Gomes,7,NEW,1050,1030,EVE,1100,1140,0,2020
0,0,0,0,0.0,826,73,0,0,0.0,0.0,2020-11-07 12:30:00+00:00,0,13,0,0,0,0,8,0,20736,3,1,0.0,0,-2892,331,3223,55,True,0,3,André Tavares Gomes,7,MUN,1280,1310,EVE,1130,1200,0,2020
0,0,0,0,0.0,826,81,0,0,0.0,0.0,2020-11-22 12:00:00+00:00,0,8,0,0,0,0,9,0,20064,3,2,0.0,0,-984,464,1448,54,False,0,3,André Tavares Gomes,7,FUL,1150,1040,EVE,1100,1140,0,2020
0,0,4,0,1.5,826,93,1,0,0.7,5.0,2020-11-28 17:30:00+00:00,23,10,0,0,0,0,10,0,19559,1,0,0.0,1,-655,319,974,54,True,0,3,André Tavares Gomes,7,LEE,1150,1170,EVE,1130,1200,0,2020
