assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,398,4,0,0,0.0,0.0,2020-09-13 15:30:00+00:00,0,18,0,0,0,0,1,0,49378,1,0,0.0,0,0,0,0,45,False,0,3,Anthony Gordon,8,TOT,1130,1250,EVE,1100,1140,0,2020
0,0,0,0,0.0,398,12,0,0,0.0,0.0,2020-09-19 11:30:00+00:00,0,27,0,0,0,0,2,0,46290,2,5,0.0,0,-5381,1864,7245,45,True,0,3,Anthony Gordon,8,WBA,1000,1040,EVE,1130,1200,0,2020
0,0,0,0,0.0,398,21,0,0,0.0,0.0,2020-09-26 14:00:00+00:00,0,7,0,0,0,0,3,0,38655,2,1,0.0,0,-8347,1538,9885,45,False,0,3,Anthony Gordon,8,CRY,1030,1010,EVE,1100,1140,0,2020
0,0,0,0,0.0,398,32,0,0,0.0,0.0,2020-10-03 14:00:00+00:00,0,5,0,0,0,0,4,0,38408,2,4,0.0,0,-2230,3966,6196,44,True,0,3,Anthony Gordon,8,BHA,1190,1130,EVE,1130,1200,0,2020
0,0,0,0,0.0,398,41,0,0,0.0,0.0,2020-10-17 11:30:00+00:00,0,12,0,0,0,0,5,0,33527,2,2,0.0,0,-5507,3235,8742,44,True,0,3,Anthony Gordon,8,LIV,1210,1230,EVE,1130,1200,0,2020
0,0,4,0,1.2,398,56,0,0,0.7,4.2,2020-10-25 14:00:00+00:00,32,17,0,0,0,0,6,0,32082,0,2,2.0,1,-2179,2292,4471,44,False,0,3,Anthony Gordon,8,SOU,1030,1110,EVE,1100,1140,0,2020
0,0,0,0,0.0,398,65,0,0,0.0,0.0,2020-11-01 14:00:00+00:00,0,15,0,0,0,0,7,0,31877,1,2,0.0,0,-585,1684,2269,44,False,0,3,Anthony Gordon,8,NEW,1050,1030,EVE,1100,1140,0,2020
0,0,0,0,0.0,398,73,0,0,0.0,0.0,2020-11-07 12:30:00+00:00,0,14,0,0,0,0,8,0,30182,3,1,0.0,0,-1737,661,2398,44,True,0,3,Anthony Gordon,8,MUN,1280,1310,EVE,1130,1200,0,2020
0,0,0,0,0.0,398,81,0,0,0.0,0.0,2020-11-22 12:00:00+00:00,0,9,0,0,0,0,9,0,43413,3,2,0.0,0,7353,11378,4025,43,False,0,3,Anthony Gordon,8,FUL,1150,1040,EVE,1100,1140,0,2020
0,0,0,0,0.0,398,93,0,0,0.0,0.0,2020-11-28 17:30:00+00:00,0,24,0,0,0,0,10,0,74354,1,0,0.0,0,24460,30713,6253,43,True,0,3,Anthony Gordon,8,LEE,1150,1170,EVE,1130,1200,0,2020
0,0,0,0,0.0,398,101,0,0,0.0,0.0,2020-12-05 12:30:00+00:00,0,21,0,0,0,0,11,0,73857,1,1,0.0,0,4038,14279,10241,43,False,0,3,Anthony Gordon,8,BUR,1040,1040,EVE,1100,1140,0,2020
0,0,0,0,0.0,398,111,0,0,0.0,0.0,2020-12-12 20:00:00+00:00,0,6,0,0,0,0,12,0,73464,0,1,0.0,0,979,7557,6578,43,True,0,3,Anthony Gordon,8,CHE,1300,1310,EVE,1130,1200,0,2020
0,0,2,0,0.0,398,123,0,0,0.2,2.0,2020-12-16 18:00:00+00:00,1,11,0,0,0,0,13,0,74359,2,0,0.0,1,577,5676,5099,43,False,0,3,Anthony Gordon,8,LEI,1190,1150,EVE,1100,1140,0,2020
0,0,0,0,0.0,398,133,0,0,0.0,0.0,2020-12-19 17:30:00+00:00,0,1,0,0,0,0,14,0,75132,1,2,0.0,0,431,5518,5087,43,True,0,3,Anthony Gordon,8,ARS,1150,1210,EVE,1130,1200,0,2020
