assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,541,24,0,0,0.0,0.0,2020-09-27 15:30:00+00:00,0,12,0,0,0,0,3,0,2009,5,2,0.0,0,1454,2174,720,60,False,0,3,Cengiz Ünder,9,MCI,1280,1340,LEI,1150,1230,0,2020
0,0,2,0,3.3,541,34,1,0,1.0,2.6,2020-10-04 11:00:00+00:00,35,19,0,0,0,0,4,0,3353,3,0,4.0,1,917,1792,875,60,True,0,3,Cengiz Ünder,9,WHU,1190,1290,LEI,1190,1150,0,2020
0,0,0,0,0.0,541,43,0,0,0.0,0.0,2020-10-18 18:15:00+00:00,0,2,0,0,0,0,5,0,3756,1,0,0.0,0,-55,1136,1191,60,True,0,3,Cengiz Ünder,9,AVL,1140,1100,LEI,1190,1150,0,2020
1,0,16,0,11.3,541,49,0,0,3.5,20.0,2020-10-25 19:15:00+00:00,15,1,0,0,0,0,6,0,3301,1,0,4.0,4,-593,300,893,60,False,0,3,Cengiz Ünder,9,ARS,1130,1220,LEI,1150,1230,0,2020
1,0,19,0,20.8,541,62,0,0,4.4,21.2,2020-11-02 20:00:00+00:00,19,10,0,0,0,0,7,0,4893,4,1,2.0,4,1213,1718,505,59,False,0,3,Cengiz Ünder,9,LEE,1060,1210,LEI,1150,1230,0,2020
0,0,0,0,0.0,541,74,0,0,0.0,0.0,2020-11-08 14:00:00+00:00,0,20,0,0,0,0,8,0,7376,0,1,0.0,0,2117,2916,799,59,True,0,3,Cengiz Ünder,9,WOL,1130,1120,LEI,1190,1150,0,2020
0,0,3,0,6.1,541,83,1,0,1.8,3.6,2020-11-22 19:15:00+00:00,28,11,0,0,0,0,9,0,7305,0,3,8.0,1,-256,1446,1702,59,False,0,3,Cengiz Ünder,9,LIV,1190,1300,LEI,1150,1230,0,2020
0,0,8,0,25.3,541,94,0,0,4.6,10.8,2020-11-30 17:30:00+00:00,45,8,0,0,0,0,10,0,7327,2,1,10.0,1,-190,980,1170,59,True,0,3,Cengiz Ünder,9,FUL,1110,1060,LEI,1190,1150,0,2020
0,0,0,0,0.0,541,105,0,0,0.0,0.0,2020-12-06 14:15:00+00:00,0,15,0,0,0,0,11,0,6565,2,1,0.0,0,-860,497,1357,59,False,0,3,Cengiz Ünder,9,SHU,1020,1000,LEI,1150,1230,0,2020
0,0,0,0,0.0,541,114,0,0,0.0,0.0,2020-12-13 19:15:00+00:00,0,3,0,0,0,0,12,0,6091,0,3,0.0,0,-647,416,1063,59,True,0,3,Cengiz Ünder,9,BHA,1190,1130,LEI,1190,1150,0,2020
0,0,6,0,3.1,541,123,1,0,3.7,8.8,2020-12-16 18:00:00+00:00,61,7,0,0,0,0,13,0,5746,2,0,25.0,2,-443,306,749,59,True,0,3,Cengiz Ünder,9,EVE,1100,1140,LEI,1190,1150,0,2020
0,0,0,0,0.0,541,137,0,0,0.0,0.0,2020-12-20 14:15:00+00:00,0,17,0,0,0,0,14,0,5505,2,0,0.0,0,-331,222,553,59,False,0,3,Cengiz Ünder,9,TOT,1130,1250,LEI,1150,1230,0,2020
0,0,0,0,0.0,541,143,0,0,0.0,0.0,2020-12-26 12:30:00+00:00,0,13,0,0,0,0,15,0,5123,2,2,0.0,0,-513,184,697,58,True,0,3,Cengiz Ünder,9,MUN,1280,1310,LEI,1190,1150,0,2020
0,0,0,0,0.0,541,152,0,0,0.0,0.0,2020-12-28 15:00:00+00:00,0,6,0,0,0,0,16,0,4681,1,1,0.0,0,-467,20,487,58,False,0,3,Cengiz Ünder,9,CRY,1030,1010,LEI,1150,1230,0,2020
0,0,0,0,0.0,541,165,0,0,0.0,0.0,2021-01-03 14:15:00+00:00,0,14,0,0,0,0,17,0,4288,2,1,0.0,0,-406,16,422,58,False,0,3,Cengiz Ünder,9,NEW,1050,1030,LEI,1150,1230,0,2020
0,0,0,0,0.0,541,183,0,0,0.0,0.0,2021-01-16 20:00:00+00:00,0,16,0,0,0,0,19,0,3988,0,2,0.0,0,-141,24,165,57,True,0,3,Cengiz Ünder,9,SOU,1110,1160,LEI,1190,1150,0,2020
