assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,12,1,2.0,336,6,0,0,1.5,12.8,2020-09-12 19:00:00+00:00,90,19,0,0,0,0,1,0,5941,2,0,0.0,2,0,0,0,50,False,1,3,Isaac Hayden,14,1,WHU,1140,1260,NEW,1060,1110,0,2020
0,0,9,0,12.8,336,16,3,0,2.8,5.0,2020-09-20 13:00:00+00:00,90,3,0,0,0,0,2,0,6488,3,0,10.0,2,-540,553,1093,50,True,0,3,Isaac Hayden,14,2,BHA,1190,1130,NEW,1050,1030,0,2020
0,0,7,0,0.7,336,26,1,0,1.8,17.2,2020-09-27 13:00:00+00:00,90,17,0,0,0,0,3,0,5983,1,1,0.0,1,-843,408,1251,50,False,1,3,Isaac Hayden,14,3,TOT,1130,1250,NEW,1060,1110,0,2020
0,0,6,0,1.9,336,36,1,0,2.4,9.2,2020-10-03 19:00:00+00:00,90,4,0,0,0,0,4,0,5980,1,3,13.0,2,-286,542,828,50,True,0,3,Isaac Hayden,14,4,BUR,1090,1080,NEW,1050,1030,0,2020
0,0,7,0,10.4,336,45,1,0,2.1,10.4,2020-10-17 19:00:00+00:00,48,13,0,0,0,0,5,0,5605,4,1,0.0,1,-594,388,982,49,True,0,3,Isaac Hayden,14,5,MUN,1280,1310,NEW,1050,1030,0,2020
0,0,0,0,0.0,336,58,0,0,0.0,0.0,2020-10-25 16:30:00+00:00,0,20,0,0,0,0,6,0,4683,1,1,0.0,0,-919,46,965,49,False,0,3,Isaac Hayden,14,6,WOL,1120,1040,NEW,1060,1110,0,2020
0,0,3,0,0.2,336,65,1,0,0.0,0.0,2020-11-01 14:00:00+00:00,7,7,0,0,0,0,7,0,4612,1,2,0.0,1,-181,217,398,48,True,0,3,Isaac Hayden,14,7,EVE,1100,1140,NEW,1050,1030,0,2020
0,0,0,0,0.0,336,76,0,0,0.0,0.0,2020-11-06 20:00:00+00:00,0,16,0,0,0,0,8,0,4545,0,2,0.0,0,-134,195,329,48,False,0,3,Isaac Hayden,14,8,SOU,1030,1110,NEW,1060,1110,0,2020
0,0,6,0,12.3,336,85,2,0,1.4,2.0,2020-11-21 12:30:00+00:00,90,5,0,0,0,0,9,0,4406,2,0,0.0,1,-208,200,408,48,True,1,3,Isaac Hayden,14,9,CHE,1300,1310,NEW,1050,1030,0,2020
0,0,0,0,0.0,336,92,0,0,0.0,0.0,2020-11-27 20:00:00+00:00,0,6,0,0,0,0,10,0,4441,2,0,0.0,0,-34,211,245,48,False,0,3,Isaac Hayden,14,10,CRY,1030,1010,NEW,1060,1110,0,2020
