assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,950,112,0,0,0.0,0.0,2020-12-13 16:30:00+00:00,0,9,0,0,0,0,12,0,0,1,1,0.0,0,0,0,0,45,False,0,3,Jake Cain,12,FUL,1150,1040,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,127,0,0,0.0,0.0,2020-12-16 20:00:00+00:00,0,18,0,0,0,0,13,0,24,1,2,0.0,0,14,20,6,45,True,0,3,Jake Cain,12,TOT,1170,1290,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,132,0,0,0.0,0.0,2020-12-19 12:30:00+00:00,0,7,0,0,0,0,14,0,56,7,0,0.0,0,12,19,7,45,False,0,3,Jake Cain,12,CRY,1030,1010,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,144,0,0,0.0,0.0,2020-12-27 16:30:00+00:00,0,27,0,0,0,0,15,0,123,1,1,0.0,0,21,49,28,45,True,0,3,Jake Cain,12,WBA,1000,1040,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,155,0,0,0.0,0.0,2020-12-30 20:00:00+00:00,0,15,0,0,0,0,16,0,133,0,0,0.0,0,0,9,9,45,False,0,3,Jake Cain,12,NEW,1050,1030,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,166,0,0,0.0,0.0,2021-01-04 20:00:00+00:00,0,17,0,0,0,0,17,0,147,0,1,0.0,0,-1,21,22,45,False,0,3,Jake Cain,12,SOU,1030,1110,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,184,0,0,0.0,0.0,2021-01-17 16:30:00+00:00,0,14,0,0,0,0,19,0,220,0,0,0.0,0,2,21,19,45,True,0,3,Jake Cain,12,MUN,1280,1310,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,177,0,0,0.0,0.0,2021-01-21 20:00:00+00:00,0,21,0,0,0,0,19,0,220,1,0,0.0,0,2,21,19,45,True,0,3,Jake Cain,12,BUR,1090,1080,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,198,0,0,0.0,0.0,2021-01-28 20:00:00+00:00,0,18,0,0,0,0,20,0,258,3,1,0.0,0,7,38,31,45,False,0,3,Jake Cain,12,TOT,1130,1250,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,208,0,0,0.0,0.0,2021-01-31 16:30:00+00:00,0,19,0,0,0,0,21,0,247,3,1,0.0,0,-18,20,38,45,False,0,3,Jake Cain,12,WHU,1140,1260,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,216,0,0,0.0,0.0,2021-02-03 20:15:00+00:00,0,5,0,0,0,0,22,0,265,1,0,0.0,0,2,18,16,45,True,0,3,Jake Cain,12,BHA,1190,1130,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,223,0,0,0.0,0.0,2021-02-07 16:30:00+00:00,0,13,0,0,0,0,23,0,306,4,1,0.0,0,19,53,34,45,True,0,3,Jake Cain,12,MCI,1320,1350,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,234,0,0,0.0,0.0,2021-02-13 12:30:00+00:00,0,11,0,0,0,0,24,0,329,1,3,0.0,0,-4,45,49,45,False,0,3,Jake Cain,12,LEI,1190,1150,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,244,0,0,0.0,0.0,2021-02-20 17:30:00+00:00,0,8,0,0,0,0,25,0,335,2,0,0.0,0,-12,18,30,45,True,0,3,Jake Cain,12,EVE,1100,1140,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,256,0,0,0.0,0.0,2021-02-28 19:15:00+00:00,0,23,0,0,0,0,26,0,364,2,0,0.0,0,13,56,43,45,False,0,3,Jake Cain,12,SHU,1020,1000,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,283,0,0,0.0,0.0,2021-03-04 20:15:00+00:00,0,6,0,0,0,0,26,0,364,1,0,0.0,0,13,56,43,45,True,0,3,Jake Cain,12,CHE,1300,1310,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,263,0,0,0.0,0.0,2021-03-07 14:00:00+00:00,0,9,0,0,0,0,27,0,388,1,0,0.0,0,4,29,25,45,True,0,3,Jake Cain,12,FUL,1110,1060,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,278,0,0,0.0,0.0,2021-03-15 20:00:00+00:00,0,20,0,0,0,0,28,0,416,1,0,0.0,0,9,31,22,45,False,0,3,Jake Cain,12,WOL,1120,1040,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,289,0,0,0.0,0.0,2021-04-03 19:00:00+00:00,0,1,0,0,0,0,30,0,437,3,0,0.0,0,7,22,15,45,False,0,3,Jake Cain,12,ARS,1130,1220,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,303,0,0,0.0,0.0,2021-04-10 14:00:00+00:00,0,2,0,0,0,0,31,0,449,1,2,0.0,0,-1,12,13,45,True,0,3,Jake Cain,12,AVL,1140,1100,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,313,0,0,0.0,0.0,2021-04-19 19:00:00+00:00,0,24,0,0,0,0,32,0,454,1,1,0.0,0,1,16,15,45,False,0,3,Jake Cain,12,LEE,1060,1210,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,324,0,0,0.0,0.0,2021-04-24 11:30:00+00:00,0,15,0,0,0,0,33,0,470,1,1,0.0,0,1,17,16,45,True,0,3,Jake Cain,12,NEW,1060,1110,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,344,0,0,0.0,0.0,2021-05-08 19:15:00+00:00,0,17,0,0,0,0,35,0,479,0,2,0.0,0,6,19,13,45,True,0,3,Jake Cain,12,SOU,1110,1160,LIV,1190,1300,0,2020
0,0,0,0,0.0,950,334,0,0,0.0,0.0,2021-05-13 19:15:00+00:00,0,14,0,0,0,0,35,0,479,4,2,0.0,0,6,19,13,45,False,0,3,Jake Cain,12,MUN,1250,1240,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,353,0,0,0.0,0.0,2021-05-16 15:30:00+00:00,0,27,0,0,0,0,36,0,485,2,1,0.0,0,-6,8,14,45,False,0,3,Jake Cain,12,WBA,1040,1050,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,360,0,0,0.0,0.0,2021-05-19 19:15:00+00:00,0,21,0,0,0,0,37,0,485,3,0,0.0,0,-4,4,8,45,False,0,3,Jake Cain,12,BUR,1040,1040,LIV,1210,1230,0,2020
0,0,0,0,0.0,950,374,0,0,0.0,0.0,2021-05-23 15:00:00+00:00,0,7,0,0,0,0,38,0,501,0,2,0.0,0,4,21,17,45,True,0,3,Jake Cain,12,CRY,1120,1020,LIV,1190,1300,0,2020
