assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1573,19,0,0,0.0,0.0,2020-09-26 11:30:00+00:00,0,13,0,0,0,0,3,0,0,3,2,0.0,0,0,0,0,45,True,0,3,Jayson Molumby,3,MUN,1280,1310,BHA,1150,1100,0,2020
0,0,0,0,0.0,1573,32,0,0,0.0,0.0,2020-10-03 14:00:00+00:00,0,7,0,0,0,0,4,0,456,2,4,0.0,0,279,359,80,45,False,0,3,Jayson Molumby,3,EVE,1130,1200,BHA,1190,1130,0,2020
0,0,0,0,0.0,1573,40,0,0,0.0,0.0,2020-10-18 13:00:00+00:00,0,6,0,0,0,0,5,0,763,1,1,0.0,0,145,301,156,45,False,0,3,Jayson Molumby,3,CRY,1030,1010,BHA,1190,1130,0,2020
0,0,0,0,0.0,1573,51,0,0,0.0,0.0,2020-10-26 17:30:00+00:00,0,18,0,0,0,0,6,0,919,1,1,0.0,0,64,211,147,45,True,0,3,Jayson Molumby,3,WBA,1000,1040,BHA,1150,1100,0,2020
0,0,0,0,0.0,1573,67,0,0,0.0,0.0,2020-11-01 19:15:00+00:00,0,17,0,0,0,0,7,0,971,1,2,0.0,0,-1,132,133,45,False,0,3,Jayson Molumby,3,TOT,1130,1250,BHA,1190,1130,0,2020
0,0,0,0,0.0,1573,70,0,0,0.0,0.0,2020-11-06 17:30:00+00:00,0,4,0,0,0,0,8,0,979,0,0,0.0,0,-23,100,123,45,True,0,3,Jayson Molumby,3,BUR,1090,1080,BHA,1150,1100,0,2020
0,0,3,0,0.0,1573,79,0,0,0.0,0.0,2020-11-21 15:00:00+00:00,1,2,0,0,0,0,9,0,1128,2,1,0.0,1,74,241,167,45,False,0,3,Jayson Molumby,3,AVL,1120,1080,BHA,1190,1130,0,2020
0,0,0,0,0.0,1573,90,0,0,0.0,0.0,2020-11-28 12:30:00+00:00,0,11,0,0,0,0,10,0,1159,1,1,0.0,0,-8,162,170,45,True,0,3,Jayson Molumby,3,LIV,1210,1230,BHA,1150,1100,0,2020
0,0,0,0,0.0,1573,100,0,0,0.0,0.0,2020-12-07 20:00:00+00:00,0,16,0,0,0,0,11,0,1142,2,1,0.0,0,-63,87,150,45,True,0,3,Jayson Molumby,3,SOU,1110,1160,BHA,1150,1100,0,2020
0,0,0,0,0.0,1573,114,0,0,0.0,0.0,2020-12-13 19:15:00+00:00,0,9,0,0,0,0,12,0,1188,0,3,0.0,0,22,102,80,45,False,0,3,Jayson Molumby,3,LEI,1190,1150,BHA,1190,1130,0,2020
0,0,0,0,0.0,1573,121,0,0,0.0,0.0,2020-12-16 20:00:00+00:00,0,8,0,0,0,0,13,0,1219,0,0,0.0,0,3,71,68,45,False,0,3,Jayson Molumby,3,FUL,1150,1040,BHA,1190,1130,0,2020
0,0,0,0,0.0,1573,129,0,0,0.0,0.0,2020-12-20 12:00:00+00:00,0,15,0,0,0,0,14,0,1216,1,1,0.0,0,-19,57,76,45,True,0,3,Jayson Molumby,3,SHU,1070,1010,BHA,1150,1100,0,2020
0,0,0,0,0.0,1573,147,0,0,0.0,0.0,2020-12-27 14:15:00+00:00,0,19,0,0,0,0,15,0,1276,2,2,0.0,0,27,131,104,45,False,0,3,Jayson Molumby,3,WHU,1140,1260,BHA,1190,1130,0,2020
0,0,0,0,0.0,1573,149,0,0,0.0,0.0,2020-12-29 18:00:00+00:00,0,1,0,0,0,0,16,0,1287,1,0,0.0,0,-8,54,62,45,True,0,3,Jayson Molumby,3,ARS,1150,1210,BHA,1150,1100,0,2020
0,0,0,0,0.0,1573,159,0,0,0.0,0.0,2021-01-02 17:30:00+00:00,0,20,0,0,0,0,17,0,1276,3,3,0.0,0,-38,71,109,45,True,0,3,Jayson Molumby,3,WOL,1130,1120,BHA,1150,1100,0,2020
0,0,0,0,0.0,1573,178,0,0,0.0,0.0,2021-01-13 18:00:00+00:00,0,12,0,0,0,0,18,0,1286,0,1,0.0,0,-66,162,228,45,False,0,3,Jayson Molumby,3,MCI,1280,1340,BHA,1190,1130,0,2020
0,0,0,0,0.0,1573,182,0,0,0.0,0.0,2021-01-16 15:00:00+00:00,0,10,0,0,0,0,19,0,1179,1,0,0.0,0,-86,28,114,45,False,0,3,Jayson Molumby,3,LEE,1060,1210,BHA,1190,1130,0,2020
