assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,11,0,31.3,385,15,3,0,5.0,8.2,2020-09-19 16:30:00+00:00,90,6,0,0,0,0,2,0,445991,3,1,10.0,2,111651,160201,48550,95,True,0,3,Marcus Rashford,13,CRY,1120,1020,MUN,1250,1240,0,2020
0,0,21,0,14.5,385,19,2,1,9.0,36.6,2020-09-26 11:30:00+00:00,90,3,0,0,0,0,3,0,380669,3,2,39.0,7,-71554,46907,118461,95,False,0,3,Marcus Rashford,13,BHA,1150,1100,MUN,1280,1310,0,2020
0,0,4,0,14.9,385,35,6,0,2.3,5.6,2020-10-04 15:30:00+00:00,90,17,0,0,0,0,4,0,445218,6,1,2.0,2,46715,98467,51752,95,True,0,3,Marcus Rashford,13,TOT,1170,1290,MUN,1250,1240,0,2020
2,2,46,0,35.8,385,45,1,1,22.3,76.6,2020-10-17 19:00:00+00:00,90,14,0,0,0,0,5,0,417457,4,1,111.0,15,-42366,66781,109147,95,False,0,3,Marcus Rashford,13,NEW,1050,1030,MUN,1280,1310,0,2020
0,0,0,1,18.8,385,55,0,0,6.2,7.6,2020-10-24 16:30:00+00:00,90,5,0,0,0,0,6,0,513232,0,0,36.0,2,82732,117223,34491,95,True,1,3,Marcus Rashford,13,CHE,1300,1310,MUN,1250,1240,0,2020
0,0,4,0,19.3,385,64,1,0,3.7,3.6,2020-11-01 16:30:00+00:00,90,1,0,0,0,0,7,0,642682,1,0,14.0,2,117364,151365,34001,95,True,0,3,Marcus Rashford,13,ARS,1150,1210,MUN,1250,1240,0,2020
1,0,11,0,47.1,385,73,1,0,10.9,29.8,2020-11-07 12:30:00+00:00,90,7,0,0,0,0,8,0,672502,3,1,32.0,5,26468,90351,63883,96,False,0,3,Marcus Rashford,13,EVE,1130,1200,MUN,1280,1310,0,2020
0,0,4,1,5.4,385,84,0,0,5.9,9.8,2020-11-21 20:00:00+00:00,78,18,0,0,0,0,9,0,556688,0,1,44.0,3,-111225,42929,154154,96,True,0,3,Marcus Rashford,13,WBA,1000,1040,MUN,1250,1240,0,2020
1,0,18,0,38.8,385,96,2,0,10.4,29.8,2020-11-29 14:00:00+00:00,90,16,0,0,0,0,10,0,528919,3,2,35.0,5,-37712,33294,71006,95,False,0,3,Marcus Rashford,13,SOU,1030,1110,MUN,1280,1310,0,2020
0,0,18,0,13.8,385,108,0,1,9.5,34.2,2020-12-05 17:30:00+00:00,45,19,0,0,0,0,11,0,440895,3,1,47.0,6,-84742,14070,98812,95,False,0,3,Marcus Rashford,13,WHU,1140,1260,MUN,1280,1310,0,2020
0,0,4,1,12.0,385,115,0,0,1.8,2.4,2020-12-12 17:30:00+00:00,90,12,0,0,0,0,12,0,461068,0,0,4.0,3,9343,43693,34350,94,True,0,3,Marcus Rashford,13,MCI,1320,1350,MUN,1250,1240,0,2020
0,2,48,0,14.1,385,124,2,2,13.2,72.6,2020-12-17 20:00:00+00:00,90,15,0,0,0,0,13,0,538525,3,2,45.0,14,66787,89095,22308,94,False,0,3,Marcus Rashford,13,SHU,1020,1000,MUN,1280,1310,0,2020
0,0,14,0,14.4,385,134,1,0,7.9,13.8,2020-12-20 16:30:00+00:00,70,10,0,0,0,0,14,0,688683,2,6,51.0,2,148472,164363,15891,95,True,0,3,Marcus Rashford,13,LEE,1150,1170,MUN,1250,1240,0,2020
0,0,15,0,2.8,385,143,2,1,9.2,49.2,2020-12-26 12:30:00+00:00,90,9,0,0,0,0,15,0,674404,2,2,40.0,7,-13944,79248,93192,95,False,0,3,Marcus Rashford,13,LEI,1190,1150,MUN,1280,1310,0,2020
0,0,21,1,10.0,385,154,0,1,8.1,32.6,2020-12-29 20:00:00+00:00,90,20,0,0,0,0,16,0,654312,0,1,38.0,7,-21854,49057,70911,95,True,1,3,Marcus Rashford,13,WOL,1130,1120,MUN,1250,1240,0,2020
0,0,4,0,3.3,385,164,1,0,6.7,10.8,2021-01-01 20:00:00+00:00,90,2,0,0,0,0,17,0,796276,1,2,53.0,2,132085,164720,32635,95,True,0,3,Marcus Rashford,13,AVL,1140,1100,MUN,1250,1240,0,2020
1,0,24,1,20.2,385,379,0,0,5.8,21.8,2021-01-12 20:15:00+00:00,79,4,0,0,0,0,18,0,1276859,1,0,16.0,6,144807,228843,84036,96,False,0,3,Marcus Rashford,13,BUR,1040,1040,MUN,1280,1310,0,2020
0,0,-2,1,1.4,385,184,0,0,1.5,0.0,2021-01-17 16:30:00+00:00,90,11,0,0,0,0,19,0,1016925,0,0,14.0,2,52232,138917,86685,96,False,1,3,Marcus Rashford,13,LIV,1190,1300,MUN,1280,1310,0,2020
0,0,4,0,0.6,385,171,0,0,0.6,1.4,2021-01-20 20:15:00+00:00,5,8,0,0,0,0,19,0,1016925,2,1,4.0,1,52232,138917,86685,96,False,0,3,Marcus Rashford,13,FUL,1150,1040,MUN,1280,1310,0,2020
0,0,10,0,12.8,385,192,2,0,3.6,6.2,2021-01-27 20:15:00+00:00,90,15,0,0,0,0,20,0,979575,2,1,17.0,2,-22285,154682,176967,96,True,0,3,Marcus Rashford,13,SHU,1070,1010,MUN,1250,1240,0,2020
