assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,12,0,11.4,749,178,1,0,2.4,6.4,2021-01-13 18:00:00+00:00,67,13,0,0,0,0,18,0,1431,0,1,6.0,2,964,1050,86,55,False,0,3,Percy Tau,5,MCI,1280,1340,BHA,1190,1130,0,2020
0,0,2,0,0.1,749,182,0,0,0.1,1.2,2021-01-16 15:00:00+00:00,17,24,0,0,0,0,19,0,3437,1,0,0.0,1,2248,2641,393,55,False,0,3,Percy Tau,5,LEE,1060,1210,BHA,1190,1130,0,2020
0,0,0,0,0.0,749,189,0,0,0.0,0.0,2021-01-27 19:30:00+00:00,0,9,0,0,0,0,20,0,3604,0,0,0.0,0,109,914,805,55,True,0,3,Percy Tau,5,FUL,1110,1060,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,200,0,0,0.0,0.0,2021-01-31 19:15:00+00:00,0,18,0,0,0,0,21,0,2818,0,1,0.0,0,-819,129,948,54,True,0,3,Percy Tau,5,TOT,1170,1290,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,216,0,0,0.0,0.0,2021-02-03 20:15:00+00:00,0,12,0,0,0,0,22,0,2442,1,0,0.0,0,-419,88,507,53,False,0,3,Percy Tau,5,LIV,1190,1300,BHA,1190,1130,0,2020
0,0,0,0,0.0,749,220,0,0,0.0,0.0,2021-02-06 15:00:00+00:00,0,21,0,0,0,0,23,0,2097,1,1,0.0,0,-385,67,452,52,False,0,3,Percy Tau,5,BUR,1040,1040,BHA,1190,1130,0,2020
0,0,0,0,0.0,749,230,0,0,0.0,0.0,2021-02-13 20:00:00+00:00,0,2,0,0,0,0,24,0,1792,0,0,0.0,0,-333,49,382,51,True,0,3,Percy Tau,5,AVL,1140,1100,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,241,0,0,0.0,0.0,2021-02-22 20:00:00+00:00,0,7,0,0,0,0,25,0,1645,2,1,0.0,0,-191,43,234,51,True,0,3,Percy Tau,5,CRY,1120,1020,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,258,0,0,0.0,0.0,2021-02-27 15:00:00+00:00,0,27,0,0,0,0,26,0,1560,0,1,0.0,0,-130,75,205,50,False,0,3,Percy Tau,5,WBA,1040,1050,BHA,1190,1130,0,2020
0,0,0,0,0.0,749,260,0,0,0.0,0.0,2021-03-06 20:00:00+00:00,0,11,0,0,0,0,27,0,1537,2,1,0.0,0,-65,61,126,50,True,0,3,Percy Tau,5,LEI,1150,1230,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,277,0,0,0.0,0.0,2021-03-14 12:00:00+00:00,0,17,0,0,0,0,28,0,1527,2,1,0.0,0,-47,62,109,50,False,0,3,Percy Tau,5,SOU,1030,1110,BHA,1190,1130,0,2020
0,0,0,0,0.0,749,279,0,0,0.0,0.0,2021-03-20 20:00:00+00:00,0,15,0,0,0,0,29,0,1540,0,3,0.0,0,-34,50,84,49,True,0,3,Percy Tau,5,NEW,1060,1110,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,295,0,0,0.0,0.0,2021-04-04 18:30:00+00:00,0,14,0,0,0,0,30,0,1473,1,2,0.0,0,-75,24,99,49,False,0,3,Percy Tau,5,MUN,1250,1240,BHA,1190,1130,0,2020
0,0,0,0,0.0,749,299,0,0,0.0,0.0,2021-04-12 19:15:00+00:00,0,8,0,0,0,0,31,0,1378,0,0,0.0,0,-96,5,101,49,True,0,3,Percy Tau,5,EVE,1100,1140,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,311,0,0,0.0,0.0,2021-04-20 19:15:00+00:00,0,6,0,0,0,0,32,0,1334,0,0,0.0,0,-45,13,58,49,False,0,3,Percy Tau,5,CHE,1260,1250,BHA,1190,1130,0,2020
0,0,0,0,0.0,749,326,0,0,0.0,0.0,2021-04-24 19:00:00+00:00,0,23,0,0,0,0,33,0,1305,0,1,0.0,0,-37,4,41,49,False,0,3,Percy Tau,5,SHU,1020,1000,BHA,1190,1130,0,2020
0,0,0,0,0.0,749,329,0,0,0.0,0.0,2021-05-01 14:00:00+00:00,0,24,0,0,0,0,34,0,1294,0,2,0.0,0,-17,9,26,49,True,0,3,Percy Tau,5,LEE,1150,1170,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,348,0,0,0.0,0.0,2021-05-09 11:00:00+00:00,0,20,0,0,0,0,35,0,1273,1,2,0.0,0,-23,5,28,49,False,0,3,Percy Tau,5,WOL,1120,1040,BHA,1190,1130,0,2020
1,0,17,0,24.3,749,349,1,0,4.4,19.2,2021-05-15 19:00:00+00:00,17,19,0,0,0,0,36,0,1287,1,1,0.0,4,6,28,22,49,True,0,3,Percy Tau,5,WHU,1190,1290,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,359,0,0,0.0,0.0,2021-05-18 18:00:00+00:00,0,13,0,0,0,0,37,0,1404,2,3,0.0,0,108,132,24,49,True,0,3,Percy Tau,5,MCI,1320,1350,BHA,1150,1100,0,2020
0,0,0,0,0.0,749,369,0,0,0.0,0.0,2021-05-23 15:00:00+00:00,0,1,0,0,0,0,38,0,1460,0,2,0.0,0,43,111,68,49,False,0,3,Percy Tau,5,ARS,1130,1220,BHA,1190,1130,0,2020
