assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
1,0,17,0,14.7,186,18,1,0,6.6,22.2,2020-09-21 19:15:00+00:00,81,20,0,0,0,0,2,0,322864,3,1,29.0,5,70648,106804,36156,115,False,0,3,Raheem Sterling,12,WOL,1120,1040,MCI,1320,1350,0,2020
0,0,-4,0,6.5,186,24,5,0,5.1,4.6,2020-09-27 15:30:00+00:00,90,9,0,0,0,0,3,0,431789,5,2,40.0,2,92242,158435,66193,115,True,0,3,Raheem Sterling,12,LEI,1150,1230,MCI,1280,1340,0,2020
0,2,21,0,54.3,186,33,1,1,16.7,43.2,2020-10-03 16:30:00+00:00,90,10,0,0,0,0,4,0,496951,1,1,69.0,9,54283,108435,54152,115,False,0,3,Raheem Sterling,12,LEE,1060,1210,MCI,1320,1350,0,2020
0,3,28,1,21.0,186,44,0,1,9.5,39.4,2020-10-17 16:30:00+00:00,90,1,0,0,0,0,5,0,436941,0,1,35.0,11,-54119,91739,145858,115,True,0,3,Raheem Sterling,12,ARS,1150,1210,MCI,1280,1340,0,2020
0,0,1,0,2.1,186,57,1,0,3.5,5.6,2020-10-24 11:30:00+00:00,90,19,0,0,0,0,6,0,557608,1,1,27.0,2,100619,138478,37859,116,False,0,3,Raheem Sterling,12,WHU,1140,1260,MCI,1320,1350,0,2020
0,0,17,1,18.3,186,66,0,0,8.2,9.8,2020-10-31 12:30:00+00:00,90,15,0,0,0,0,7,0,541559,1,0,54.0,3,-15902,43987,59889,116,False,0,3,Raheem Sterling,12,SHU,1020,1000,MCI,1320,1350,0,2020
0,0,4,0,4.8,186,75,1,0,3.8,4.0,2020-11-08 16:30:00+00:00,90,11,0,0,0,0,8,0,463779,1,1,29.0,1,-75608,13479,89087,116,True,1,3,Raheem Sterling,12,LIV,1210,1230,MCI,1280,1340,0,2020
0,0,2,0,11.0,186,87,0,0,1.8,0.0,2020-11-21 17:30:00+00:00,18,17,0,0,0,0,9,0,344145,0,2,7.0,1,-116904,13113,130017,115,False,0,3,Raheem Sterling,12,TOT,1130,1250,MCI,1320,1350,0,2020
0,0,0,0,0.0,186,95,0,0,0.0,0.0,2020-11-28 15:00:00+00:00,0,4,0,0,0,0,10,0,365304,0,5,0.0,0,5480,40427,34947,115,True,0,3,Raheem Sterling,12,BUR,1090,1080,MCI,1280,1340,0,2020
1,2,33,1,3.8,186,104,0,1,12.4,43.6,2020-12-05 15:00:00+00:00,90,8,0,0,0,0,11,0,305795,0,2,77.0,13,-55736,15975,71711,114,True,0,3,Raheem Sterling,12,FUL,1110,1060,MCI,1280,1340,0,2020
0,0,1,1,4.1,186,115,0,0,3.8,4.0,2020-12-12 17:30:00+00:00,90,13,0,0,0,0,12,0,298936,0,0,30.0,3,-9147,17531,26678,114,False,0,3,Raheem Sterling,12,MUN,1250,1240,MCI,1320,1350,0,2020
1,2,22,0,61.6,186,128,1,0,18.2,34.2,2020-12-15 20:00:00+00:00,90,18,0,0,0,0,13,0,340830,1,1,86.0,7,34544,48439,13895,114,True,0,3,Raheem Sterling,12,WBA,1000,1040,MCI,1280,1340,0,2020
0,0,20,1,4.5,186,136,0,1,7.1,38.0,2020-12-19 15:00:00+00:00,90,16,0,0,0,0,14,0,323173,1,0,28.0,8,-13309,16361,29670,114,False,0,3,Raheem Sterling,12,SOU,1030,1110,MCI,1320,1350,0,2020
1,0,28,1,26.0,186,145,0,0,12.8,31.4,2020-12-26 20:00:00+00:00,90,14,0,0,0,0,15,0,346580,0,2,71.0,6,16739,41683,24944,114,True,0,3,Raheem Sterling,12,NEW,1060,1110,MCI,1280,1340,0,2020
1,0,22,0,25.9,186,161,1,0,4.2,6.4,2021-01-03 16:30:00+00:00,90,5,0,0,0,0,17,0,320067,3,1,10.0,5,-13889,23908,37797,114,False,0,3,Raheem Sterling,12,CHE,1260,1250,MCI,1320,1350,0,2020
0,0,-9,0,0.3,186,178,0,0,2.4,0.0,2021-01-13 18:00:00+00:00,8,3,0,1,0,0,18,0,382374,0,1,26.0,-1,22473,80506,58033,114,True,0,3,Raheem Sterling,12,BHA,1190,1130,MCI,1280,1340,0,2020
0,0,25,1,6.2,186,185,0,1,8.5,41.8,2021-01-17 19:15:00+00:00,90,6,0,0,0,0,19,0,336494,0,4,37.0,8,-8383,33191,41574,114,True,0,3,Raheem Sterling,12,CRY,1120,1020,MCI,1280,1340,0,2020
0,0,3,1,24.2,186,380,0,0,7.1,2.4,2021-01-20 18:00:00+00:00,71,2,0,0,0,0,19,0,336494,0,2,44.0,3,-8383,33191,41574,114,True,0,3,Raheem Sterling,12,AVL,1140,1100,MCI,1280,1340,0,2020
1,0,38,1,20.8,186,193,0,1,18.1,55.0,2021-01-26 20:15:00+00:00,90,18,0,0,0,0,20,0,761115,5,0,105.0,11,417851,452070,34219,115,False,0,3,Raheem Sterling,12,WBA,1040,1050,MCI,1320,1350,0,2020
0,0,0,0,0.0,186,205,0,0,0.0,0.0,2021-01-30 15:00:00+00:00,0,15,0,0,0,0,21,0,999753,0,1,0.0,0,235631,261966,26335,116,True,0,3,Raheem Sterling,12,SHU,1070,1010,MCI,1280,1340,0,2020
0,0,25,1,27.9,186,210,0,1,15.4,50.6,2021-02-03 18:00:00+00:00,90,4,0,0,0,0,22,0,945944,2,0,75.0,8,-50535,64223,114758,116,False,0,3,Raheem Sterling,12,BUR,1040,1040,MCI,1320,1350,0,2020
0,1,36,0,25.3,186,223,1,1,12.2,49.4,2021-02-07 16:30:00+00:00,90,11,0,0,0,0,23,0,913499,4,1,47.0,8,-34244,58476,92720,116,False,0,3,Raheem Sterling,12,LIV,1190,1300,MCI,1320,1350,0,2020
1,0,29,1,42.2,186,235,0,0,11.8,34.6,2021-02-13 17:30:00+00:00,90,17,0,0,0,0,24,0,1211408,0,3,41.0,6,254636,295126,40490,116,True,0,3,Raheem Sterling,12,TOT,1170,1290,MCI,1280,1340,0,2020
0,0,9,0,15.8,186,153,1,0,3.0,4.4,2021-02-17 20:15:00+00:00,79,7,0,0,0,0,24,0,1211408,3,1,10.0,1,254636,295126,40490,116,False,1,3,Raheem Sterling,12,EVE,1130,1200,MCI,1320,1350,0,2020
0,0,28,1,19.3,186,239,0,1,14.2,40.8,2021-02-21 16:30:00+00:00,90,1,0,0,0,0,25,0,1018956,1,0,82.0,8,-153553,22705,176258,116,False,0,3,Raheem Sterling,12,ARS,1130,1220,MCI,1320,1350,0,2020
0,0,0,0,0.0,186,254,0,0,0.0,0.0,2021-02-27 12:30:00+00:00,0,19,0,0,0,0,26,0,962115,1,2,0.0,0,-58272,80053,138325,116,True,0,3,Raheem Sterling,12,WHU,1190,1290,MCI,1280,1340,0,2020
0,0,4,0,17.4,186,284,1,0,8.6,5.2,2021-03-02 20:00:00+00:00,90,20,0,0,0,0,26,0,962115,1,4,63.0,2,-58272,80053,138325,116,True,0,3,Raheem Sterling,12,WOL,1130,1120,MCI,1280,1340,0,2020
0,0,1,0,14.6,186,264,2,0,5.1,3.6,2021-03-07 16:30:00+00:00,90,13,0,0,0,0,27,0,851293,2,0,33.0,2,-115237,38774,154011,116,True,0,3,Raheem Sterling,12,MUN,1280,1310,MCI,1280,1340,0,2020
0,0,0,0,0.0,186,325,0,0,0.0,0.0,2021-03-10 18:00:00+00:00,0,16,0,0,0,0,27,0,851293,2,5,0.0,0,-115237,38774,154011,116,True,0,3,Raheem Sterling,12,SOU,1110,1160,MCI,1280,1340,0,2020
0,0,0,0,0.0,186,272,0,0,0.0,0.0,2021-03-13 20:00:00+00:00,0,8,0,0,0,0,28,0,684661,3,0,0.0,0,-167584,18158,185742,115,False,0,3,Raheem Sterling,12,FUL,1150,1040,MCI,1320,1350,0,2020
1,0,14,0,10.9,186,294,0,0,3.2,17.4,2021-04-03 16:30:00+00:00,27,9,0,0,0,0,30,0,479278,2,0,4.0,4,-47066,11511,58577,114,False,0,3,Raheem Sterling,12,LEI,1190,1150,MCI,1320,1350,0,2020
0,0,1,0,18.9,186,304,2,0,5.0,0.0,2021-04-10 11:30:00+00:00,90,10,0,0,0,0,31,0,492165,2,1,33.0,2,11716,50717,39001,113,True,0,3,Raheem Sterling,12,LEE,1150,1170,MCI,1280,1340,0,2020
0,0,0,0,0.0,186,310,0,0,0.0,0.0,2021-04-21 19:15:00+00:00,0,2,0,0,0,0,32,0,419384,2,1,0.0,0,-72253,4767,77020,112,False,0,3,Raheem Sterling,12,AVL,1120,1080,MCI,1320,1350,0,2020
0,0,1,1,5.8,186,332,0,0,5.7,0.0,2021-05-01 11:30:00+00:00,90,6,0,0,0,0,34,0,404214,2,0,59.0,3,22956,35032,12076,111,False,0,3,Raheem Sterling,12,CRY,1030,1010,MCI,1320,1350,0,2020
0,0,19,0,4.4,186,345,2,1,9.5,39.0,2021-05-08 16:30:00+00:00,90,5,0,0,0,0,35,0,358547,2,1,52.0,6,-43877,1861,45738,111,True,1,3,Raheem Sterling,12,CHE,1300,1310,MCI,1280,1340,0,2020
0,0,4,0,23.9,186,356,3,0,4.8,7.6,2021-05-14 19:00:00+00:00,90,14,0,0,0,0,36,0,398779,4,3,16.0,2,35418,43242,7824,110,False,0,3,Raheem Sterling,12,NEW,1050,1030,MCI,1320,1350,0,2020
