assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,18,0,12.2,457,7,3,0,3.6,21.4,2021-08-14 16:30:00+00:00,90,11,0,0,0,0,1,0,6451,3,0,2.0,1,0,0,0,45,True,0,2,Dimitris Giannoulis,15,1,LIV,1350,1350,NOR,1040,1040,1,2021
0,0,6,0,0.4,457,16,2,0,0.5,5.0,2021-08-21 14:00:00+00:00,45,12,0,0,0,0,2,0,7553,0,5,0.0,0,-368,376,744,45,False,0,2,Dimitris Giannoulis,15,2,MCI,1340,1340,NOR,1040,1030,1,2021
0,0,0,0,0.0,457,26,0,0,0.0,0.0,2021-08-28 14:00:00+00:00,0,9,0,0,0,0,3,0,7058,2,1,0.0,0,-887,182,1069,45,True,0,2,Dimitris Giannoulis,15,3,LEI,1080,1160,NOR,1040,1040,1,2021
0,0,0,0,0.0,457,31,0,0,0.0,0.0,2021-09-11 14:00:00+00:00,0,1,0,0,0,0,4,0,6359,0,1,0.0,0,-1095,271,1366,44,False,0,2,Dimitris Giannoulis,15,4,ARS,1150,1190,NOR,1040,1030,1,2021
0,0,0,0,0.0,457,47,0,0,0.0,0.0,2021-09-18 14:00:00+00:00,0,18,0,0,0,0,5,0,5339,3,1,0.0,0,-1030,53,1083,44,True,0,2,Dimitris Giannoulis,15,5,WAT,1040,1070,NOR,1040,1040,1,2021
0,0,4,0,0.4,457,55,0,0,0.4,3.4,2021-09-25 14:00:00+00:00,4,8,0,0,0,0,6,0,5132,0,2,0.0,1,-328,54,382,44,False,0,2,Dimitris Giannoulis,15,6,EVE,1130,1110,NOR,1040,1030,1,2021
0,0,26,1,1.8,457,62,0,0,4.5,23.0,2021-10-02 14:00:00+00:00,90,5,0,0,0,0,7,0,5004,0,0,20.0,6,-186,39,225,44,False,0,2,Dimitris Giannoulis,15,7,BUR,1080,1060,NOR,1040,1030,1,2021
0,2,27,1,26.1,457,78,0,0,4.8,20.2,2021-10-16 14:00:00+00:00,90,4,0,0,0,0,8,0,5102,0,0,2.0,7,-8,123,131,44,True,1,2,Dimitris Giannoulis,15,8,BHA,1160,1120,NOR,1040,1040,1,2021
0,0,3,0,0.1,457,84,3,0,0.0,0.0,2021-10-23 11:30:00+00:00,45,6,0,0,0,0,9,0,6033,0,7,0.0,0,717,903,186,44,False,0,2,Dimitris Giannoulis,15,9,CHE,1300,1250,NOR,1040,1030,1,2021
0,0,0,0,0.0,457,97,0,0,0.0,0.0,2021-10-31 14:00:00+00:00,0,10,0,0,0,0,10,0,6760,2,1,0.0,0,439,1046,607,44,True,0,2,Dimitris Giannoulis,15,10,LEE,1070,1100,NOR,1040,1040,1,2021
0,0,1,0,0.3,457,102,0,0,0.2,1.4,2021-11-06 15:00:00+00:00,16,3,0,0,0,0,11,0,6632,2,1,0.0,1,-92,363,455,44,False,0,2,Dimitris Giannoulis,15,11,BRE,1120,1080,NOR,1040,1030,1,2021
0,0,0,0,0.0,457,117,0,0,0.0,0.0,2021-11-20 15:00:00+00:00,0,16,0,0,0,0,12,0,6402,1,2,0.0,0,-310,151,461,44,True,0,2,Dimitris Giannoulis,15,12,SOU,1140,1090,NOR,1040,1040,1,2021
0,0,0,0,0.0,457,130,0,0,0.0,0.0,2021-11-27 15:00:00+00:00,0,20,0,0,0,0,13,0,6142,0,0,0.0,0,-305,81,386,44,True,0,2,Dimitris Giannoulis,15,13,WOL,1160,1100,NOR,1040,1040,1,2021
1,0,12,0,15.7,457,138,0,0,4.2,22.4,2021-11-30 19:30:00+00:00,17,14,0,0,0,0,14,0,6002,1,1,4.0,4,-156,63,219,44,False,0,2,Dimitris Giannoulis,15,14,NEW,1050,1040,NOR,1040,1030,1,2021
0,0,0,0,0.0,457,147,0,0,0.0,0.0,2021-12-05 14:00:00+00:00,0,17,0,0,0,0,15,0,5953,0,3,0.0,0,-91,82,173,44,False,0,2,Dimitris Giannoulis,15,15,TOT,1190,1210,NOR,1040,1030,1,2021
0,0,19,0,25.0,457,160,1,0,4.2,17.0,2021-12-11 17:30:00+00:00,90,13,0,0,0,0,16,0,5871,1,0,0.0,2,-101,47,148,44,True,0,2,Dimitris Giannoulis,15,16,MUN,1190,1200,NOR,1040,1040,1,2021
0,0,0,0,0.0,457,167,0,0,0.0,0.0,2021-12-14 19:45:00+00:00,0,2,0,0,0,0,17,0,6594,2,0,0.0,0,639,926,287,44,True,0,2,Dimitris Giannoulis,15,17,AVL,1110,1090,NOR,1040,1040,1,2021
0,0,0,0,0.0,457,187,0,0,0.0,0.0,2021-12-26 15:00:00+00:00,0,1,0,0,0,0,19,0,6055,5,0,0.0,0,-51,160,211,44,True,0,2,Dimitris Giannoulis,15,19,ARS,1210,1220,NOR,1040,1040,1,2021
0,0,3,0,0.1,457,194,3,0,0.3,2.6,2021-12-28 15:00:00+00:00,45,7,0,0,0,0,20,0,6101,0,3,0.0,0,1,135,134,44,False,0,2,Dimitris Giannoulis,15,20,CRY,1110,1080,NOR,1040,1030,1,2021
0,0,0,0,0.0,457,179,0,0,0.0,0.0,2022-01-12 19:45:00+00:00,0,19,0,0,0,0,21,0,5731,0,2,0.0,0,-320,25,345,44,False,0,2,Dimitris Giannoulis,15,21,WHU,1110,1160,NOR,1040,1030,1,2021
0,0,3,0,0.0,457,217,0,0,0.5,5.0,2022-01-15 15:00:00+00:00,10,8,0,0,0,0,22,0,5567,1,2,0.0,1,-190,33,223,44,True,0,2,Dimitris Giannoulis,15,22,EVE,1090,1110,NOR,1040,1040,1,2021
0,0,0,0,0.0,457,230,0,0,0.0,0.0,2022-01-21 20:00:00+00:00,0,18,0,0,0,0,23,0,5592,3,0,0.0,0,-15,76,91,44,False,0,2,Dimitris Giannoulis,15,23,WAT,1090,1120,NOR,1040,1030,1,2021
0,0,0,0,0.0,457,234,0,0,0.0,0.0,2022-02-09 19:45:00+00:00,0,7,0,0,0,0,24,0,5555,1,1,0.0,0,-73,27,100,44,True,0,2,Dimitris Giannoulis,15,24,CRY,1160,1160,NOR,1040,1040,1,2021
0,0,0,0,0.0,457,248,0,0,0.0,0.0,2022-02-12 17:30:00+00:00,0,12,0,0,0,0,25,0,5506,4,0,0.0,0,-60,15,75,44,True,0,2,Dimitris Giannoulis,15,25,MCI,1360,1360,NOR,1040,1040,1,2021
0,0,0,0,0.0,457,256,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,11,0,0,0,0,26,0,5447,1,3,0.0,0,-73,12,85,44,False,0,2,Dimitris Giannoulis,15,26,LIV,1300,1340,NOR,1040,1030,1,2021
0,0,0,0,0.0,457,269,0,0,0.0,0.0,2022-02-25 20:00:00+00:00,0,16,0,0,0,0,27,0,5473,0,2,0.0,0,-8,41,49,44,False,0,2,Dimitris Giannoulis,15,27,SOU,1090,1120,NOR,1040,1030,1,2021
