assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,302,9,0,0,0.0,0.0,2021-08-15 13:00:00+00:00,0,19,0,0,0,0,1,0,688449,4,2,0.0,0,0,0,0,40,True,0,2,Javier Manquillo Gaitán,14,1,WHU,1150,1180,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,11,0,0,0.0,0.0,2021-08-21 14:00:00+00:00,0,2,0,0,0,0,2,0,679162,0,2,0.0,0,-33836,16154,49990,40,False,0,2,Javier Manquillo Gaitán,14,2,AVL,1140,1090,NEW,1030,1070,1,2021
0,0,0,0,0.0,302,25,0,0,0.0,0.0,2021-08-28 14:00:00+00:00,0,16,0,0,0,0,3,0,623565,2,2,0.0,0,-59059,12612,71671,40,True,0,2,Javier Manquillo Gaitán,14,3,SOU,1140,1090,NEW,1050,1040,1,2021
0,0,21,0,4.9,302,38,2,1,6.3,40.6,2021-09-11 14:00:00+00:00,76,13,0,0,0,0,4,0,556195,1,4,17.0,7,-74400,31397,105797,40,False,0,2,Javier Manquillo Gaitán,14,4,MUN,1170,1190,NEW,1030,1070,1,2021
0,0,15,0,0.4,302,46,1,0,2.2,21.2,2021-09-17 19:00:00+00:00,80,10,0,0,0,0,5,0,679038,1,1,0.0,2,99841,158692,58851,40,True,0,2,Javier Manquillo Gaitán,14,5,LEE,1070,1100,NEW,1050,1040,1,2021
0,0,3,0,0.8,302,60,1,0,2.1,18.0,2021-09-25 14:00:00+00:00,90,18,0,0,0,0,6,0,715112,1,1,2.0,1,34179,65245,31066,40,False,1,2,Javier Manquillo Gaitán,14,6,WAT,1090,1120,NEW,1030,1070,1,2021
1,0,16,0,11.7,302,70,2,0,2.7,15.6,2021-10-02 14:00:00+00:00,69,20,0,0,0,0,7,0,747463,1,2,0.0,3,29328,65704,36376,40,False,1,2,Javier Manquillo Gaitán,14,7,WOL,1150,1080,NEW,1030,1070,1,2021
1,0,31,0,14.5,302,77,3,0,5.6,39.4,2021-10-17 15:30:00+00:00,90,17,0,0,0,0,8,0,774929,3,2,2.0,4,23728,60077,36349,40,True,0,2,Javier Manquillo Gaitán,14,8,TOT,1200,1210,NEW,1050,1040,1,2021
0,0,8,0,1.1,302,85,1,0,1.9,15.6,2021-10-23 14:00:00+00:00,90,7,0,0,0,0,9,0,805789,1,1,2.0,2,26254,47993,21739,40,False,0,2,Javier Manquillo Gaitán,14,9,CRY,1110,1080,NEW,1030,1070,1,2021
0,0,10,0,10.8,302,96,3,0,4.3,14.8,2021-10-30 14:00:00+00:00,90,6,0,0,0,0,10,0,802634,3,0,17.0,1,-3809,36815,40624,40,True,0,2,Javier Manquillo Gaitán,14,10,CHE,1300,1290,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,103,0,0,0.0,0.0,2021-11-06 17:30:00+00:00,0,4,0,0,0,0,11,0,794089,1,1,0.0,0,-10270,18469,28739,40,False,0,2,Javier Manquillo Gaitán,14,11,BHA,1160,1100,NEW,1030,1070,1,2021
0,0,0,0,0.0,302,116,0,0,0.0,0.0,2021-11-20 15:00:00+00:00,0,3,0,0,0,0,12,0,770908,3,3,0.0,0,-24492,13393,37885,40,True,0,2,Javier Manquillo Gaitán,14,12,BRE,1150,1120,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,121,0,0,0.0,0.0,2021-11-27 12:30:00+00:00,0,1,0,0,0,0,13,0,719114,0,2,0.0,0,-51614,4801,56415,40,False,0,2,Javier Manquillo Gaitán,14,13,ARS,1150,1190,NEW,1030,1070,1,2021
0,0,6,0,1.3,302,138,1,0,0.8,4.2,2021-11-30 19:30:00+00:00,90,15,0,0,0,0,14,0,690916,1,1,2.0,2,-29988,6092,36080,40,True,0,2,Javier Manquillo Gaitán,14,14,NOR,1040,1030,NEW,1050,1040,1,2021
0,0,21,1,0.9,302,145,0,0,1.2,10.6,2021-12-04 15:00:00+00:00,90,5,0,0,0,0,15,0,678623,0,1,0.0,5,-13476,10007,23483,40,True,1,2,Javier Manquillo Gaitán,14,15,BUR,1130,1100,NEW,1050,1040,1,2021
0,0,7,0,3.2,302,157,4,0,3.3,7.8,2021-12-12 14:00:00+00:00,90,9,0,0,0,0,16,0,701300,0,4,22.0,-1,17374,35728,18354,40,False,1,2,Javier Manquillo Gaitán,14,16,LEI,1100,1150,NEW,1030,1070,1,2021
0,0,18,0,0.4,302,169,3,0,1.6,16.0,2021-12-16 20:00:00+00:00,90,11,0,0,0,0,17,0,671232,1,3,0.0,1,-24404,11150,35554,40,False,0,2,Javier Manquillo Gaitán,14,17,LIV,1300,1340,NEW,1030,1070,1,2021
0,0,0,0,0.0,302,175,0,0,0.0,0.0,2021-12-19 14:00:00+00:00,0,12,0,0,0,0,18,0,674662,4,0,0.0,0,-7967,12790,20757,39,True,0,2,Javier Manquillo Gaitán,14,18,MCI,1360,1360,NEW,1050,1040,1,2021
0,0,11,0,11.1,302,186,1,0,2.3,12.0,2021-12-27 20:00:00+00:00,90,13,0,0,0,0,19,0,594680,1,1,0.0,1,-41846,3423,45269,39,True,1,2,Javier Manquillo Gaitán,14,19,MUN,1190,1200,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,216,0,0,0.0,0.0,2022-01-15 15:00:00+00:00,0,18,0,0,0,0,22,0,484567,1,1,0.0,0,-53629,2018,55647,39,True,0,2,Javier Manquillo Gaitán,14,22,WAT,1040,1070,NEW,1050,1040,1,2021
1,0,15,0,0.3,302,226,0,0,1.0,9.2,2022-01-22 15:00:00+00:00,27,10,0,0,0,0,23,0,502663,1,0,0.0,4,-6210,7582,13792,39,False,0,2,Javier Manquillo Gaitán,14,23,LEE,1080,1100,NEW,1030,1070,1,2021
0,0,5,0,0.0,302,239,0,0,0.3,3.0,2022-02-08 19:45:00+00:00,1,8,0,0,0,0,24,0,505917,1,3,0.0,1,1503,13968,12465,39,True,0,2,Javier Manquillo Gaitán,14,24,EVE,1090,1110,NEW,1050,1040,1,2021
0,0,3,0,0.5,302,247,0,0,0.5,4.6,2022-02-13 14:00:00+00:00,45,2,0,0,0,0,25,0,511212,0,1,0.0,1,3427,15520,12093,39,True,0,2,Javier Manquillo Gaitán,14,25,AVL,1110,1090,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,259,0,0,0.0,0.0,2022-02-19 12:30:00+00:00,0,19,0,0,0,0,26,0,481088,1,1,0.0,0,-21974,5465,27439,39,False,0,2,Javier Manquillo Gaitán,14,26,WHU,1110,1160,NEW,1030,1070,1,2021
0,0,0,0,0.0,302,262,0,0,0.0,0.0,2022-02-26 15:00:00+00:00,0,3,0,0,0,0,27,0,451410,2,0,0.0,0,-26524,865,27389,39,False,0,2,Javier Manquillo Gaitán,14,27,BRE,1120,1080,NEW,1030,1070,1,2021
0,0,0,0,0.0,302,276,0,0,0.0,0.0,2022-03-05 15:00:00+00:00,0,4,0,0,0,0,28,0,451911,1,2,0.0,0,-8646,5252,13898,39,True,0,2,Javier Manquillo Gaitán,14,28,BHA,1160,1120,NEW,1050,1040,1,2021
0,0,3,0,0.0,302,209,0,0,0.0,0.0,2022-03-10 19:30:00+00:00,1,16,0,0,0,0,28,0,451911,2,1,0.0,1,-8646,5252,13898,39,False,0,2,Javier Manquillo Gaitán,14,28,SOU,1090,1120,NEW,1030,1070,1,2021
0,0,4,0,0.8,302,284,1,0,0.7,5.8,2022-03-13 14:00:00+00:00,90,6,0,0,0,0,29,0,456548,0,1,0.0,2,-598,9997,10595,39,False,0,2,Javier Manquillo Gaitán,14,29,CHE,1300,1250,NEW,1030,1070,1,2021
0,0,3,0,1.1,302,195,1,0,0.2,0.6,2022-03-17 19:45:00+00:00,1,8,0,0,0,0,29,0,456548,0,1,0.0,1,-598,9997,10595,39,False,0,2,Javier Manquillo Gaitán,14,29,EVE,1130,1110,NEW,1030,1070,1,2021
0,0,6,0,1.6,302,308,3,0,0.7,5.2,2022-04-03 15:30:00+00:00,58,17,0,0,0,0,31,0,445377,1,5,0.0,0,-1601,3983,5584,39,False,0,2,Javier Manquillo Gaitán,14,31,TOT,1190,1210,NEW,1030,1070,1,2021
0,0,0,0,0.0,302,317,0,0,0.0,0.0,2022-04-08 19:00:00+00:00,0,20,0,0,0,0,32,0,449506,0,1,0.0,0,3740,7352,3612,39,True,0,2,Javier Manquillo Gaitán,14,32,WOL,1160,1100,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,325,0,0,0.0,0.0,2022-04-17 13:15:00+00:00,0,9,0,0,0,0,33,0,453216,1,2,0.0,0,2020,9165,7145,39,True,0,2,Javier Manquillo Gaitán,14,33,LEI,1080,1160,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,296,0,0,0.0,0.0,2022-04-20 18:45:00+00:00,0,7,0,0,0,0,33,0,453216,0,1,0.0,0,2020,9165,7145,39,True,0,2,Javier Manquillo Gaitán,14,33,CRY,1160,1160,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,340,0,0,0.0,0.0,2022-04-23 14:00:00+00:00,0,15,0,0,0,0,34,0,447166,3,0,0.0,0,-4396,3629,8025,39,False,0,2,Javier Manquillo Gaitán,14,34,NOR,1040,1040,NEW,1030,1070,1,2021
0,0,0,0,0.0,302,345,0,0,0.0,0.0,2022-04-30 11:30:00+00:00,0,11,0,0,0,0,35,0,443247,1,0,0.0,0,-4086,2678,6764,39,True,0,2,Javier Manquillo Gaitán,14,35,LIV,1350,1350,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,359,0,0,0.0,0.0,2022-05-08 15:30:00+00:00,0,12,0,0,0,0,36,0,436706,0,5,0.0,0,-6820,3449,10269,39,False,0,2,Javier Manquillo Gaitán,14,36,MCI,1340,1340,NEW,1030,1070,1,2021
0,0,0,0,0.0,302,365,0,0,0.0,0.0,2022-05-16 19:00:00+00:00,0,1,0,0,0,0,37,0,433191,0,2,0.0,0,-3463,2442,5905,39,True,0,2,Javier Manquillo Gaitán,14,37,ARS,1210,1220,NEW,1050,1040,1,2021
0,0,0,0,0.0,302,374,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,0,5,0,0,0,0,38,0,422191,2,1,0.0,0,-8869,855,9724,39,False,0,2,Javier Manquillo Gaitán,14,38,BUR,1080,1060,NEW,1030,1070,1,2021
