assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,627,114,0,0,0.0,0.0,2021-11-20 17:30:00+00:00,0,1,0,0,0,0,12,0,0,0,4,0.0,0,0,0,0,40,True,0,2,Owen Beck,11,ARS,1210,1220,LIV,1300,1340,1,2021
0,0,0,0,0.0,627,128,0,0,0.0,0.0,2021-11-27 15:00:00+00:00,0,16,0,0,0,0,13,0,154,0,4,0.0,0,41,48,7,40,True,0,2,Owen Beck,11,SOU,1140,1090,LIV,1300,1340,1,2021
0,0,0,0,0.0,627,132,0,0,0.0,0.0,2021-12-01 20:15:00+00:00,0,8,0,0,0,0,14,0,231,4,1,0.0,0,2,16,14,40,False,0,2,Owen Beck,11,EVE,1130,1110,LIV,1350,1350,1,2021
0,0,0,0,0.0,627,150,0,0,0.0,0.0,2021-12-04 15:00:00+00:00,0,20,0,0,0,0,15,0,309,1,0,0.0,0,7,39,32,40,False,0,2,Owen Beck,11,WOL,1150,1080,LIV,1350,1350,1,2021
0,0,0,0,0.0,627,158,0,0,0.0,0.0,2021-12-11 15:00:00+00:00,0,2,0,0,0,0,16,0,439,0,1,0.0,0,-4,42,46,40,True,0,2,Owen Beck,11,AVL,1110,1090,LIV,1300,1340,1,2021
0,0,0,0,0.0,627,169,0,0,0.0,0.0,2021-12-16 20:00:00+00:00,0,14,0,0,0,0,17,0,507,1,3,0.0,0,-3,26,29,40,True,0,2,Owen Beck,11,NEW,1030,1070,LIV,1300,1340,1,2021
0,0,0,0,0.0,627,177,0,0,0.0,0.0,2021-12-19 16:30:00+00:00,0,17,0,0,0,0,18,0,632,2,2,0.0,0,8,35,27,40,False,0,2,Owen Beck,11,TOT,1190,1210,LIV,1350,1350,1,2021
0,0,0,0,0.0,627,197,0,0,0.0,0.0,2021-12-28 20:00:00+00:00,0,9,0,0,0,0,20,0,762,0,1,0.0,0,2,28,26,40,False,0,2,Owen Beck,11,LEI,1100,1150,LIV,1350,1350,1,2021
0,0,0,0,0.0,627,203,0,0,0.0,0.0,2022-01-02 16:30:00+00:00,0,6,0,0,0,0,21,0,851,2,2,0.0,0,-1,39,40,40,False,0,2,Owen Beck,11,CHE,1300,1250,LIV,1350,1350,1,2021
0,0,0,0,0.0,627,214,0,0,0.0,0.0,2022-01-16 14:00:00+00:00,0,3,0,0,0,0,22,0,1051,0,3,0.0,0,35,4008,3973,40,True,0,2,Owen Beck,11,BRE,1150,1120,LIV,1300,1340,1,2021
