assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,0,0,0.0,209,5,0,0,0.0,0.0,2021-08-14 14:00:00+00:00,0,20,0,0,0,0,1,0,83726,0,1,0.0,0,0,0,0,55,True,0,2,Timothy Castagne,9,WOL,1160,1100,LEI,1100,1150,1
0,0,0,0,0.0,209,20,0,0,0.0,0.0,2021-08-23 19:00:00+00:00,0,19,0,0,0,0,2,0,65153,1,4,0.0,0,-18856,548,19404,54,False,0,2,Timothy Castagne,9,WHU,1110,1160,LEI,1080,1160,1
0,0,9,0,1.8,209,26,1,0,0.9,7.0,2021-08-28 14:00:00+00:00,79,15,0,0,0,0,3,0,61318,2,1,0.0,2,-6115,2948,9063,54,False,0,2,Timothy Castagne,9,NOR,1040,1040,LEI,1080,1160,1
0,0,6,0,1.2,209,37,1,0,1.2,10.6,2021-09-11 14:00:00+00:00,90,12,0,0,0,0,4,0,56576,1,0,0.0,2,-6183,3821,10004,54,True,0,2,Timothy Castagne,9,MCI,1360,1360,LEI,1100,1150,1
0,0,4,0,2.5,209,42,0,0,1.0,5.4,2021-09-19 13:00:00+00:00,22,4,0,0,0,0,5,0,58886,1,2,2.0,1,926,8041,7115,54,False,0,2,Timothy Castagne,9,BHA,1160,1100,LEI,1080,1160,1
0,0,7,0,16.1,209,57,0,0,3.2,11.8,2021-09-25 14:00:00+00:00,45,5,0,0,0,0,6,0,57710,2,2,4.0,1,-2028,3808,5836,54,True,0,2,Timothy Castagne,9,BUR,1130,1100,LEI,1100,1150,1
0,0,12,0,0.6,209,64,2,0,2.8,27.8,2021-10-03 13:00:00+00:00,90,7,0,0,0,0,7,0,54727,2,2,0.0,1,-3315,2234,5549,53,False,0,2,Timothy Castagne,9,CRY,1110,1080,LEI,1080,1160,1
0,0,10,0,13.6,209,75,2,0,4.4,10.2,2021-10-16 14:00:00+00:00,90,13,0,0,0,0,8,0,52423,2,4,20.0,1,-2649,1656,4305,53,True,0,2,Timothy Castagne,9,MUN,1190,1200,LEI,1100,1150,1
0,0,9,0,4.6,209,82,1,0,1.8,11.0,2021-10-24 13:00:00+00:00,90,3,0,0,0,0,9,0,51923,2,1,2.0,2,-914,2156,3070,53,False,0,2,Timothy Castagne,9,BRE,1120,1080,LEI,1080,1160,1
0,0,15,0,20.0,209,93,2,0,4.3,19.4,2021-10-30 11:30:00+00:00,90,1,0,0,0,0,10,0,50967,2,0,4.0,1,-1216,2862,4078,53,True,0,2,Timothy Castagne,9,ARS,1210,1220,LEI,1100,1150,1
0,0,9,0,0.9,209,107,1,0,1.5,13.8,2021-11-07 14:00:00+00:00,90,10,0,0,0,0,11,0,50394,1,1,0.0,2,-1064,2029,3093,53,False,0,2,Timothy Castagne,9,LEE,1080,1100,LEI,1080,1160,1
