assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,690,1,0,0,0.0,0.0,2021-08-13 19:00:00+00:00,0,4,0,0,0,0,1,0,192345,0,2,0.0,0,0,0,0,85,False,0,4,Alexandre Lacazette,1,BRE,1120,1080,ARS,1210,1220,1,2021
0,0,0,0,0.0,690,18,0,0,0.0,0.0,2021-08-22 15:30:00+00:00,0,6,0,0,0,0,2,0,108809,2,0,0.0,0,-82005,599,82604,84,True,0,4,Alexandre Lacazette,1,CHE,1300,1290,ARS,1150,1190,1,2021
0,0,-1,0,0.3,690,24,1,0,0.1,1.0,2021-08-28 11:30:00+00:00,31,13,0,0,0,0,3,0,92011,0,5,0.0,1,-21373,1316,22689,84,False,0,4,Alexandre Lacazette,1,MCI,1340,1340,ARS,1210,1220,1,2021
0,0,0,0,0.0,690,31,0,0,0.0,0.0,2021-09-11 14:00:00+00:00,0,25,0,0,0,0,4,0,94327,0,1,0.0,0,-2089,12902,14991,84,True,0,4,Alexandre Lacazette,1,NOR,1040,1030,ARS,1150,1190,1,2021
0,0,0,0,0.0,690,43,0,0,0.0,0.0,2021-09-18 14:00:00+00:00,0,21,0,0,0,0,5,0,87026,1,0,0.0,0,-8548,2913,11461,84,False,0,4,Alexandre Lacazette,1,BUR,1080,1060,ARS,1210,1220,1,2021
0,0,0,0,0.0,690,51,0,0,0.0,0.0,2021-09-26 15:30:00+00:00,0,18,0,0,0,0,6,0,83168,1,3,0.0,0,-5382,2143,7525,84,True,0,4,Alexandre Lacazette,1,TOT,1200,1210,ARS,1150,1190,1,2021
0,0,3,0,2.4,690,61,0,0,0.3,0.8,2021-10-02 16:30:00+00:00,18,5,0,0,0,0,7,0,80509,0,0,0.0,1,-3722,1098,4820,83,False,0,4,Alexandre Lacazette,1,BHA,1160,1100,ARS,1210,1220,1,2021
0,0,28,0,26.8,690,71,1,1,13.1,42.0,2021-10-18 19:00:00+00:00,23,7,0,0,0,0,8,0,80349,2,2,62.0,5,-1344,1563,2907,83,True,0,4,Alexandre Lacazette,1,CRY,1160,1160,ARS,1150,1190,1,2021
0,0,6,1,28.4,690,81,0,0,4.3,4.8,2021-10-22 19:00:00+00:00,67,2,0,0,0,0,9,0,86439,1,3,10.0,2,4588,6823,2235,83,True,0,4,Alexandre Lacazette,1,AVL,1110,1090,ARS,1150,1190,1,2021
0,0,2,0,3.2,690,93,0,0,1.2,1.2,2021-10-30 11:30:00+00:00,57,11,0,0,0,0,10,0,89585,2,0,8.0,1,1468,6603,5135,83,False,0,4,Alexandre Lacazette,1,LEI,1100,1150,ARS,1210,1220,1,2021
0,0,3,1,11.5,690,101,0,0,5.0,7.8,2021-11-07 14:00:00+00:00,68,26,0,0,0,0,11,0,97390,0,1,31.0,2,6410,10620,4210,83,True,0,4,Alexandre Lacazette,1,WAT,1040,1070,ARS,1150,1190,1,2021
0,0,6,0,24.3,690,114,2,0,3.3,8.2,2021-11-20 17:30:00+00:00,66,12,0,0,0,0,12,0,98091,0,4,0.0,2,-702,6471,7173,83,False,0,4,Alexandre Lacazette,1,LIV,1300,1340,ARS,1210,1220,1,2021
0,0,2,0,0.3,690,121,0,0,0.8,0.0,2021-11-27 12:30:00+00:00,14,15,0,0,0,0,13,0,101530,0,2,8.0,1,2207,6684,4477,83,True,0,4,Alexandre Lacazette,1,NEW,1030,1070,ARS,1150,1190,1,2021
0,0,3,0,0.0,690,134,0,0,0.0,0.2,2021-12-02 20:15:00+00:00,11,14,0,0,0,0,14,0,96187,2,3,0.0,1,-5515,1163,6678,83,False,0,4,Alexandre Lacazette,1,MUN,1170,1190,ARS,1210,1220,1,2021
0,0,4,0,1.7,690,142,1,0,0.8,4.0,2021-12-06 20:00:00+00:00,84,8,0,0,0,0,15,0,93739,1,2,2.0,2,-3052,1851,4903,83,False,0,4,Alexandre Lacazette,1,EVE,1130,1110,ARS,1210,1220,1,2021
0,1,33,1,12.0,690,151,0,1,7.3,33.8,2021-12-11 15:00:00+00:00,82,17,0,0,0,0,16,0,95372,0,3,27.0,7,505,4218,3713,83,True,0,4,Alexandre Lacazette,1,SOU,1140,1090,ARS,1150,1190,1,2021
1,0,10,1,32.0,690,161,0,0,13.6,45.0,2021-12-15 20:00:00+00:00,87,19,0,1,0,0,17,0,154047,0,2,59.0,3,52291,55274,2983,83,True,0,4,Alexandre Lacazette,1,WHU,1150,1180,ARS,1150,1190,1,2021
1,0,20,0,22.8,690,173,1,0,11.5,30.4,2021-12-18 17:30:00+00:00,90,24,0,0,0,0,18,0,725261,4,1,62.0,5,405937,414422,8485,84,False,0,4,Alexandre Lacazette,1,LEE,1080,1100,ARS,1210,1220,1,2021
1,2,39,1,20.2,690,187,0,1,10.0,52.0,2021-12-26 15:00:00+00:00,90,25,0,0,0,0,19,0,742530,5,0,28.0,11,97967,142987,45020,85,False,0,4,Alexandre Lacazette,1,NOR,1040,1040,ARS,1210,1220,1,2021
0,0,6,0,11.1,690,201,1,0,2.6,2.8,2022-01-01 12:30:00+00:00,70,13,0,0,0,0,21,0,371882,2,1,12.0,2,-84788,32078,116866,84,True,0,4,Alexandre Lacazette,1,MCI,1360,1360,ARS,1150,1190,1,2021
0,0,8,1,35.5,690,221,0,0,7.5,7.4,2022-01-23 14:00:00+00:00,90,21,0,0,0,0,23,0,412098,0,0,32.0,2,38715,69594,30879,84,True,0,4,Alexandre Lacazette,1,BUR,1130,1100,ARS,1150,1190,1,2021
1,0,14,1,23.0,690,236,0,0,14.1,20.6,2022-02-10 19:45:00+00:00,80,20,0,0,0,0,24,0,374319,1,0,97.0,5,-33030,19148,52178,84,False,0,4,Alexandre Lacazette,1,WOL,1150,1080,ARS,1210,1220,1,2021
1,0,15,1,31.3,690,251,0,0,9.5,16.8,2022-02-19 15:00:00+00:00,83,4,0,0,0,0,26,0,618426,1,2,47.0,5,200697,226262,25565,83,True,0,4,Alexandre Lacazette,1,BRE,1150,1120,ARS,1150,1190,1,2021
1,0,13,0,27.2,690,191,1,0,14.8,11.2,2022-02-24 19:45:00+00:00,90,20,0,0,0,0,26,0,618426,1,2,110.0,5,200697,226262,25565,83,True,0,4,Alexandre Lacazette,1,WOL,1160,1100,ARS,1150,1190,1,2021
2,0,24,0,23.7,690,279,1,0,7.7,36.8,2022-03-06 14:00:00+00:00,79,26,0,0,0,0,28,0,443593,3,2,16.0,8,17753,71125,53372,83,False,0,4,Alexandre Lacazette,1,WAT,1090,1120,ARS,1210,1220,1,2021
0,0,27,1,6.0,690,281,0,1,9.0,34.4,2022-03-13 16:30:00+00:00,87,11,0,0,0,0,29,0,718276,0,2,50.0,6,232445,255853,23408,83,True,0,4,Alexandre Lacazette,1,LEI,1080,1160,ARS,1150,1190,1,2021
0,0,11,0,21.1,690,261,2,0,3.8,4.4,2022-03-16 20:15:00+00:00,79,12,0,0,0,0,29,0,718276,2,0,12.0,2,232445,255853,23408,83,True,0,4,Alexandre Lacazette,1,LIV,1350,1350,ARS,1150,1190,1,2021
0,0,10,1,1.7,690,291,0,0,3.8,6.4,2022-03-19 12:30:00+00:00,77,2,0,0,0,0,30,0,1087821,1,0,30.0,2,108160,123613,15453,84,False,0,4,Alexandre Lacazette,1,AVL,1140,1090,ARS,1210,1220,1,2021
0,0,-1,0,5.5,690,304,3,0,1.9,0.0,2022-04-04 19:00:00+00:00,90,7,0,0,0,0,31,0,772307,0,3,17.0,2,-19225,60172,79397,84,False,0,4,Alexandre Lacazette,1,CRY,1110,1080,ARS,1210,1220,1,2021
0,0,5,0,12.1,690,311,2,0,2.1,4.4,2022-04-09 14:00:00+00:00,90,5,0,0,0,0,32,0,769223,2,1,4.0,2,-5656,44912,50568,84,True,0,4,Alexandre Lacazette,1,BHA,1160,1120,ARS,1150,1190,1,2021
0,0,0,0,0.0,690,326,0,0,0.0,0.0,2022-04-16 14:00:00+00:00,0,17,0,0,0,0,33,0,607422,0,1,0.0,0,-142099,22505,164604,84,False,0,4,Alexandre Lacazette,1,SOU,1090,1120,ARS,1210,1220,1,2021
0,0,1,0,0.0,690,243,0,0,0.0,0.0,2022-04-20 18:45:00+00:00,1,6,0,0,0,0,33,0,607422,4,2,0.0,1,-142099,22505,164604,84,False,0,4,Alexandre Lacazette,1,CHE,1300,1250,ARS,1210,1220,1,2021
0,0,0,0,0.0,690,331,0,0,0.0,0.0,2022-04-23 11:30:00+00:00,0,14,0,0,0,0,34,0,438262,1,3,0.0,0,-186310,2604,188914,83,True,0,4,Alexandre Lacazette,1,MUN,1190,1200,ARS,1150,1190,1,2021
0,0,0,0,0.0,690,349,0,0,0.0,0.0,2022-05-01 15:30:00+00:00,0,19,0,0,0,0,35,0,358874,2,1,0.0,0,-83735,2067,85802,82,False,0,4,Alexandre Lacazette,1,WHU,1110,1160,ARS,1210,1220,1,2021
0,0,2,0,0.0,690,351,0,0,0.0,0.0,2022-05-08 13:00:00+00:00,1,24,0,0,0,0,36,0,309347,1,2,0.0,1,-47390,3742,51132,81,True,0,4,Alexandre Lacazette,1,LEE,1070,1100,ARS,1150,1190,1,2021
0,0,2,0,0.3,690,218,0,0,0.0,0.0,2022-05-12 18:45:00+00:00,17,18,0,0,0,0,36,0,309347,0,3,0.0,1,-47390,3742,51132,81,False,0,4,Alexandre Lacazette,1,TOT,1190,1210,ARS,1210,1220,1,2021
0,0,3,0,1.3,690,365,1,0,0.2,0.2,2022-05-16 19:00:00+00:00,28,15,0,0,0,0,37,0,286961,0,2,0.0,1,-23168,1702,24870,81,False,0,4,Alexandre Lacazette,1,NEW,1050,1040,ARS,1210,1220,1,2021
0,0,-3,0,0.0,690,371,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,23,8,0,0,0,0,38,0,279080,1,5,0.0,1,-10409,3746,14155,81,True,0,4,Alexandre Lacazette,1,EVE,1090,1110,ARS,1150,1190,1,2021
