assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1032,10,0,0,0.0,0.0,2021-08-15 15:30:00+00:00,0,12,0,0,0,0,1,0,991445,0,1,0.0,0,0,0,0,125,True,0,4,Harry Kane,17,MCI,1360,1360,TOT,1190,1210,1,2021
0,0,-3,0,12.0,1032,17,0,0,3.3,4.4,2021-08-22 13:00:00+00:00,18,20,0,0,0,0,2,0,612275,1,0,17.0,0,-394112,9677,403789,124,False,1,4,Harry Kane,17,WOL,1150,1080,TOT,1200,1210,1,2021
0,0,2,1,24.2,1032,27,0,0,6.4,11.2,2021-08-29 13:00:00+00:00,90,18,0,0,0,0,3,0,664425,0,1,29.0,1,-317,138421,138738,123,True,1,4,Harry Kane,17,WAT,1040,1070,TOT,1190,1210,1,2021
0,0,8,0,2.3,1032,34,3,0,1.6,13.8,2021-09-11 11:30:00+00:00,90,7,0,0,0,0,4,0,680349,0,3,0.0,2,-9460,180122,189582,123,False,0,4,Harry Kane,17,CRY,1110,1080,TOT,1200,1210,1,2021
0,0,6,0,3.8,1032,48,3,0,3.0,7.2,2021-09-19 15:30:00+00:00,90,6,0,0,0,0,5,0,497833,3,0,19.0,2,-178607,10314,188921,122,True,0,4,Harry Kane,17,CHE,1300,1290,TOT,1190,1210,1,2021
0,0,-6,0,1.4,1032,51,3,0,3.2,0.0,2021-09-26 15:30:00+00:00,90,1,0,0,0,0,6,0,448603,1,3,34.0,2,-59639,12665,72304,121,False,0,4,Harry Kane,17,ARS,1150,1190,TOT,1200,1210,1,2021
0,0,0,0,16.0,1032,68,1,0,9.8,13.6,2021-10-03 13:00:00+00:00,90,2,0,0,0,0,7,0,422877,1,2,68.0,2,-31361,15642,47003,121,True,0,4,Harry Kane,17,AVL,1110,1090,TOT,1190,1210,1,2021
1,3,42,0,28.4,1032,77,2,1,11.7,53.6,2021-10-17 15:30:00+00:00,90,14,0,0,0,0,8,0,419835,3,2,35.0,12,-6630,23217,29847,121,False,0,4,Harry Kane,17,NEW,1050,1040,TOT,1200,1210,1,2021
0,0,5,0,4.5,1032,90,1,0,3.8,8.0,2021-10-24 13:00:00+00:00,90,19,0,0,0,0,9,0,563973,0,1,25.0,2,137495,152065,14570,121,False,0,4,Harry Kane,17,WHU,1110,1160,TOT,1200,1210,1,2021
0,0,2,0,3.9,1032,98,3,0,3.3,5.2,2021-10-30 16:30:00+00:00,90,13,0,0,0,0,10,0,556568,3,0,24.0,2,-4202,44187,48389,121,True,0,4,Harry Kane,17,MUN,1190,1200,TOT,1190,1210,1,2021
0,0,11,1,19.7,1032,106,0,0,5.3,5.4,2021-11-07 14:00:00+00:00,90,8,0,0,0,0,11,0,615973,0,0,28.0,2,50557,85704,35147,121,False,0,4,Harry Kane,17,EVE,1130,1110,TOT,1200,1210,1,2021
0,0,-2,0,3.9,1032,118,1,0,10.4,17.4,2021-11-21 16:30:00+00:00,90,10,0,0,0,0,12,0,926879,1,2,83.0,2,298279,322041,23762,122,True,0,4,Harry Kane,17,LEE,1070,1100,TOT,1190,1210,1,2021
0,0,14,1,37.5,1032,140,0,0,11.2,15.6,2021-12-02 19:30:00+00:00,90,3,0,0,0,0,14,0,952982,0,2,59.0,2,-7490,34376,41866,123,True,0,4,Harry Kane,17,BRE,1150,1120,TOT,1190,1210,1,2021
0,0,-1,1,2.8,1032,147,0,0,3.7,7.4,2021-12-05 14:00:00+00:00,90,15,0,0,0,0,15,0,916315,0,3,27.0,2,-39851,45722,85573,123,True,0,4,Harry Kane,17,NOR,1040,1030,TOT,1190,1210,1,2021
0,1,21,0,11.1,1032,177,2,1,14.9,34.8,2021-12-19 16:30:00+00:00,90,11,0,0,0,0,18,0,495475,2,2,103.0,6,1034,23352,22318,121,True,1,4,Harry Kane,17,LIV,1350,1350,TOT,1190,1210,1,2021
0,0,30,1,6.6,1032,188,0,1,6.2,32.4,2021-12-26 15:00:00+00:00,63,7,0,0,0,0,19,0,811726,0,3,23.0,6,117044,130908,13864,121,True,0,4,Harry Kane,17,CRY,1160,1160,TOT,1190,1210,1,2021
0,0,24,0,22.8,1032,199,1,1,10.3,41.2,2021-12-28 15:00:00+00:00,90,16,0,0,0,0,20,0,710492,1,1,39.0,6,68055,84160,16105,121,False,0,4,Harry Kane,17,SOU,1090,1120,TOT,1200,1210,1,2021
0,0,4,1,17.9,1032,210,0,0,11.3,14.8,2022-01-01 15:00:00+00:00,90,18,0,0,0,0,21,0,869622,1,0,80.0,2,116445,150490,34045,122,False,0,4,Harry Kane,17,WAT,1090,1120,TOT,1200,1210,1,2021
1,2,37,0,26.8,1032,166,2,1,19.6,53.0,2022-01-19 19:30:00+00:00,90,9,0,0,0,0,22,0,1492577,3,2,116.0,11,368485,448099,79614,122,False,0,4,Harry Kane,17,LEI,1100,1150,TOT,1200,1210,1,2021
0,0,5,0,25.5,1032,223,2,0,5.4,11.6,2022-01-23 16:30:00+00:00,90,6,0,0,0,0,23,0,1188299,0,2,17.0,2,23492,105346,81854,123,False,0,4,Harry Kane,17,CHE,1300,1250,TOT,1200,1210,1,2021
0,0,3,0,15.8,1032,240,3,0,4.2,9.8,2022-02-09 19:45:00+00:00,90,16,0,0,0,0,24,0,1294704,3,2,16.0,2,92171,161377,69206,123,True,0,4,Harry Kane,17,SOU,1140,1090,TOT,1190,1210,1,2021
0,0,7,0,1.5,1032,249,2,0,12.3,15.8,2022-02-13 14:00:00+00:00,90,20,0,0,0,0,25,0,1053825,2,0,106.0,2,-223284,29317,252601,123,True,0,4,Harry Kane,17,WOL,1160,1100,TOT,1190,1210,1,2021
0,3,54,0,22.2,1032,257,2,2,16.4,74.8,2022-02-19 17:30:00+00:00,90,12,0,0,0,0,26,0,1006631,3,2,67.0,13,-80033,68651,148684,122,False,0,4,Harry Kane,17,MCI,1340,1340,TOT,1200,1210,1,2021
0,0,6,0,12.8,1032,124,1,0,4.0,4.6,2022-02-23 19:30:00+00:00,90,5,0,0,0,0,26,0,1006631,0,1,23.0,2,-80033,68651,148684,122,False,0,4,Harry Kane,17,BUR,1080,1060,TOT,1200,1210,1,2021
1,2,48,1,52.0,1032,267,0,1,15.5,65.6,2022-02-26 12:30:00+00:00,90,10,0,0,0,0,27,0,1490201,4,0,37.0,11,156443,178404,21961,122,False,0,4,Harry Kane,17,LEE,1080,1100,TOT,1200,1210,1,2021
0,3,53,1,20.6,1032,278,0,2,16.2,79.4,2022-03-07 20:00:00+00:00,90,8,0,0,0,0,28,0,1348552,0,5,62.0,13,185828,261844,76016,123,True,0,4,Harry Kane,17,EVE,1090,1110,TOT,1190,1210,1,2021
0,0,27,0,7.3,1032,288,3,1,7.4,35.4,2022-03-12 17:30:00+00:00,90,13,0,0,0,0,29,0,1884005,2,3,31.0,6,467325,485913,18588,124,False,0,4,Harry Kane,17,MUN,1170,1190,TOT,1200,1210,1,2021
0,2,30,1,32.6,1032,153,0,1,12.5,43.6,2022-03-16 19:30:00+00:00,90,4,0,0,0,0,29,0,1884005,2,0,49.0,8,467325,485913,18588,124,False,0,4,Harry Kane,17,BHA,1160,1100,TOT,1200,1210,1,2021
3,2,34,0,47.0,1032,298,1,0,12.9,41.6,2022-03-20 16:30:00+00:00,90,19,0,0,0,0,30,0,2621613,1,3,40.0,13,267255,278151,10896,124,True,0,4,Harry Kane,17,WHU,1150,1180,TOT,1190,1210,1,2021
1,0,18,0,37.3,1032,308,1,0,10.7,18.8,2022-04-03 15:30:00+00:00,90,14,0,0,0,0,31,0,2218468,1,5,51.0,4,127421,171009,43588,125,True,1,4,Harry Kane,17,NEW,1030,1070,TOT,1190,1210,1,2021
3,0,33,1,45.6,1032,312,0,0,11.7,48.6,2022-04-09 16:30:00+00:00,90,2,0,0,0,0,32,0,2313394,4,0,23.0,10,89020,117861,28841,125,False,1,4,Harry Kane,17,AVL,1140,1090,TOT,1200,1210,1,2021
0,0,11,0,21.6,1032,327,1,0,4.3,10.8,2022-04-16 11:30:00+00:00,90,4,0,0,0,0,33,0,2341779,1,0,11.0,2,37865,99617,61752,126,True,0,4,Harry Kane,17,BHA,1160,1120,TOT,1190,1210,1,2021
0,0,3,1,0.8,1032,332,0,0,5.6,8.2,2022-04-23 16:30:00+00:00,90,3,0,0,0,0,34,0,2098014,0,0,47.0,2,-240326,25537,265863,125,False,0,4,Harry Kane,17,BRE,1120,1080,TOT,1200,1210,1,2021
0,0,22,0,7.9,1032,347,1,1,9.9,37.2,2022-05-01 13:00:00+00:00,90,9,0,0,0,0,35,0,1951616,1,3,54.0,6,-161054,25029,186083,125,True,0,4,Harry Kane,17,LEI,1080,1160,TOT,1190,1210,1,2021
0,0,10,0,20.7,1032,358,1,0,5.3,10.6,2022-05-07 18:45:00+00:00,90,11,0,0,0,0,36,0,1764284,1,1,22.0,2,-148060,40226,188286,124,False,0,4,Harry Kane,17,LIV,1300,1340,TOT,1200,1210,1,2021
0,3,57,1,12.3,1032,218,0,2,22.8,71.8,2022-05-12 18:45:00+00:00,90,1,0,0,0,0,36,0,1764284,0,3,144.0,13,-148060,40226,188286,124,True,0,4,Harry Kane,17,ARS,1210,1220,TOT,1190,1210,1,2021
0,1,27,1,8.8,1032,367,0,1,14.3,42.2,2022-05-15 11:00:00+00:00,90,5,0,0,0,0,37,0,1949088,0,1,92.0,7,103133,152937,49804,124,True,0,4,Harry Kane,17,BUR,1130,1100,TOT,1190,1210,1,2021
1,1,42,1,0.0,1032,380,0,1,0.0,0.0,2022-05-22 15:00:00+00:00,90,15,0,0,0,0,38,0,2196579,5,0,0.0,10,227108,266861,39753,125,False,0,4,Harry Kane,17,NOR,1040,1040,TOT,1200,1210,1,2021
