assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1349,8,0,0,0.0,0.0,2021-08-14 14:00:00+00:00,0,2,0,0,0,0,1,0,38535,2,3,0.0,0,0,0,0,50,True,0,4,Isaac Success Ajayi,26,AVL,1110,1090,WAT,1090,1120,1,2021
0,0,0,0,0.0,1349,12,0,0,0.0,0.0,2021-08-21 16:30:00+00:00,0,5,0,0,0,0,2,0,38344,0,2,0.0,0,-4363,3744,8107,50,False,0,4,Isaac Success Ajayi,26,BHA,1160,1100,WAT,1040,1070,1,2021
0,0,0,0,0.0,1349,27,0,0,0.0,0.0,2021-08-29 13:00:00+00:00,0,18,0,0,0,0,3,0,30741,0,1,0.0,0,-8140,1656,9796,50,False,0,4,Isaac Success Ajayi,26,TOT,1190,1210,WAT,1040,1070,1,2021
0,0,0,0,0.0,1349,40,0,0,0.0,0.0,2021-09-11 14:00:00+00:00,0,20,0,0,0,0,4,0,19671,2,0,0.0,0,-11051,1,11052,50,True,0,4,Isaac Success Ajayi,26,WOL,1160,1100,WAT,1090,1120,1,2021
0,0,0,0,0.0,1349,47,0,0,0.0,0.0,2021-09-18 14:00:00+00:00,0,25,0,0,0,0,5,0,16315,3,1,0.0,0,-3816,0,3816,50,False,0,4,Isaac Success Ajayi,26,NOR,1040,1040,WAT,1040,1070,1,2021
0,0,0,0,0.0,1349,60,0,0,0.0,0.0,2021-09-25 14:00:00+00:00,0,15,0,0,0,0,6,0,14135,1,1,0.0,0,-2279,0,2279,50,True,0,4,Isaac Success Ajayi,26,NEW,1030,1070,WAT,1090,1120,1,2021
0,0,0,0,0.0,1349,65,0,0,0.0,0.0,2021-10-02 14:00:00+00:00,0,24,0,0,0,0,7,0,12816,0,1,0.0,0,-1333,0,1333,50,False,0,4,Isaac Success Ajayi,26,LEE,1080,1100,WAT,1040,1070,1,2021
0,0,0,0,0.0,1349,80,0,0,0.0,0.0,2021-10-16 11:30:00+00:00,0,12,0,0,0,0,8,0,11922,5,0,0.0,0,-946,0,946,50,True,0,4,Isaac Success Ajayi,26,LIV,1350,1350,WAT,1090,1120,1,2021
0,0,0,0,0.0,1349,86,0,0,0.0,0.0,2021-10-23 14:00:00+00:00,0,8,0,0,0,0,9,0,11386,5,2,0.0,0,-551,0,551,50,False,0,4,Isaac Success Ajayi,26,EVE,1130,1110,WAT,1040,1070,1,2021
0,0,0,0,0.0,1349,99,0,0,0.0,0.0,2021-10-30 14:00:00+00:00,0,17,0,0,0,0,10,0,10815,1,0,0.0,0,-560,0,560,50,True,0,4,Isaac Success Ajayi,26,SOU,1140,1090,WAT,1090,1120,1,2021
