assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,2,0,0.3,111,2,0,0,1.0,0.0,2021-08-14 14:00:00+00:00,5,4,0,0,0,0,1,0,69784,2,1,12.0,1,0,0,0,55,True,0,4,Matej Vydra,5,1,BHA,1160,1120,BUR,1080,1060,1,2021
0,0,0,0,0.0,111,15,0,0,0.0,0.0,2021-08-21 11:30:00+00:00,0,11,0,0,0,0,2,0,62676,0,2,0.0,0,-8967,1950,10917,55,False,0,4,Matej Vydra,5,2,LIV,1300,1340,BUR,1130,1100,1,2021
0,0,2,0,0.3,111,29,1,0,0.2,1.2,2021-08-29 13:00:00+00:00,11,10,0,0,0,0,3,0,45253,1,1,0.0,1,-17587,326,17913,54,True,0,4,Matej Vydra,5,3,LEE,1070,1100,BUR,1080,1060,1,2021
0,0,3,0,0.0,111,35,0,0,0.0,0.0,2021-09-13 19:00:00+00:00,14,8,0,0,0,0,4,0,37197,1,3,0.0,1,-9408,3104,12512,54,False,0,4,Matej Vydra,5,4,EVE,1130,1110,BUR,1130,1100,1,2021
0,0,0,0,0.8,111,43,0,0,0.9,0.0,2021-09-18 14:00:00+00:00,33,1,0,0,0,0,5,0,34104,1,0,8.0,1,-3828,2600,6428,53,True,0,4,Matej Vydra,5,5,ARS,1210,1220,BUR,1080,1060,1,2021
1,0,16,0,22.0,111,57,1,0,7.5,26.2,2021-09-25 14:00:00+00:00,74,9,0,0,0,0,6,0,31557,2,2,27.0,5,-2882,1659,4541,53,False,0,4,Matej Vydra,5,6,LEI,1100,1150,BUR,1130,1100,1,2021
0,0,2,0,0.8,111,62,0,0,2.6,4.2,2021-10-02 14:00:00+00:00,34,15,0,0,0,0,7,0,28991,0,0,21.0,1,-2715,1218,3933,53,True,0,4,Matej Vydra,5,7,NOR,1040,1030,BUR,1080,1060,1,2021
0,0,0,0,0.0,111,76,0,0,0.0,0.0,2021-10-16 14:00:00+00:00,0,12,0,0,0,0,8,0,27257,0,2,0.0,0,-2114,1529,3643,52,False,0,4,Matej Vydra,5,8,MCI,1340,1340,BUR,1130,1100,1,2021
0,0,3,0,0.0,111,89,0,0,0.0,0.0,2021-10-23 14:00:00+00:00,1,16,0,0,0,0,9,0,25266,2,2,0.0,1,-2026,285,2311,52,False,0,4,Matej Vydra,5,9,SOU,1090,1120,BUR,1130,1100,1,2021
0,0,3,0,0.3,111,92,1,0,0.4,1.2,2021-10-30 14:00:00+00:00,22,3,0,0,0,0,10,0,27614,1,3,2.0,1,1612,3684,2072,52,True,0,4,Matej Vydra,5,10,BRE,1150,1120,BUR,1080,1060,1,2021
0,2,24,0,0.3,111,104,0,1,7.1,36.2,2021-11-06 15:00:00+00:00,20,6,0,0,0,0,11,0,26964,1,1,34.0,7,-658,1203,1861,52,False,0,4,Matej Vydra,5,11,CHE,1300,1250,BUR,1130,1100,1,2021
0,0,0,0,0.0,111,112,0,0,2.2,3.0,2021-11-20 15:00:00+00:00,6,7,0,0,0,0,12,0,33559,3,3,19.0,1,5414,7493,2079,52,True,0,4,Matej Vydra,5,12,CRY,1160,1160,BUR,1080,1060,1,2021
0,0,3,0,0.3,111,137,0,0,0.1,0.0,2021-12-01 19:30:00+00:00,18,20,0,0,0,0,14,0,29849,0,0,2.0,1,-1868,724,2592,52,False,0,4,Matej Vydra,5,14,WOL,1150,1080,BUR,1130,1100,1,2021
0,0,2,0,11.8,111,145,1,0,1.7,0.0,2021-12-04 15:00:00+00:00,58,14,0,0,0,0,15,0,35579,0,1,6.0,1,5007,7361,2354,52,False,0,4,Matej Vydra,5,15,NEW,1050,1040,BUR,1130,1100,1,2021
0,0,6,0,0.5,111,154,0,0,1.7,8.0,2021-12-12 14:00:00+00:00,30,19,0,0,0,0,16,0,34754,0,0,8.0,1,-737,2697,3434,52,True,0,4,Matej Vydra,5,16,WHU,1150,1180,BUR,1080,1060,1,2021
0,0,3,0,0.5,111,198,0,0,0.5,0.0,2021-12-30 20:15:00+00:00,16,13,0,0,0,0,20,0,39894,1,3,4.0,1,-1028,977,2005,52,False,0,4,Matej Vydra,5,20,MUN,1170,1190,BUR,1130,1100,1,2021
0,0,1,0,0.0,111,206,1,0,0.0,0.0,2022-01-02 14:00:00+00:00,6,10,0,0,0,0,21,0,37691,1,3,0.0,1,-2080,1998,4078,52,False,0,4,Matej Vydra,5,21,LEE,1080,1100,BUR,1130,1100,1,2021
0,0,9,1,11.7,111,221,0,0,3.9,9.6,2022-01-23 14:00:00+00:00,90,1,0,0,0,0,23,0,32649,0,0,18.0,2,-1501,1327,2828,52,False,0,4,Matej Vydra,5,23,ARS,1150,1190,BUR,1130,1100,1,2021
0,0,0,0,0.0,111,164,0,0,0.0,0.0,2022-02-05 18:00:00+00:00,0,18,0,0,0,0,23,0,32649,0,0,0.0,0,-1501,1327,2828,52,True,0,4,Matej Vydra,5,23,WAT,1040,1070,BUR,1080,1060,1,2021
0,0,0,0,0.0,111,233,0,0,0.0,0.0,2022-02-08 20:00:00+00:00,0,13,0,0,0,0,24,0,30519,1,1,0.0,0,-2174,1223,3397,52,True,0,4,Matej Vydra,5,24,MUN,1190,1200,BUR,1080,1060,1,2021
0,0,0,0,0.0,111,242,0,0,0.0,0.0,2022-02-13 14:00:00+00:00,0,11,0,0,0,0,25,0,28506,1,0,0.0,0,-1973,53,2026,52,True,0,4,Matej Vydra,5,25,LIV,1350,1350,BUR,1080,1060,1,2021
0,0,0,0,0.0,111,253,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,4,0,0,0,0,26,0,26572,3,0,0.0,0,-1820,95,1915,52,False,0,4,Matej Vydra,5,26,BHA,1160,1100,BUR,1130,1100,1,2021
0,0,0,0,0.0,111,124,0,0,0.0,0.0,2022-02-23 19:30:00+00:00,0,17,0,0,0,0,26,0,26572,0,1,0.0,0,-1820,95,1915,52,True,0,4,Matej Vydra,5,26,TOT,1200,1210,BUR,1080,1060,1,2021
0,0,0,0,0.0,111,265,0,0,0.0,0.0,2022-02-26 15:00:00+00:00,0,7,0,0,0,0,27,0,25294,1,1,0.0,0,-1330,65,1395,52,False,0,4,Matej Vydra,5,27,CRY,1110,1080,BUR,1130,1100,1,2021
0,0,0,0,0.0,111,213,0,0,0.0,0.0,2022-03-01 19:45:00+00:00,0,9,0,0,0,0,27,0,25294,2,0,0.0,0,-1330,65,1395,52,True,0,4,Matej Vydra,5,27,LEI,1080,1160,BUR,1080,1060,1,2021
