assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1256,3,0,0,0.0,0.0,2021-08-14 14:00:00+00:00,0,6,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,45,False,0,4,Robert Street,7,CHE,1300,1250,CRY,1160,1160,1,2021
0,0,0,0,0.0,1256,13,0,0,0.0,0.0,2021-08-21 14:00:00+00:00,0,4,0,0,0,0,2,0,17246,0,0,0.0,0,8184,10813,2629,45,True,0,4,Robert Street,7,BRE,1150,1120,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,28,0,0,0.0,0.0,2021-08-28 14:00:00+00:00,0,19,0,0,0,0,3,0,26817,2,2,0.0,0,6473,13037,6564,45,False,0,4,Robert Street,7,WHU,1110,1160,CRY,1160,1160,1,2021
0,0,0,0,0.0,1256,34,0,0,0.0,0.0,2021-09-11 11:30:00+00:00,0,18,0,0,0,0,4,0,74072,0,3,0.0,0,36552,65546,28994,45,True,0,4,Robert Street,7,TOT,1200,1210,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,44,0,0,0.0,0.0,2021-09-18 14:00:00+00:00,0,12,0,0,0,0,5,0,116817,0,3,0.0,0,37369,54898,17529,45,False,0,4,Robert Street,7,LIV,1300,1340,CRY,1160,1160,1,2021
0,0,0,0,0.0,1256,54,0,0,0.0,0.0,2021-09-27 19:00:00+00:00,0,5,0,0,0,0,6,0,123724,1,1,0.0,0,6804,21429,14625,45,True,0,4,Robert Street,7,BHA,1160,1120,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,64,0,0,0.0,0.0,2021-10-03 13:00:00+00:00,0,11,0,0,0,0,7,0,117154,2,2,0.0,0,-6113,7876,13989,45,True,0,4,Robert Street,7,LEI,1080,1160,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,71,0,0,0.0,0.0,2021-10-18 19:00:00+00:00,0,1,0,0,0,0,8,0,115953,2,2,0.0,0,-3372,6767,10139,45,False,0,4,Robert Street,7,ARS,1150,1190,CRY,1160,1160,1,2021
0,0,0,0,0.0,1256,85,0,0,0.0,0.0,2021-10-23 14:00:00+00:00,0,15,0,0,0,0,9,0,116344,1,1,0.0,0,-480,6470,6950,45,True,0,4,Robert Street,7,NEW,1030,1070,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,95,0,0,0.0,0.0,2021-10-30 14:00:00+00:00,0,13,0,0,0,0,10,0,119210,2,0,0.0,0,1076,11041,9965,45,False,0,4,Robert Street,7,MCI,1340,1340,CRY,1160,1160,1,2021
0,0,0,0,0.0,1256,105,0,0,0.0,0.0,2021-11-06 15:00:00+00:00,0,20,0,0,0,0,11,0,114841,0,2,0.0,0,-4696,3308,8004,45,True,0,4,Robert Street,7,WOL,1160,1100,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,112,0,0,0.0,0.0,2021-11-20 15:00:00+00:00,0,21,0,0,0,0,12,0,111547,3,3,0.0,0,-3663,1451,5114,45,False,0,4,Robert Street,7,BUR,1080,1060,CRY,1160,1160,1,2021
0,0,0,0,0.0,1256,126,0,0,0.0,0.0,2021-11-27 15:00:00+00:00,0,2,0,0,0,0,13,0,108816,2,1,0.0,0,-3011,1552,4563,45,True,0,4,Robert Street,7,AVL,1110,1090,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,133,0,0,0.0,0.0,2021-11-30 20:15:00+00:00,0,24,0,0,0,0,14,0,107385,0,1,0.0,0,-1712,985,2697,45,False,0,4,Robert Street,7,LEE,1080,1100,CRY,1160,1160,1,2021
0,0,0,0,0.0,1256,144,0,0,0.0,0.0,2021-12-05 14:00:00+00:00,0,14,0,0,0,0,15,0,105929,0,1,0.0,0,-1723,1747,3470,45,False,0,4,Robert Street,7,MUN,1170,1190,CRY,1160,1160,1,2021
0,0,0,0,0.0,1256,156,0,0,0.0,0.0,2021-12-12 16:30:00+00:00,0,8,0,0,0,0,16,0,104187,1,3,0.0,0,-1927,1947,3874,45,True,0,4,Robert Street,7,EVE,1090,1110,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,165,0,0,0.0,0.0,2021-12-15 19:30:00+00:00,0,17,0,0,0,0,17,0,101800,2,2,0.0,0,-2544,954,3498,45,True,0,4,Robert Street,7,SOU,1140,1090,CRY,1110,1080,1,2021
0,0,0,0,0.0,1256,188,0,0,0.0,0.0,2021-12-26 15:00:00+00:00,0,18,0,0,0,0,19,0,113682,0,3,0.0,0,1531,5679,4148,45,False,0,4,Robert Street,7,TOT,1190,1210,CRY,1160,1160,1,2021
