assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,9,0,0.0,1493,8,2,0,0.3,2.8,2021-08-14 14:00:00+00:00,90,2,0,0,0,0,1,0,149145,2,3,0.0,1,0,0,0,45,True,0,1,Daniel Bachmann,18,AVL,1110,1090,WAT,1090,1120,1,2021
0,0,9,0,0.0,1493,12,2,0,1.1,11.0,2021-08-21 16:30:00+00:00,90,4,0,0,0,0,2,1,159947,0,2,0.0,1,694,7089,6395,45,False,0,1,Daniel Bachmann,18,BHA,1160,1100,WAT,1040,1070,1,2021
0,0,24,0,0.0,1493,27,1,0,4.3,42.8,2021-08-29 13:00:00+00:00,90,17,0,0,0,0,3,7,153208,0,1,0.0,4,-8930,4971,13901,45,False,0,1,Daniel Bachmann,18,TOT,1190,1210,WAT,1040,1070,1,2021
0,0,18,0,0.0,1493,40,2,0,3.3,33.0,2021-09-11 14:00:00+00:00,90,20,0,0,0,0,4,4,194517,2,0,0.0,2,33023,84153,51130,45,True,0,1,Daniel Bachmann,18,WOL,1160,1100,WAT,1090,1120,1,2021
0,0,0,0,0.0,1493,47,0,0,0.0,0.0,2021-09-18 14:00:00+00:00,0,15,0,0,0,0,5,0,196368,3,1,0.0,0,-387,22625,23012,45,False,0,1,Daniel Bachmann,18,NOR,1040,1040,WAT,1040,1070,1,2021
0,0,0,0,0.0,1493,60,0,0,0.0,0.0,2021-09-25 14:00:00+00:00,0,14,0,0,0,0,6,0,169724,1,1,0.0,0,-25393,1914,27307,45,True,0,1,Daniel Bachmann,18,NEW,1030,1070,WAT,1090,1120,1,2021
0,0,0,0,0.0,1493,65,0,0,0.0,0.0,2021-10-02 14:00:00+00:00,0,10,0,0,0,0,7,0,148950,0,1,0.0,0,-21076,1012,22088,45,False,0,1,Daniel Bachmann,18,LEE,1080,1100,WAT,1040,1070,1,2021
0,0,0,0,0.0,1493,80,0,0,0.0,0.0,2021-10-16 11:30:00+00:00,0,11,0,0,0,0,8,0,128944,5,0,0.0,0,-20942,1253,22195,44,True,0,1,Daniel Bachmann,18,LIV,1350,1350,WAT,1090,1120,1,2021
0,0,0,0,0.0,1493,86,0,0,0.0,0.0,2021-10-23 14:00:00+00:00,0,8,0,0,0,0,9,0,116289,5,2,0.0,0,-12799,566,13365,44,False,0,1,Daniel Bachmann,18,EVE,1130,1110,WAT,1040,1070,1,2021
0,0,0,0,0.0,1493,99,0,0,0.0,0.0,2021-10-30 14:00:00+00:00,0,16,0,0,0,0,10,0,107928,1,0,0.0,0,-8906,1024,9930,43,True,0,1,Daniel Bachmann,18,SOU,1140,1090,WAT,1090,1120,1,2021
0,0,0,0,0.0,1493,101,0,0,0.0,0.0,2021-11-07 14:00:00+00:00,0,1,0,0,0,0,11,0,102094,0,1,0.0,0,-6218,428,6646,43,False,0,1,Daniel Bachmann,18,ARS,1150,1190,WAT,1040,1070,1,2021
0,0,0,0,0.0,1493,119,0,0,0.0,0.0,2021-11-20 15:00:00+00:00,0,13,0,0,0,0,12,0,90070,1,4,0.0,0,-12179,704,12883,42,True,0,1,Daniel Bachmann,18,MUN,1190,1200,WAT,1090,1120,1,2021
0,0,17,0,0.0,1493,127,4,0,3.1,30.6,2021-11-28 14:00:00+00:00,90,9,0,0,0,0,13,4,87592,2,4,0.0,1,-2770,606,3376,42,False,0,1,Daniel Bachmann,18,LEI,1100,1150,WAT,1040,1070,1,2021
0,0,13,0,0.0,1493,135,2,0,1.9,18.8,2021-12-01 19:30:00+00:00,90,6,0,0,0,0,14,2,93486,2,1,0.0,1,5166,7428,2262,42,True,0,1,Daniel Bachmann,18,CHE,1300,1290,WAT,1090,1120,1,2021
0,0,28,0,0.0,1493,148,3,0,7.1,71.4,2021-12-04 17:30:00+00:00,90,12,0,0,0,0,15,9,109440,3,1,0.0,4,14749,18293,3544,42,True,0,1,Daniel Bachmann,18,MCI,1360,1360,WAT,1090,1120,1,2021
0,0,15,0,0.0,1493,152,2,0,2.3,22.8,2021-12-10 20:00:00+00:00,90,3,0,0,0,0,16,3,176089,1,2,0.0,2,58979,64269,5290,42,False,0,1,Daniel Bachmann,18,BRE,1120,1080,WAT,1040,1070,1,2021
0,0,8,0,0.0,1493,200,4,0,1.3,12.6,2021-12-28 15:00:00+00:00,90,19,0,0,0,0,20,2,229940,4,1,0.0,0,21791,26755,4964,42,True,0,1,Daniel Bachmann,18,WHU,1150,1180,WAT,1090,1120,1,2021
0,0,28,0,0.0,1493,210,1,0,5.3,52.8,2022-01-01 15:00:00+00:00,90,17,0,0,0,0,21,9,224215,1,0,0.0,5,3837,21540,17703,42,True,0,1,Daniel Bachmann,18,TOT,1200,1210,WAT,1090,1120,1,2021
