assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1079,146,0,0,0.0,0.0,2021-12-04 15:00:00+00:00,0,5,0,0,0,0,15,0,0,1,1,0.0,0,0,0,0,40,True,0,1,Harry Lewis,17,BHA,1160,1120,SOU,1090,1120,1,2021
0,0,0,0,0.0,1079,151,0,0,0.0,0.0,2021-12-11 15:00:00+00:00,0,1,0,0,0,0,16,0,2432,0,3,0.0,0,1991,2372,381,40,False,0,1,Harry Lewis,17,ARS,1150,1190,SOU,1140,1090,1,2021
0,0,0,0,0.0,1079,165,0,0,0.0,0.0,2021-12-15 19:30:00+00:00,0,7,0,0,0,0,17,0,1865,2,2,0.0,0,-369,255,624,40,False,0,1,Harry Lewis,17,CRY,1110,1080,SOU,1140,1090,1,2021
0,0,0,0,0.0,1079,189,0,0,0.0,0.0,2021-12-26 15:00:00+00:00,0,19,0,0,0,0,19,0,3729,3,2,0.0,0,764,1044,280,40,False,0,1,Harry Lewis,17,WHU,1110,1160,SOU,1140,1090,1,2021
0,0,0,0,0.0,1079,199,0,0,0.0,0.0,2021-12-28 15:00:00+00:00,0,18,0,0,0,0,20,0,3117,1,1,0.0,0,-10,435,445,40,True,0,1,Harry Lewis,17,TOT,1200,1210,SOU,1090,1120,1,2021
0,0,0,0,0.0,1079,176,0,0,0.0,0.0,2022-01-11 19:45:00+00:00,0,4,0,0,0,0,21,0,2534,1,4,0.0,0,-499,260,759,40,True,0,1,Harry Lewis,17,BRE,1150,1120,SOU,1090,1120,1,2021
0,0,0,0,0.0,1079,220,0,0,0.0,0.0,2022-01-15 15:00:00+00:00,0,20,0,0,0,0,22,0,2473,1,3,0.0,0,-113,190,303,40,False,0,1,Harry Lewis,17,WOL,1150,1080,SOU,1140,1090,1,2021
0,0,0,0,0.0,1079,229,0,0,0.0,0.0,2022-01-22 17:30:00+00:00,0,13,0,0,0,0,23,0,3055,1,1,0.0,0,428,664,236,39,True,0,1,Harry Lewis,17,MCI,1360,1360,SOU,1090,1120,1,2021
0,0,0,0,0.0,1079,240,0,0,0.0,0.0,2022-02-09 19:45:00+00:00,0,18,0,0,0,0,24,0,10413,3,2,0.0,0,5651,6405,754,39,False,0,1,Harry Lewis,17,TOT,1190,1210,SOU,1140,1090,1,2021
0,0,0,0,0.0,1079,246,0,0,0.0,0.0,2022-02-12 12:30:00+00:00,0,14,0,0,0,0,25,0,20421,1,1,0.0,0,7091,8119,1028,39,False,0,1,Harry Lewis,17,MUN,1170,1190,SOU,1140,1090,1,2021
