assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,0,0,0.0,181,4,0,0,0.0,0.0,2021-08-14 14:00:00+00:00,0,16,0,0,0,0,1,0,167543,1,3,0.0,0,0,0,0,40,True,0,1,João Neves Virgínia,8,SOU,1140,1090,EVE,1130,1110,1
0,0,0,0,0.0,181,14,0,0,0.0,0.0,2021-08-21 14:00:00+00:00,0,10,0,0,0,0,2,0,173850,2,2,0.0,0,-1292,3510,4802,40,False,0,1,João Neves Virgínia,8,LEE,1080,1100,EVE,1090,1110,1
0,0,0,0,0.0,181,22,0,0,0.0,0.0,2021-08-28 14:00:00+00:00,0,4,0,0,0,0,3,0,164772,2,0,0.0,0,-9932,2361,12293,40,False,0,1,João Neves Virgínia,8,BHA,1160,1100,EVE,1090,1110,1
0,0,0,0,0.0,181,35,0,0,0.0,0.0,2021-09-13 19:00:00+00:00,0,5,0,0,0,0,4,0,134751,1,3,0.0,0,-29124,0,29124,40,True,0,1,João Neves Virgínia,8,BUR,1130,1100,EVE,1130,1110,1
0,0,0,0,0.0,181,41,0,0,0.0,0.0,2021-09-18 16:30:00+00:00,0,2,0,0,0,0,5,0,122790,0,3,0.0,0,-13021,0,13021,40,False,0,1,João Neves Virgínia,8,AVL,1140,1090,EVE,1090,1110,1
0,0,0,0,0.0,181,55,0,0,0.0,0.0,2021-09-25 14:00:00+00:00,0,15,0,0,0,0,6,0,115157,0,2,0.0,0,-7855,0,7855,40,True,0,1,João Neves Virgínia,8,NOR,1040,1030,EVE,1130,1110,1
0,0,0,0,0.0,181,67,0,0,0.0,0.0,2021-10-02 11:30:00+00:00,0,13,0,0,0,0,7,0,110102,1,1,0.0,0,-5226,0,5226,40,False,0,1,João Neves Virgínia,8,MUN,1170,1190,EVE,1090,1110,1
0,0,0,0,0.0,181,74,0,0,0.0,0.0,2021-10-17 13:00:00+00:00,0,19,0,0,0,0,8,0,104430,1,0,0.0,0,-5797,0,5797,40,True,0,1,João Neves Virgínia,8,WHU,1150,1180,EVE,1130,1110,1
0,0,0,0,0.0,181,86,0,0,0.0,0.0,2021-10-23 14:00:00+00:00,0,18,0,0,0,0,9,0,101253,5,2,0.0,0,-3215,0,3215,40,True,0,1,João Neves Virgínia,8,WAT,1040,1070,EVE,1130,1110,1
0,0,0,0,0.0,181,100,0,0,0.0,0.0,2021-11-01 20:00:00+00:00,0,20,0,0,0,0,10,0,97841,1,2,0.0,0,-3382,0,3382,40,False,0,1,João Neves Virgínia,8,WOL,1150,1080,EVE,1090,1110,1
0,0,0,0,0.0,181,106,0,0,0.0,0.0,2021-11-07 14:00:00+00:00,0,17,0,0,0,0,11,0,96066,0,0,0.0,0,-1893,0,1893,40,True,0,1,João Neves Virgínia,8,TOT,1200,1210,EVE,1130,1110,1
0,0,0,0,0.0,181,115,0,0,0.0,0.0,2021-11-21 14:00:00+00:00,0,12,0,0,0,0,12,0,93258,0,3,0.0,0,-2829,0,2829,40,False,0,1,João Neves Virgínia,8,MCI,1340,1340,EVE,1090,1110,1
0,0,0,0,0.0,181,122,0,0,0.0,0.0,2021-11-28 14:00:00+00:00,0,3,0,0,0,0,13,0,91685,0,1,0.0,0,-1585,0,1585,40,False,0,1,João Neves Virgínia,8,BRE,1120,1080,EVE,1090,1110,1
0,0,0,0,0.0,181,132,0,0,0.0,0.0,2021-12-01 20:15:00+00:00,0,11,0,0,0,0,14,0,90764,4,1,0.0,0,-984,0,984,40,True,0,1,João Neves Virgínia,8,LIV,1350,1350,EVE,1130,1110,1
0,0,0,0,0.0,181,142,0,0,0.0,0.0,2021-12-06 20:00:00+00:00,0,1,0,0,0,0,15,0,89708,1,2,0.0,0,-1057,0,1057,40,True,0,1,João Neves Virgínia,8,ARS,1210,1220,EVE,1130,1110,1
0,0,0,0,0.0,181,156,0,0,0.0,0.0,2021-12-12 16:30:00+00:00,0,7,0,0,0,0,16,0,88060,1,3,0.0,0,-1506,0,1506,40,False,0,1,João Neves Virgínia,8,CRY,1110,1080,EVE,1090,1110,1
0,0,0,0,0.0,181,168,0,0,0.0,0.0,2021-12-16 19:45:00+00:00,0,6,0,0,0,0,17,0,86907,1,1,0.0,0,-1203,0,1203,40,False,0,1,João Neves Virgínia,8,CHE,1300,1250,EVE,1090,1110,1
0,0,0,0,0.0,181,205,0,0,0.0,0.0,2022-01-02 14:00:00+00:00,0,4,0,0,0,0,21,0,81857,3,2,0.0,0,-1503,0,1503,40,True,0,1,João Neves Virgínia,8,BHA,1160,1120,EVE,1130,1110,1
0,0,0,0,0.0,181,217,0,0,0.0,0.0,2022-01-15 15:00:00+00:00,0,15,0,0,0,0,22,0,78713,1,2,0.0,0,-2741,0,2741,40,False,0,1,João Neves Virgínia,8,NOR,1040,1040,EVE,1090,1110,1
0,0,0,0,0.0,181,225,0,0,0.0,0.0,2022-01-22 12:30:00+00:00,0,2,0,0,0,0,23,0,78422,1,0,0.0,0,-1311,0,1311,40,True,0,1,João Neves Virgínia,8,AVL,1110,1090,EVE,1130,1110,1
0,0,0,0,0.0,181,239,0,0,0.0,0.0,2022-02-08 19:45:00+00:00,0,14,0,0,0,0,24,0,77389,1,3,0.0,0,-1076,0,1076,40,False,0,1,João Neves Virgínia,8,NEW,1050,1040,EVE,1090,1110,1
0,0,0,0,0.0,181,244,0,0,0.0,0.0,2022-02-12 15:00:00+00:00,0,10,0,0,0,0,25,0,76470,0,3,0.0,0,-926,0,926,40,True,0,1,João Neves Virgínia,8,LEE,1070,1100,EVE,1130,1110,1
0,0,0,0,0.0,181,258,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,16,0,0,0,0,26,0,75135,0,2,0.0,0,-1058,0,1058,40,False,0,1,João Neves Virgínia,8,SOU,1090,1120,EVE,1090,1110,1
0,0,0,0,0.0,181,266,0,0,0.0,0.0,2022-02-26 17:30:00+00:00,0,12,0,0,0,0,27,0,74461,1,0,0.0,0,-645,0,645,40,True,0,1,João Neves Virgínia,8,MCI,1360,1360,EVE,1130,1110,1
0,0,0,0,0.0,181,278,0,0,0.0,0.0,2022-03-07 20:00:00+00:00,0,17,0,0,0,0,28,0,73714,0,5,0.0,0,-991,0,991,40,False,0,1,João Neves Virgínia,8,TOT,1190,1210,EVE,1090,1110,1
0,0,0,0,0.0,181,286,0,0,0.0,0.0,2022-03-13 14:00:00+00:00,0,20,0,0,0,0,29,0,72920,1,0,0.0,0,-763,0,763,40,True,0,1,João Neves Virgínia,8,WOL,1160,1100,EVE,1130,1110,1
0,0,0,0,0.0,181,195,0,0,0.0,0.0,2022-03-17 19:45:00+00:00,0,14,0,0,0,0,29,0,72920,0,1,0.0,0,-763,0,763,40,True,0,1,João Neves Virgínia,8,NEW,1030,1070,EVE,1130,1110,1
0,0,0,0,0.0,181,309,0,0,0.0,0.0,2022-04-03 13:00:00+00:00,0,19,0,0,0,0,31,0,72237,1,2,0.0,0,-531,0,531,40,False,0,1,João Neves Virgínia,8,WHU,1110,1160,EVE,1090,1110,1
0,0,0,0,0.0,181,183,0,0,0.0,0.0,2022-04-06 18:30:00+00:00,0,5,0,0,0,0,31,0,72237,2,3,0.0,0,-531,0,531,40,False,0,1,João Neves Virgínia,8,BUR,1080,1060,EVE,1090,1110,1
0,0,0,0,0.0,181,314,0,0,0.0,0.0,2022-04-09 11:30:00+00:00,0,13,0,0,0,0,32,0,72020,0,1,0.0,0,-251,0,251,40,True,0,1,João Neves Virgínia,8,MUN,1190,1200,EVE,1130,1110,1
0,0,0,0,0.0,181,172,0,0,0.0,0.0,2022-04-20 18:45:00+00:00,0,9,0,0,0,0,33,0,71469,1,1,0.0,0,-464,0,464,40,True,0,1,João Neves Virgínia,8,LEI,1080,1160,EVE,1130,1110,1
0,0,0,0,0.0,181,338,0,0,0.0,0.0,2022-04-24 15:30:00+00:00,0,11,0,0,0,0,34,0,71194,0,2,0.0,0,-341,0,341,40,False,0,1,João Neves Virgínia,8,LIV,1300,1340,EVE,1090,1110,1
0,0,0,0,0.0,181,342,0,0,0.0,0.0,2022-05-01 13:00:00+00:00,0,6,0,0,0,0,35,0,70860,0,1,0.0,0,-347,0,347,40,True,0,1,João Neves Virgínia,8,CHE,1300,1290,EVE,1130,1110,1
0,0,0,0,0.0,181,357,0,0,0.0,0.0,2022-05-08 13:00:00+00:00,0,9,0,0,0,0,36,0,69966,2,1,0.0,0,-773,0,773,40,False,0,1,João Neves Virgínia,8,LEI,1100,1150,EVE,1090,1110,1
0,0,0,0,0.0,181,299,0,0,0.0,0.0,2022-05-11 18:45:00+00:00,0,18,0,0,0,0,36,0,69966,0,0,0.0,0,-773,0,773,40,False,0,1,João Neves Virgínia,8,WAT,1090,1120,EVE,1090,1110,1
0,0,0,0,0.0,181,362,0,0,0.0,0.0,2022-05-15 15:30:00+00:00,0,3,0,0,0,0,37,0,69378,3,2,0.0,0,-553,0,553,40,True,0,1,João Neves Virgínia,8,BRE,1150,1120,EVE,1130,1110,1
0,0,0,0,0.0,181,322,0,0,0.0,0.0,2022-05-19 18:45:00+00:00,0,7,0,0,0,0,37,0,69378,2,3,0.0,0,-553,0,553,40,True,0,1,João Neves Virgínia,8,CRY,1160,1160,EVE,1130,1110,1
0,0,0,0,0.0,181,371,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,0,1,0,0,0,0,38,0,68876,1,5,0.0,0,-516,0,516,40,False,0,1,João Neves Virgínia,8,ARS,1150,1190,EVE,1090,1110,1
