assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,741,212,0,0,0.0,0.0,2022-01-14 20:00:00+00:00,0,7,0,0,0,0,22,0,0,1,1,0.0,0,0,0,0,40,True,0,1,Tom McGill,4,CRY,1160,1160,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,232,0,0,0.0,0.0,2022-01-18 20:00:00+00:00,0,6,0,0,0,0,22,0,0,1,1,0.0,0,0,0,0,40,True,0,1,Tom McGill,4,CHE,1300,1290,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,227,0,0,0.0,0.0,2022-01-23 14:00:00+00:00,0,9,0,0,0,0,23,0,105,1,1,0.0,0,81,100,19,40,False,0,1,Tom McGill,4,LEI,1100,1150,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,250,0,0,0.0,0.0,2022-02-12 15:00:00+00:00,0,18,0,0,0,0,25,0,298,2,0,0.0,0,72,91,19,40,False,0,1,Tom McGill,4,WAT,1090,1120,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,174,0,0,0.0,0.0,2022-02-15 20:15:00+00:00,0,13,0,0,0,0,25,0,298,0,2,0.0,0,72,91,19,40,False,0,1,Tom McGill,4,MUN,1170,1190,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,253,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,5,0,0,0,0,26,0,435,3,0,0.0,0,56,108,52,40,True,0,1,Tom McGill,4,BUR,1130,1100,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,263,0,0,0.0,0.0,2022-02-26 15:30:00+00:00,0,2,0,0,0,0,27,0,581,2,0,0.0,0,56,112,56,40,True,0,1,Tom McGill,4,AVL,1110,1090,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,276,0,0,0.0,0.0,2022-03-05 15:00:00+00:00,0,14,0,0,0,0,28,0,564,1,2,0.0,0,52,126,74,40,False,0,1,Tom McGill,4,NEW,1050,1040,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,283,0,0,0.0,0.0,2022-03-12 12:30:00+00:00,0,11,0,0,0,0,29,0,1128,2,0,0.0,0,455,525,70,40,True,0,1,Tom McGill,4,LIV,1350,1350,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,153,0,0,0.0,0.0,2022-03-16 19:30:00+00:00,0,17,0,0,0,0,29,0,1128,2,0,0.0,0,455,525,70,40,True,0,1,Tom McGill,4,TOT,1200,1210,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,301,0,0,0.0,0.0,2022-04-02 14:00:00+00:00,0,15,0,0,0,0,31,0,953,0,0,0.0,0,108,237,129,40,True,0,1,Tom McGill,4,NOR,1040,1030,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,311,0,0,0.0,0.0,2022-04-09 14:00:00+00:00,0,1,0,0,0,0,32,0,1143,2,1,0.0,0,158,292,134,40,False,0,1,Tom McGill,4,ARS,1150,1190,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,327,0,0,0.0,0.0,2022-04-16 11:30:00+00:00,0,17,0,0,0,0,33,0,1207,1,0,0.0,0,-25,193,218,40,False,0,1,Tom McGill,4,TOT,1190,1210,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,295,0,0,0.0,0.0,2022-04-20 19:00:00+00:00,0,12,0,0,0,0,33,0,1207,0,3,0.0,0,-25,193,218,40,False,0,1,Tom McGill,4,MCI,1340,1340,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,333,0,0,0.0,0.0,2022-04-24 13:00:00+00:00,0,16,0,0,0,0,34,0,1059,2,2,0.0,0,-108,119,227,40,True,0,1,Tom McGill,4,SOU,1140,1090,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,350,0,0,0.0,0.0,2022-04-30 14:00:00+00:00,0,20,0,0,0,0,35,0,1084,3,0,0.0,0,-11,91,102,40,False,0,1,Tom McGill,4,WOL,1150,1080,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,353,0,0,0.0,0.0,2022-05-07 16:30:00+00:00,0,13,0,0,0,0,36,0,1183,0,4,0.0,0,34,114,80,40,True,0,1,Tom McGill,4,MUN,1190,1200,BHA,1160,1100,1,2021
0,0,0,0,0.0,741,363,0,0,0.0,0.0,2022-05-15 13:00:00+00:00,0,10,0,0,0,0,37,0,1366,1,1,0.0,0,108,167,59,40,False,0,1,Tom McGill,4,LEE,1080,1100,BHA,1160,1120,1,2021
0,0,0,0,0.0,741,373,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,0,19,0,0,0,0,38,0,1389,1,3,0.0,0,66,156,90,40,True,0,1,Tom McGill,4,WHU,1150,1180,BHA,1160,1100,1,2021
