assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,3,61,0,35.9,277,6,1,3,20.1,106.2,2021-08-14 11:30:00+00:00,90,10,0,0,0,0,1,0,3381004,1,5,59.0,20,0,0,0,120,True,0,3,Bruno Borges Fernandes,13,LEE,1070,1100,MUN,1170,1190,1
0,0,7,0,30.2,277,19,1,0,7.2,12.4,2021-08-22 13:00:00+00:00,90,16,0,0,0,0,2,0,4305673,1,1,29.0,1,414059,436157,22098,121,False,1,3,Bruno Borges Fernandes,13,SOU,1090,1120,MUN,1190,1200,1
0,0,4,1,25.8,277,30,0,0,5.5,6.4,2021-08-29 15:30:00+00:00,90,20,0,0,0,0,3,0,4391403,1,0,23.0,2,-3080,149207,152287,121,False,1,3,Bruno Borges Fernandes,13,WOL,1150,1080,MUN,1190,1200,1
0,1,33,0,33.8,277,38,1,1,10.0,36.8,2021-09-11 14:00:00+00:00,84,14,0,0,0,0,4,0,3298340,1,4,29.0,8,-1126140,100656,1226796,120,True,0,3,Bruno Borges Fernandes,13,NEW,1030,1070,MUN,1170,1190,1
0,0,17,0,48.8,277,49,1,0,10.5,18.0,2021-09-19 13:00:00+00:00,90,19,0,0,0,0,5,0,2797372,2,1,38.0,2,-552801,55156,607957,120,False,0,3,Bruno Borges Fernandes,13,WHU,1110,1160,MUN,1190,1200,1
0,0,13,0,136.2,277,58,1,0,20.7,27.6,2021-09-25 11:30:00+00:00,90,2,0,1,0,0,6,0,2516238,1,0,43.0,0,-309231,38980,348211,119,True,0,3,Bruno Borges Fernandes,13,AVL,1110,1090,MUN,1170,1190,1
1,0,19,0,36.2,277,67,1,0,6.7,22.4,2021-10-02 11:30:00+00:00,90,8,0,0,0,0,7,0,2247981,1,1,8.0,5,-282453,28309,310762,119,True,0,3,Bruno Borges Fernandes,13,EVE,1090,1110,MUN,1170,1190,1
1,0,24,0,104.0,277,75,4,0,15.4,39.0,2021-10-16 14:00:00+00:00,90,9,0,0,0,0,8,0,2078240,2,4,11.0,5,-182100,24555,206655,118,False,0,3,Bruno Borges Fernandes,13,LEI,1100,1150,MUN,1190,1200,1
0,0,13,0,32.4,277,88,5,0,4.4,7.4,2021-10-24 15:30:00+00:00,61,11,0,0,0,0,9,0,1885663,5,0,4.0,1,-193052,12297,205349,118,True,1,3,Bruno Borges Fernandes,13,LIV,1350,1350,MUN,1170,1190,1
1,0,25,1,38.9,277,98,0,0,7.7,33.6,2021-10-30 16:30:00+00:00,75,17,0,0,0,0,10,0,1649817,3,0,4.0,6,-239751,10714,250465,117,False,0,3,Bruno Borges Fernandes,13,TOT,1190,1210,MUN,1190,1200,1
