assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1160,9,0,0,0.0,0.0,2021-08-15 13:00:00+00:00,0,15,0,0,0,0,1,0,6773,4,2,0.0,0,0,0,0,45,False,0,3,Conor Coventry,19,NEW,1050,1040,WHU,1150,1180,1,2021
0,0,0,0,0.0,1160,20,0,0,0.0,0.0,2021-08-23 19:00:00+00:00,0,11,0,0,0,0,2,0,8150,1,4,0.0,0,-267,773,1040,45,True,0,3,Conor Coventry,19,LEI,1080,1160,WHU,1110,1160,1,2021
0,0,0,0,0.0,1160,28,0,0,0.0,0.0,2021-08-28 14:00:00+00:00,0,7,0,0,0,0,3,0,8400,2,2,0.0,0,-437,811,1248,45,True,0,3,Conor Coventry,19,CRY,1160,1160,WHU,1110,1160,1,2021
0,0,0,0,0.0,1160,39,0,0,0.0,0.0,2021-09-11 14:00:00+00:00,0,17,0,0,0,0,4,0,6988,0,0,0.0,0,-1624,641,2265,45,False,0,3,Conor Coventry,19,SOU,1090,1120,WHU,1150,1180,1,2021
0,0,0,0,0.0,1160,49,0,0,0.0,0.0,2021-09-19 13:00:00+00:00,0,14,0,0,0,0,5,0,6119,2,1,0.0,0,-943,0,943,45,True,0,3,Conor Coventry,19,MUN,1190,1200,WHU,1110,1160,1,2021
0,0,0,0,0.0,1160,56,0,0,0.0,0.0,2021-09-25 14:00:00+00:00,0,24,0,0,0,0,6,0,5536,2,1,0.0,0,-610,0,610,45,False,0,3,Conor Coventry,19,LEE,1080,1100,WHU,1150,1180,1,2021
0,0,0,0,0.0,1160,69,0,0,0.0,0.0,2021-10-03 13:00:00+00:00,0,4,0,0,0,0,7,0,5183,2,1,0.0,0,-364,0,364,45,True,0,3,Conor Coventry,19,BRE,1150,1120,WHU,1110,1160,1,2021
0,0,0,0,0.0,1160,74,0,0,0.0,0.0,2021-10-17 13:00:00+00:00,0,8,0,0,0,0,8,0,4967,1,0,0.0,0,-237,0,237,45,False,0,3,Conor Coventry,19,EVE,1130,1110,WHU,1150,1180,1,2021
0,0,0,0,0.0,1160,90,0,0,0.0,0.0,2021-10-24 13:00:00+00:00,0,18,0,0,0,0,9,0,4782,0,1,0.0,0,-185,0,185,45,True,0,3,Conor Coventry,19,TOT,1200,1210,WHU,1110,1160,1,2021
0,0,0,0,0.0,1160,91,0,0,0.0,0.0,2021-10-31 16:30:00+00:00,0,2,0,0,0,0,10,0,4593,4,1,0.0,0,-195,0,195,45,False,0,3,Conor Coventry,19,AVL,1140,1090,WHU,1150,1180,1,2021
