assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,169,3,0,0,0.0,0.0,2021-08-14 14:00:00+00:00,0,6,0,0,0,0,1,0,2134,0,3,0.0,0,0,0,0,55,False,0,3,Conor Gallagher,7,CHE,1300,1250,CRY,1160,1160,1,2021
0,0,6,1,15.7,169,13,0,0,5.4,13.0,2021-08-21 14:00:00+00:00,90,3,0,0,0,0,2,0,3592,0,0,25.0,3,295,633,338,55,True,0,3,Conor Gallagher,7,BRE,1150,1120,CRY,1110,1080,1,2021
0,3,50,0,24.1,169,28,2,2,15.8,79.8,2021-08-28 14:00:00+00:00,90,19,0,0,0,0,3,0,4575,2,2,54.0,15,373,1048,675,55,False,0,3,Conor Gallagher,7,WHU,1110,1160,CRY,1160,1160,1,2021
2,0,21,1,38.2,169,34,0,0,15.5,25.2,2021-09-11 11:30:00+00:00,90,17,0,0,0,0,4,0,111968,0,3,92.0,8,86510,118975,32465,55,True,1,3,Conor Gallagher,7,TOT,1200,1210,CRY,1110,1080,1,2021
0,0,4,0,34.6,169,44,3,0,5.0,7.4,2021-09-18 14:00:00+00:00,90,11,0,0,0,0,5,0,436828,0,3,8.0,2,297817,368703,70886,56,False,0,3,Conor Gallagher,7,LIV,1300,1340,CRY,1160,1160,1,2021
1,0,12,0,3.6,169,54,1,0,4.3,13.4,2021-09-27 19:00:00+00:00,90,4,0,0,0,0,6,0,654258,1,1,26.0,4,204384,245214,40830,57,True,1,3,Conor Gallagher,7,BHA,1160,1120,CRY,1110,1080,1,2021
0,0,1,0,12.3,169,64,2,0,5.4,6.6,2021-10-03 13:00:00+00:00,70,9,0,0,0,0,7,0,693548,2,2,35.0,2,40803,95005,54202,57,True,0,3,Conor Gallagher,7,LEI,1080,1160,CRY,1110,1080,1,2021
0,0,8,0,1.8,169,71,2,0,3.0,12.8,2021-10-18 19:00:00+00:00,90,1,0,0,0,0,8,0,659948,2,2,15.0,2,-33831,42727,76558,57,False,0,3,Conor Gallagher,7,ARS,1150,1190,CRY,1160,1160,1,2021
0,0,15,0,32.8,169,85,1,0,6.1,14.4,2021-10-23 14:00:00+00:00,85,14,0,0,0,0,9,0,673264,1,1,14.0,2,7427,56139,48712,57,True,0,3,Conor Gallagher,7,NEW,1030,1070,CRY,1110,1080,1,2021
1,3,38,1,49.5,169,95,0,1,16.0,76.8,2021-10-30 14:00:00+00:00,90,12,0,0,0,0,10,0,563497,2,0,34.0,13,-105414,12872,118286,56,False,1,3,Conor Gallagher,7,MCI,1340,1340,CRY,1160,1160,1,2021
0,3,31,1,60.2,169,105,0,1,13.5,51.0,2021-11-06 15:00:00+00:00,90,20,0,0,0,0,11,0,975846,0,2,24.0,11,382382,396449,14067,57,True,0,3,Conor Gallagher,7,WOL,1160,1100,CRY,1110,1080,1,2021
1,0,29,0,40.8,169,112,3,0,9.6,32.6,2021-11-20 15:00:00+00:00,80,5,0,0,0,0,12,0,1862397,3,3,23.0,5,858326,870287,11961,59,False,0,3,Conor Gallagher,7,BUR,1080,1060,CRY,1160,1160,1,2021
0,0,14,0,30.4,169,126,2,0,5.4,19.6,2021-11-27 15:00:00+00:00,90,2,0,0,0,0,13,0,2413099,2,1,4.0,2,543543,565174,21631,61,True,0,3,Conor Gallagher,7,AVL,1110,1090,CRY,1110,1080,1,2021
0,0,7,0,8.6,169,133,1,0,4.9,12.2,2021-11-30 20:15:00+00:00,90,10,0,0,0,0,14,0,2538755,0,1,28.0,1,130337,184247,53910,61,False,1,3,Conor Gallagher,7,LEE,1080,1100,CRY,1160,1160,1,2021
0,0,17,0,33.7,169,144,1,0,5.0,15.0,2021-12-05 14:00:00+00:00,90,13,0,0,0,0,15,0,2277696,0,1,1.0,2,-255995,53865,309860,62,False,0,3,Conor Gallagher,7,MUN,1170,1190,CRY,1160,1160,1,2021
0,3,51,0,43.4,169,156,1,2,19.8,89.0,2021-12-12 16:30:00+00:00,90,8,0,0,0,0,16,0,2122249,1,3,66.0,15,-153941,68518,222459,61,True,0,3,Conor Gallagher,7,EVE,1090,1110,CRY,1110,1080,1,2021
0,0,11,0,23.6,169,165,2,0,4.7,15.6,2021-12-15 19:30:00+00:00,90,16,0,0,0,0,17,0,2481802,2,2,8.0,2,315482,353025,37543,62,True,0,3,Conor Gallagher,7,SOU,1140,1090,CRY,1110,1080,1,2021
0,0,11,0,26.6,169,188,3,0,4.0,9.0,2021-12-26 15:00:00+00:00,74,17,0,0,0,0,19,0,2143376,0,3,4.0,2,22,91674,91652,61,False,0,3,Conor Gallagher,7,TOT,1190,1210,CRY,1160,1160,1,2021
0,0,0,0,0.0,169,194,0,0,0.0,0.0,2021-12-28 15:00:00+00:00,0,15,0,0,0,0,20,0,2446187,0,3,0.0,0,139302,188976,49674,61,True,0,3,Conor Gallagher,7,NOR,1040,1030,CRY,1110,1080,1,2021
0,0,0,0,0.0,169,204,0,0,0.0,0.0,2022-01-01 17:30:00+00:00,0,19,0,0,0,0,21,0,1585400,3,2,0.0,0,-671002,9961,680963,62,True,0,3,Conor Gallagher,7,WHU,1150,1180,CRY,1110,1080,1,2021
0,2,25,0,1.8,169,212,1,1,6.7,47.8,2022-01-14 20:00:00+00:00,90,4,0,0,0,0,22,0,1436859,1,1,17.0,9,-194164,61057,255221,61,False,0,3,Conor Gallagher,7,BHA,1160,1100,CRY,1160,1160,1,2021
0,0,-1,0,0.5,169,224,3,0,1.1,0.0,2022-01-23 14:00:00+00:00,90,11,0,0,0,0,23,0,1597225,3,1,13.0,1,47276,106327,59051,61,True,1,3,Conor Gallagher,7,LIV,1350,1350,CRY,1110,1080,1,2021
0,0,7,0,18.7,169,234,1,0,6.0,13.2,2022-02-09 19:45:00+00:00,90,15,0,0,0,0,24,0,1750640,1,1,28.0,1,142188,200207,58019,62,False,1,3,Conor Gallagher,7,NOR,1040,1040,CRY,1160,1160,1,2021
0,0,12,1,18.9,169,241,0,0,2.7,7.6,2022-02-12 15:00:00+00:00,90,3,0,0,0,0,25,0,1659657,0,0,0.0,3,-79687,69714,149401,62,False,0,3,Conor Gallagher,7,BRE,1120,1080,CRY,1160,1160,1,2021
0,0,0,0,0.0,169,254,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,6,0,0,0,0,26,0,1215795,1,0,0.0,0,-375666,6276,381942,62,True,0,3,Conor Gallagher,7,CHE,1300,1290,CRY,1110,1080,1,2021
1,2,40,0,4.2,169,178,1,1,6.1,37.4,2022-02-23 19:30:00+00:00,90,18,0,0,0,0,26,0,1215795,4,1,19.0,12,-375666,6276,381942,62,False,0,3,Conor Gallagher,7,WAT,1090,1120,CRY,1160,1160,1,2021
0,0,7,0,13.8,169,265,1,0,2.7,11.4,2022-02-26 15:00:00+00:00,90,5,0,0,0,0,27,0,1395951,1,1,2.0,2,65532,103901,38369,62,True,0,3,Conor Gallagher,7,BUR,1130,1100,CRY,1110,1080,1,2021
0,0,3,1,9.3,169,280,0,0,5.0,14.6,2022-03-05 15:00:00+00:00,90,20,0,0,0,0,28,0,1249397,2,0,26.0,2,-91342,31612,122954,62,False,1,3,Conor Gallagher,7,WOL,1150,1080,CRY,1160,1160,1,2021
0,0,8,1,2.1,169,285,0,0,1.4,5.6,2022-03-14 20:00:00+00:00,90,12,0,0,0,0,29,0,1158493,0,0,6.0,2,-100792,24289,125081,61,True,1,3,Conor Gallagher,7,MCI,1360,1360,CRY,1110,1080,1,2021
0,0,4,1,1.1,169,304,0,0,0.9,6.2,2022-04-04 19:00:00+00:00,90,1,0,0,0,0,31,0,1131368,0,3,2.0,3,-5833,29653,35486,61,True,0,3,Conor Gallagher,7,ARS,1210,1220,CRY,1110,1080,1,2021
0,0,0,0,14.7,169,315,2,0,1.8,0.8,2022-04-10 13:00:00+00:00,57,9,0,0,0,0,32,0,1135939,1,2,2.0,1,3216,31369,28153,61,False,0,3,Conor Gallagher,7,LEI,1100,1150,CRY,1160,1160,1,2021
0,0,-2,0,3.2,169,296,1,0,0.7,4.0,2022-04-20 18:45:00+00:00,59,14,0,0,0,0,33,0,1097241,0,1,0.0,0,-29978,22055,52033,61,False,1,3,Conor Gallagher,7,NEW,1050,1040,CRY,1160,1160,1,2021
0,0,1,1,6.3,169,336,0,0,5.6,3.8,2022-04-25 19:00:00+00:00,90,10,0,0,0,0,34,0,1086022,0,0,46.0,3,-20574,28319,48893,61,True,0,3,Conor Gallagher,7,LEE,1070,1100,CRY,1110,1080,1,2021
0,0,11,0,26.8,169,346,1,0,4.7,9.0,2022-04-30 14:00:00+00:00,90,16,0,0,0,0,35,0,1083559,2,1,11.0,2,-4744,30076,34820,61,False,0,3,Conor Gallagher,7,SOU,1090,1120,CRY,1160,1160,1,2021
0,0,8,1,2.6,169,356,0,0,0.4,0.8,2022-05-07 14:00:00+00:00,62,18,0,0,0,0,36,0,1024830,0,1,1.0,3,-48699,20119,68818,60,True,0,3,Conor Gallagher,7,WAT,1040,1070,CRY,1110,1080,1,2021
0,0,8,0,6.8,169,361,1,0,5.3,9.6,2022-05-15 13:00:00+00:00,90,2,0,0,0,0,37,0,1100879,1,1,37.0,1,35489,61792,26303,60,False,1,3,Conor Gallagher,7,AVL,1140,1090,CRY,1160,1160,1,2021
0,0,2,0,0.4,169,322,2,0,0.0,0.0,2022-05-19 18:45:00+00:00,16,8,0,0,0,0,37,0,1100879,2,3,0.0,1,35489,61792,26303,60,False,0,3,Conor Gallagher,7,EVE,1130,1110,CRY,1160,1160,1,2021
0,0,10,1,0.0,169,376,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,90,13,0,0,0,0,38,0,1011410,0,1,0.0,3,-46764,7828,54592,60,True,0,3,Conor Gallagher,7,MUN,1190,1200,CRY,1110,1080,1,2021
