assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,5,0,12.1,462,2,1,0,1.8,2.2,2021-08-14 14:00:00+00:00,45,5,0,0,0,0,1,0,9904,2,1,4.0,1,0,0,0,60,False,0,3,Enock Mwepu,4,BUR,1080,1060,BHA,1160,1120,1,2021
0,0,-2,0,1.1,462,12,0,0,0.3,0.0,2021-08-21 16:30:00+00:00,18,18,0,0,0,0,2,0,9111,0,2,3.0,0,-1855,282,2137,60,True,1,3,Enock Mwepu,4,WAT,1040,1070,BHA,1160,1100,1,2021
0,0,0,0,0.0,462,22,0,0,0.0,0.0,2021-08-28 14:00:00+00:00,0,8,0,0,0,0,3,0,6441,2,0,0.0,0,-2871,180,3051,59,True,0,3,Enock Mwepu,4,EVE,1090,1110,BHA,1160,1100,1,2021
0,0,0,0,0.0,462,32,0,0,0.0,0.0,2021-09-11 14:00:00+00:00,0,3,0,0,0,0,4,0,5717,1,0,0.0,0,-1231,265,1496,59,False,0,3,Enock Mwepu,4,BRE,1120,1080,BHA,1160,1120,1,2021
0,0,1,0,0.8,462,42,0,0,0.7,6.6,2021-09-19 13:00:00+00:00,28,9,0,0,0,0,5,0,4766,1,2,0.0,1,-1019,56,1075,59,True,0,3,Enock Mwepu,4,LEI,1080,1160,BHA,1160,1100,1,2021
0,0,0,0,0.0,462,54,0,0,0.0,0.0,2021-09-27 19:00:00+00:00,0,7,0,0,0,0,6,0,4575,1,1,0.0,0,-382,227,609,59,False,0,3,Enock Mwepu,4,CRY,1110,1080,BHA,1160,1120,1,2021
0,0,0,0,0.0,462,61,0,0,0.0,0.0,2021-10-02 16:30:00+00:00,0,1,0,0,0,0,7,0,4152,0,0,0.0,0,-425,31,456,59,True,0,3,Enock Mwepu,4,ARS,1210,1220,BHA,1160,1100,1,2021
0,0,0,0,0.0,462,78,0,0,0.0,0.0,2021-10-16 14:00:00+00:00,0,15,0,0,0,0,8,0,3865,0,0,0.0,0,-311,60,371,59,False,0,3,Enock Mwepu,4,NOR,1040,1040,BHA,1160,1120,1,2021
1,0,13,0,1.0,462,83,1,0,0.6,3.4,2021-10-23 16:30:00+00:00,32,12,0,0,0,0,9,0,3958,4,1,2.0,4,8,145,137,59,True,0,3,Enock Mwepu,4,MCI,1360,1360,BHA,1160,1100,1,2021
0,2,27,0,4.7,462,94,2,1,7.0,48.0,2021-10-30 14:00:00+00:00,90,11,0,0,0,0,10,0,4214,2,2,17.0,9,59,248,189,59,False,0,3,Enock Mwepu,4,LIV,1300,1340,BHA,1160,1120,1,2021
