assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,3,0,5.8,485,6,0,0,0.7,1.0,2021-08-14 11:30:00+00:00,15,10,0,0,0,0,1,0,683763,1,5,0.0,1,0,0,0,95,True,0,3,Jadon Sancho,13,1,LEE,1070,1100,MUN,1170,1190,1,2021
0,0,5,0,13.0,485,19,0,0,2.3,3.6,2021-08-22 13:00:00+00:00,31,16,0,0,0,0,2,0,560868,1,1,6.0,1,-167670,16332,184002,94,False,0,3,Jadon Sancho,13,2,SOU,1090,1120,MUN,1190,1200,1,2021
0,0,4,1,7.3,485,30,0,0,0.8,0.0,2021-08-29 15:30:00+00:00,71,20,0,0,0,0,3,0,411281,1,0,4.0,3,-163024,8736,171760,93,False,0,3,Jadon Sancho,13,3,WOL,1150,1080,MUN,1190,1200,1,2021
0,0,4,0,27.0,485,38,1,0,6.2,3.4,2021-09-11 14:00:00+00:00,65,14,0,0,0,0,4,0,253420,1,4,32.0,2,-163271,8393,171664,92,True,0,3,Jadon Sancho,13,4,NEW,1030,1070,MUN,1170,1190,1,2021
0,0,3,0,2.5,485,49,0,0,0.3,0.8,2021-09-19 13:00:00+00:00,17,19,0,0,0,0,5,0,214251,2,1,0.0,1,-49073,5341,54414,91,False,0,3,Jadon Sancho,13,5,WHU,1110,1160,MUN,1190,1200,1,2021
0,0,0,0,0.0,485,58,0,0,0.0,0.0,2021-09-25 11:30:00+00:00,0,2,0,0,0,0,6,0,185399,1,0,0.0,0,-32112,2270,34382,91,True,0,3,Jadon Sancho,13,6,AVL,1110,1090,MUN,1170,1190,1,2021
0,0,5,0,27.1,485,67,1,0,6.1,13.2,2021-10-02 11:30:00+00:00,33,8,0,0,0,0,7,0,170615,1,1,21.0,1,-17047,1598,18645,90,True,0,3,Jadon Sancho,13,7,EVE,1090,1110,MUN,1170,1190,1,2021
0,0,19,0,35.6,485,75,1,0,5.1,9.4,2021-10-16 14:00:00+00:00,64,9,0,0,0,0,8,0,163835,2,4,6.0,2,-8740,2374,11114,90,False,0,3,Jadon Sancho,13,8,LEI,1100,1150,MUN,1190,1200,1,2021
0,0,0,0,0.0,485,88,0,0,0.0,0.0,2021-10-24 15:30:00+00:00,0,11,0,0,0,0,9,0,158281,5,0,0.0,0,-6459,930,7389,90,True,0,3,Jadon Sancho,13,9,LIV,1350,1350,MUN,1170,1190,1,2021
0,0,0,0,0.0,485,98,0,0,0.0,0.0,2021-10-30 16:30:00+00:00,0,17,0,0,0,0,10,0,151785,3,0,0.0,0,-7846,1150,8996,89,False,0,3,Jadon Sancho,13,10,TOT,1190,1210,MUN,1190,1200,1,2021
