assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,19,9,0,0,0.0,0.0,2021-08-15 13:00:00+00:00,0,19,0,0,0,0,1,0,95790,4,2,0.0,0,0,0,0,60,True,0,3,Joe Willock,14,WHU,1150,1180,NEW,1050,1040,1,2021
0,0,7,0,11.0,19,11,2,0,2.4,5.4,2021-08-21 14:00:00+00:00,89,2,0,0,0,0,2,0,125295,0,2,8.0,2,11291,23473,12182,60,False,0,3,Joe Willock,14,AVL,1140,1090,NEW,1030,1070,1,2021
0,0,8,0,1.7,19,25,1,0,1.7,11.0,2021-08-28 14:00:00+00:00,83,16,0,0,0,0,3,0,120274,2,2,4.0,2,-7749,13516,21265,60,True,0,3,Joe Willock,14,SOU,1140,1090,NEW,1050,1040,1,2021
0,0,9,0,1.1,19,38,3,0,5.0,29.4,2021-09-11 14:00:00+00:00,85,13,0,0,0,0,4,0,92909,1,4,19.0,2,-28767,5933,34700,60,False,0,3,Joe Willock,14,MUN,1170,1190,NEW,1030,1070,1,2021
0,0,4,0,11.4,19,46,1,0,2.7,11.0,2021-09-17 19:00:00+00:00,90,10,0,0,0,0,5,0,89846,1,1,5.0,2,-5991,11651,17642,60,True,0,3,Joe Willock,14,LEE,1070,1100,NEW,1050,1040,1,2021
0,0,7,0,12.5,19,60,1,0,5.7,14.0,2021-09-25 14:00:00+00:00,82,18,0,0,0,0,6,0,69954,1,1,30.0,2,-20148,3143,23291,59,False,0,3,Joe Willock,14,WAT,1090,1120,NEW,1030,1070,1,2021
0,0,3,0,1.6,19,70,1,0,0.2,0.6,2021-10-02 14:00:00+00:00,35,20,0,0,0,0,7,0,65044,1,2,0.0,1,-5994,1919,7913,59,False,0,3,Joe Willock,14,WOL,1150,1080,NEW,1030,1070,1,2021
0,0,8,0,2.6,19,77,3,0,1.0,7.8,2021-10-17 15:30:00+00:00,76,17,0,0,0,0,8,0,56822,3,2,0.0,2,-8388,980,9368,59,True,0,3,Joe Willock,14,TOT,1200,1210,NEW,1050,1040,1,2021
0,0,2,0,0.3,19,85,0,0,0.1,0.4,2021-10-23 14:00:00+00:00,24,7,0,0,0,0,9,0,56579,1,1,0.0,1,-917,3151,4068,59,False,0,3,Joe Willock,14,CRY,1110,1080,NEW,1030,1070,1,2021
0,0,0,0,0.0,19,96,2,0,0.0,0.0,2021-10-30 14:00:00+00:00,24,6,0,0,0,0,10,0,50976,3,0,0.0,1,-5765,689,6454,58,True,0,3,Joe Willock,14,CHE,1300,1290,NEW,1050,1040,1,2021
0,0,0,0,0.0,19,103,0,0,0.0,0.0,2021-11-06 17:30:00+00:00,0,4,0,0,0,0,11,0,48482,1,1,0.0,0,-2889,461,3350,58,False,0,3,Joe Willock,14,BHA,1160,1100,NEW,1030,1070,1,2021
