assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,95,1,0,0,0.0,0.0,2021-08-13 19:00:00+00:00,0,1,0,0,0,0,1,0,2850,0,2,0.0,0,0,0,0,50,True,0,3,Mathias Jensen,4,ARS,1210,1220,BRE,1120,1080,1,2021
0,0,0,0,0.0,95,13,0,0,0.0,0.0,2021-08-21 14:00:00+00:00,0,7,0,0,0,0,2,0,1973,0,0,0.0,0,-902,53,955,50,False,0,3,Mathias Jensen,4,CRY,1110,1080,BRE,1150,1120,1,2021
0,0,5,0,24.3,95,21,0,0,2.9,4.2,2021-08-28 14:00:00+00:00,10,2,0,0,0,0,3,0,1643,1,1,0.0,1,-373,82,455,49,False,0,3,Mathias Jensen,4,AVL,1140,1090,BRE,1150,1120,1,2021
0,0,4,0,1.3,95,32,1,0,0.8,6.8,2021-09-11 14:00:00+00:00,22,5,0,0,0,0,4,0,2281,1,0,0.0,1,315,784,469,49,True,0,3,Mathias Jensen,4,BHA,1160,1120,BRE,1120,1080,1,2021
0,0,0,0,0.0,95,50,0,0,0.0,0.0,2021-09-18 11:30:00+00:00,0,20,0,0,0,0,5,0,2439,2,0,0.0,0,25,364,339,49,False,0,3,Mathias Jensen,4,WOL,1150,1080,BRE,1150,1120,1,2021
0,0,0,0,0.0,95,52,0,0,0.0,0.0,2021-09-25 16:30:00+00:00,0,12,0,0,0,0,6,0,2410,3,3,0.0,0,-116,165,281,49,True,0,3,Mathias Jensen,4,LIV,1350,1350,BRE,1120,1080,1,2021
0,0,14,0,18.4,95,69,1,0,4.9,12.2,2021-10-03 13:00:00+00:00,61,19,0,0,0,0,7,0,2495,2,1,18.0,2,-8,260,268,49,False,0,3,Mathias Jensen,4,WHU,1110,1160,BRE,1150,1120,1,2021
0,0,10,0,17.2,95,73,1,0,3.4,10.8,2021-10-16 16:30:00+00:00,90,6,0,0,0,0,8,0,2727,1,0,6.0,2,126,348,222,49,True,0,3,Mathias Jensen,4,CHE,1300,1290,BRE,1120,1080,1,2021
1,2,24,0,53.2,95,82,2,0,8.3,30.2,2021-10-24 13:00:00+00:00,90,11,0,0,0,0,9,0,2954,2,1,0.0,7,143,350,207,49,True,0,3,Mathias Jensen,4,LEI,1080,1160,BRE,1120,1080,1,2021
0,0,15,0,25.7,95,92,3,0,3.7,9.0,2021-10-30 14:00:00+00:00,67,21,0,0,0,0,10,0,8176,1,3,2.0,2,4448,5235,787,49,False,0,3,Mathias Jensen,4,BUR,1080,1060,BRE,1150,1120,1,2021
0,0,23,0,104.0,95,102,2,0,14.1,25.0,2021-11-06 15:00:00+00:00,90,25,0,0,0,0,11,0,9604,2,1,12.0,2,1472,2832,1360,49,True,0,3,Mathias Jensen,4,NOR,1040,1030,BRE,1120,1080,1,2021
0,0,0,0,0.0,95,116,0,0,0.0,0.0,2021-11-20 15:00:00+00:00,0,15,0,0,0,0,12,0,7607,3,3,0.0,0,-1874,476,2350,49,False,0,3,Mathias Jensen,4,NEW,1050,1040,BRE,1150,1120,1,2021
0,0,0,0,0.0,95,122,0,0,0.0,0.0,2021-11-28 14:00:00+00:00,0,8,0,0,0,0,13,0,6663,0,1,0.0,0,-992,128,1120,49,True,0,3,Mathias Jensen,4,EVE,1090,1110,BRE,1120,1080,1,2021
0,0,3,0,1.2,95,140,0,0,0.3,1.8,2021-12-02 19:30:00+00:00,20,18,0,0,0,0,14,0,6328,0,2,0.0,1,-384,162,546,49,False,0,3,Mathias Jensen,4,TOT,1190,1210,BRE,1150,1120,1,2021
0,0,3,0,0.3,95,143,1,0,0.1,0.2,2021-12-05 14:00:00+00:00,1,24,0,0,0,0,15,0,5919,2,2,0.0,1,-455,153,608,49,False,0,3,Mathias Jensen,4,LEE,1080,1100,BRE,1150,1120,1,2021
0,0,11,0,2.4,95,152,1,0,0.8,5.4,2021-12-10 20:00:00+00:00,68,26,0,0,0,0,16,0,5600,1,2,0.0,2,-351,177,528,49,True,0,3,Mathias Jensen,4,WAT,1040,1070,BRE,1120,1080,1,2021
0,0,4,0,10.4,95,182,2,0,1.4,3.8,2021-12-26 20:00:00+00:00,45,5,0,0,0,0,19,0,4938,0,2,0.0,1,-115,148,263,49,False,0,3,Mathias Jensen,4,BHA,1160,1100,BRE,1150,1120,1,2021
0,0,4,0,4.5,95,192,1,0,1.3,6.2,2021-12-29 20:15:00+00:00,90,13,0,0,0,0,20,0,4807,1,0,2.0,2,-69,96,165,49,True,0,3,Mathias Jensen,4,MCI,1360,1360,BRE,1120,1080,1,2021
0,0,8,0,29.3,95,202,1,0,3.9,5.4,2022-01-02 14:00:00+00:00,60,2,0,0,0,0,21,0,5334,1,2,4.0,2,166,481,315,49,True,0,3,Mathias Jensen,4,AVL,1110,1090,BRE,1120,1080,1,2021
0,0,8,0,14.4,95,176,1,0,2.0,5.8,2022-01-11 19:45:00+00:00,22,17,0,0,0,0,21,0,5334,1,4,0.0,1,166,481,315,49,False,0,3,Mathias Jensen,4,SOU,1090,1120,BRE,1150,1120,1,2021
0,0,4,0,10.2,95,214,1,0,1.2,2.2,2022-01-16 14:00:00+00:00,15,12,0,0,0,0,22,0,5037,0,3,0.0,1,-263,248,511,49,False,0,3,Mathias Jensen,4,LIV,1300,1340,BRE,1150,1120,1,2021
0,0,8,0,38.9,95,162,2,0,10.8,21.2,2022-01-19 20:00:00+00:00,66,14,0,0,0,0,22,0,5037,3,1,48.0,2,-263,248,511,49,True,0,3,Mathias Jensen,4,MUN,1190,1200,BRE,1120,1080,1,2021
0,0,6,0,14.9,95,222,0,0,2.3,6.0,2022-01-22 15:00:00+00:00,26,20,0,0,0,0,23,0,4608,2,1,2.0,1,-149,144,293,49,True,0,3,Mathias Jensen,4,WOL,1160,1100,BRE,1120,1080,1,2021
0,0,4,0,6.8,95,238,2,0,2.3,8.6,2022-02-09 19:45:00+00:00,90,13,0,0,0,0,24,0,4493,0,2,8.0,2,-142,90,232,49,False,0,3,Mathias Jensen,4,MCI,1340,1340,BRE,1150,1120,1,2021
0,0,14,1,30.1,95,241,0,0,5.7,25.2,2022-02-12 15:00:00+00:00,90,7,0,0,0,0,25,0,4426,0,0,2.0,3,-90,110,200,49,True,0,3,Mathias Jensen,4,CRY,1160,1160,BRE,1120,1080,1,2021
0,0,5,0,4.0,95,251,0,0,0.7,3.0,2022-02-19 15:00:00+00:00,43,1,0,0,0,0,26,0,4421,1,2,0.0,1,5,195,190,49,False,0,3,Mathias Jensen,4,ARS,1150,1190,BRE,1150,1120,1,2021
