assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,12,0,13.8,308,9,4,0,4.2,10.0,2021-08-15 13:00:00+00:00,90,19,0,0,0,0,1,0,34866,4,2,18.0,2,0,0,0,55,True,0,3,Miguel Almirón Rejala,14,1,WHU,1150,1180,NEW,1050,1040,1,2021
0,0,7,0,15.8,308,11,2,0,2.9,11.2,2021-08-21 14:00:00+00:00,90,2,0,0,0,0,2,0,35663,0,2,2.0,2,-2538,3164,5702,55,False,0,3,Miguel Almirón Rejala,14,2,AVL,1140,1090,NEW,1030,1070,1,2021
0,0,4,0,5.1,308,25,2,0,2.0,15.0,2021-08-28 14:00:00+00:00,90,16,0,0,0,0,3,0,34218,2,2,0.0,2,-2899,4111,7010,55,True,0,3,Miguel Almirón Rejala,14,3,SOU,1140,1090,NEW,1050,1040,1,2021
0,0,12,0,12.4,308,38,4,0,3.6,13.6,2021-09-11 14:00:00+00:00,90,13,0,0,0,0,4,0,27908,1,4,10.0,2,-6879,2155,9034,54,False,0,3,Miguel Almirón Rejala,14,4,MUN,1170,1190,NEW,1030,1070,1,2021
0,0,9,0,41.3,308,46,1,0,5.8,5.0,2021-09-17 19:00:00+00:00,61,10,0,0,0,0,5,0,35500,1,1,12.0,1,5473,11023,5550,54,True,1,3,Miguel Almirón Rejala,14,5,LEE,1070,1100,NEW,1050,1040,1,2021
0,0,15,0,13.4,308,60,1,0,3.7,11.6,2021-09-25 14:00:00+00:00,78,18,0,0,0,0,6,0,32889,1,1,12.0,2,-2786,3965,6751,54,False,0,3,Miguel Almirón Rejala,14,6,WAT,1090,1120,NEW,1030,1070,1,2021
0,0,8,0,2.4,308,70,2,0,0.6,3.2,2021-10-02 14:00:00+00:00,76,20,0,0,0,0,7,0,30546,1,2,0.0,2,-2688,1599,4287,54,False,0,3,Miguel Almirón Rejala,14,7,WOL,1150,1080,NEW,1030,1070,1,2021
0,0,0,0,0.0,308,77,0,0,0.0,0.0,2021-10-17 15:30:00+00:00,0,17,0,0,0,0,8,0,26385,3,2,0.0,0,-4272,687,4959,54,True,0,3,Miguel Almirón Rejala,14,8,TOT,1200,1210,NEW,1050,1040,1,2021
0,0,8,0,14.6,308,85,0,0,3.0,11.4,2021-10-23 14:00:00+00:00,24,7,0,0,0,0,9,0,25625,1,1,4.0,1,-1037,1415,2452,53,False,0,3,Miguel Almirón Rejala,14,9,CRY,1110,1080,NEW,1030,1070,1,2021
0,0,3,0,0.5,308,96,2,0,0.9,0.4,2021-10-30 14:00:00+00:00,23,6,0,0,0,0,10,0,23509,3,0,8.0,1,-2239,736,2975,53,True,0,3,Miguel Almirón Rejala,14,10,CHE,1300,1290,NEW,1050,1040,1,2021
0,0,3,0,11.6,308,103,1,0,1.5,3.8,2021-11-06 17:30:00+00:00,73,4,0,0,0,0,11,0,22587,1,1,0.0,2,-1109,465,1574,53,False,0,3,Miguel Almirón Rejala,14,11,BHA,1160,1100,NEW,1030,1070,1,2021
0,0,0,0,0.0,308,116,0,0,0.0,0.0,2021-11-20 15:00:00+00:00,0,3,0,0,0,0,12,0,23861,3,3,0.0,0,1024,2493,1469,52,True,0,3,Miguel Almirón Rejala,14,12,BRE,1150,1120,NEW,1050,1040,1,2021
0,0,3,0,12.0,308,121,0,0,1.5,3.0,2021-11-27 12:30:00+00:00,23,1,0,0,0,0,13,0,22484,0,2,0.0,1,-1363,596,1959,52,False,0,3,Miguel Almirón Rejala,14,13,ARS,1150,1190,NEW,1030,1070,1,2021
0,0,4,0,0.1,308,138,1,0,0.2,2.2,2021-11-30 19:30:00+00:00,13,15,0,0,0,0,14,0,22697,1,1,0.0,1,115,1126,1011,52,True,0,3,Miguel Almirón Rejala,14,14,NOR,1040,1030,NEW,1050,1040,1,2021
0,0,8,1,2.9,308,145,0,0,9.0,4.6,2021-12-04 15:00:00+00:00,84,5,0,0,0,0,15,0,21636,0,1,82.0,3,-1100,382,1482,52,True,0,3,Miguel Almirón Rejala,14,15,BUR,1130,1100,NEW,1050,1040,1,2021
0,0,8,0,2.3,308,157,2,0,2.3,10.4,2021-12-12 14:00:00+00:00,61,9,0,0,0,0,16,0,21191,0,4,10.0,2,-495,620,1115,52,False,0,3,Miguel Almirón Rejala,14,16,LEI,1100,1150,NEW,1030,1070,1,2021
0,0,0,0,0.0,308,169,0,0,0.0,0.0,2021-12-16 20:00:00+00:00,0,11,0,0,0,0,17,0,20446,1,3,0.0,0,-759,184,943,51,False,0,3,Miguel Almirón Rejala,14,17,LIV,1300,1340,NEW,1030,1070,1,2021
0,0,5,0,0.9,308,175,3,0,1.6,10.8,2021-12-19 14:00:00+00:00,79,12,0,0,0,0,18,0,20374,4,0,4.0,2,-252,306,558,51,True,0,3,Miguel Almirón Rejala,14,18,MCI,1360,1360,NEW,1050,1040,1,2021
0,0,4,0,0.3,308,186,0,0,1.3,3.4,2021-12-27 20:00:00+00:00,15,13,0,0,0,0,19,0,20187,1,1,9.0,1,-218,455,673,51,True,0,3,Miguel Almirón Rejala,14,19,MUN,1190,1200,NEW,1050,1040,1,2021
0,0,3,0,0.0,308,216,1,0,0.0,0.2,2022-01-15 15:00:00+00:00,4,18,0,0,0,0,22,0,19992,1,1,0.0,1,-219,848,1067,51,True,0,3,Miguel Almirón Rejala,14,22,WAT,1040,1070,NEW,1050,1040,1,2021
0,0,0,0,0.0,308,226,0,0,0.0,0.0,2022-01-22 15:00:00+00:00,0,10,0,0,0,0,23,0,19606,1,0,0.0,0,-482,162,644,51,False,0,3,Miguel Almirón Rejala,14,23,LEE,1080,1100,NEW,1030,1070,1,2021
0,0,0,0,0.0,308,239,0,0,0.0,0.0,2022-02-08 19:45:00+00:00,0,8,0,0,0,0,24,0,19222,1,3,0.0,0,-460,185,645,51,True,0,3,Miguel Almirón Rejala,14,24,EVE,1090,1110,NEW,1050,1040,1,2021
0,0,0,0,0.0,308,247,0,0,0.0,0.0,2022-02-13 14:00:00+00:00,0,2,0,0,0,0,25,0,18918,0,1,0.0,0,-312,112,424,51,True,0,3,Miguel Almirón Rejala,14,25,AVL,1110,1090,NEW,1050,1040,1,2021
0,0,3,0,0.3,308,259,0,0,0.4,3.2,2022-02-19 12:30:00+00:00,11,19,0,0,0,0,26,0,18661,1,1,0.0,1,-270,143,413,51,False,0,3,Miguel Almirón Rejala,14,26,WHU,1110,1160,NEW,1030,1070,1,2021
0,0,3,0,0.0,308,262,0,0,1.0,3.0,2022-02-26 15:00:00+00:00,1,3,0,0,0,0,27,0,18711,2,0,7.0,1,-79,216,295,51,False,0,3,Miguel Almirón Rejala,14,27,BRE,1120,1080,NEW,1030,1070,1,2021
0,0,0,0,0.0,308,276,0,0,0.0,0.0,2022-03-05 15:00:00+00:00,0,4,0,0,0,0,28,0,18668,1,2,0.0,0,-46,308,354,51,True,0,3,Miguel Almirón Rejala,14,28,BHA,1160,1120,NEW,1050,1040,1,2021
0,0,2,0,0.8,308,209,0,0,0.1,0.0,2022-03-10 19:30:00+00:00,5,16,0,0,0,0,28,0,18668,2,1,0.0,1,-46,308,354,51,False,0,3,Miguel Almirón Rejala,14,28,SOU,1090,1120,NEW,1030,1070,1,2021
0,0,8,1,16.8,308,284,0,0,3.3,8.8,2022-03-13 14:00:00+00:00,68,6,0,0,0,0,29,0,18596,0,1,7.0,3,-119,289,408,51,False,0,3,Miguel Almirón Rejala,14,29,CHE,1300,1250,NEW,1030,1070,1,2021
0,0,14,1,12.6,308,195,0,0,3.1,8.8,2022-03-17 19:45:00+00:00,70,8,0,0,0,0,29,0,18596,0,1,10.0,3,-119,289,408,51,False,0,3,Miguel Almirón Rejala,14,29,EVE,1130,1110,NEW,1030,1070,1,2021
0,0,0,0,0.0,308,308,0,0,0.0,0.0,2022-04-03 15:30:00+00:00,0,17,0,0,0,0,31,0,18431,1,5,0.0,0,-61,151,212,50,False,0,3,Miguel Almirón Rejala,14,31,TOT,1190,1210,NEW,1030,1070,1,2021
0,0,4,1,11.8,308,317,0,0,4.3,1.0,2022-04-08 19:00:00+00:00,77,20,0,0,0,0,32,0,18485,0,1,30.0,3,4,173,169,50,True,0,3,Miguel Almirón Rejala,14,32,WOL,1160,1100,NEW,1050,1040,1,2021
0,0,14,0,11.9,308,325,1,0,2.5,8.6,2022-04-17 13:15:00+00:00,69,9,0,0,0,0,33,0,21339,1,2,4.0,2,2314,2601,287,50,True,0,3,Miguel Almirón Rejala,14,33,LEI,1080,1160,NEW,1050,1040,1,2021
0,0,24,1,1.8,308,296,0,1,13.5,40.8,2022-04-20 18:45:00+00:00,76,7,0,0,0,0,33,0,21339,0,1,92.0,7,2314,2601,287,50,True,1,3,Miguel Almirón Rejala,14,33,CRY,1160,1160,NEW,1050,1040,1,2021
0,0,3,0,11.3,308,340,0,0,1.7,2.0,2022-04-23 14:00:00+00:00,23,15,0,0,0,0,34,0,23291,3,0,4.0,1,2115,2819,704,50,False,0,3,Miguel Almirón Rejala,14,34,NOR,1040,1040,NEW,1030,1070,1,2021
0,0,5,0,0.9,308,345,1,0,0.9,6.2,2022-04-30 11:30:00+00:00,90,11,0,0,0,0,35,0,21891,1,0,2.0,2,-1199,572,1771,50,True,0,3,Miguel Almirón Rejala,14,35,LIV,1350,1350,NEW,1050,1040,1,2021
0,0,6,0,1.7,308,359,3,0,1.4,10.2,2022-05-08 15:30:00+00:00,79,12,0,0,0,0,36,0,20822,0,5,2.0,2,-1005,353,1358,50,False,0,3,Miguel Almirón Rejala,14,36,MCI,1340,1340,NEW,1030,1070,1,2021
0,0,20,1,15.4,308,365,0,0,4.2,12.2,2022-05-16 19:00:00+00:00,75,1,0,0,0,0,37,0,20859,0,2,14.0,3,-121,429,550,50,True,0,3,Miguel Almirón Rejala,14,37,ARS,1210,1220,NEW,1050,1040,1,2021
0,0,6,0,0.0,308,374,1,0,0.0,0.0,2022-05-22 15:00:00+00:00,88,5,0,0,0,0,38,0,21725,2,1,0.0,2,696,1237,541,50,False,0,3,Miguel Almirón Rejala,14,38,BUR,1080,1060,NEW,1030,1070,1,2021
