assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,662,182,0,0,0.0,0.0,2021-12-26 20:00:00+00:00,0,4,0,0,0,0,19,0,0,0,2,0.0,0,0,0,0,45,False,0,3,Myles Peart-Harris,3,19,BHA,1160,1100,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,192,0,0,0.0,0.0,2021-12-29 20:15:00+00:00,0,12,0,0,0,0,20,0,36,1,0,0.0,0,13,18,5,45,True,0,3,Myles Peart-Harris,3,20,MCI,1360,1360,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,202,0,0,0.0,0.0,2022-01-02 14:00:00+00:00,0,2,0,0,0,0,21,0,58,1,2,0.0,0,22,35,13,45,True,0,3,Myles Peart-Harris,3,21,AVL,1110,1090,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,176,0,0,0.0,0.0,2022-01-11 19:45:00+00:00,0,16,0,0,0,0,21,0,58,1,4,0.0,0,22,35,13,45,False,0,3,Myles Peart-Harris,3,21,SOU,1090,1120,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,214,0,0,0.0,0.0,2022-01-16 14:00:00+00:00,0,11,0,0,0,0,22,0,110,0,3,0.0,0,1,33,32,45,False,0,3,Myles Peart-Harris,3,22,LIV,1300,1340,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,162,0,0,0.0,0.0,2022-01-19 20:00:00+00:00,0,13,0,0,0,0,22,0,110,3,1,0.0,0,1,33,32,45,True,0,3,Myles Peart-Harris,3,22,MUN,1190,1200,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,222,0,0,0.0,0.0,2022-01-22 15:00:00+00:00,0,20,0,0,0,0,23,0,102,2,1,0.0,0,16,29,13,45,True,0,3,Myles Peart-Harris,3,23,WOL,1160,1100,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,238,0,0,0.0,0.0,2022-02-09 19:45:00+00:00,0,12,0,0,0,0,24,0,230,0,2,0.0,0,97,122,25,45,False,0,3,Myles Peart-Harris,3,24,MCI,1340,1340,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,241,0,0,0.0,0.0,2022-02-12 15:00:00+00:00,0,7,0,0,0,0,25,0,210,0,0,0.0,0,-29,51,80,45,True,0,3,Myles Peart-Harris,3,25,CRY,1160,1160,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,251,0,0,0.0,0.0,2022-02-19 15:00:00+00:00,0,1,0,0,0,0,26,0,290,1,2,0.0,0,61,127,66,45,False,0,3,Myles Peart-Harris,3,26,ARS,1150,1190,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,262,0,0,0.0,0.0,2022-02-26 15:00:00+00:00,0,14,0,0,0,0,27,0,296,2,0,0.0,0,-30,52,82,45,True,0,3,Myles Peart-Harris,3,27,NEW,1030,1070,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,277,0,0,0.0,0.0,2022-03-05 15:00:00+00:00,0,15,0,0,0,0,28,0,257,3,1,0.0,0,-33,32,65,45,False,0,3,Myles Peart-Harris,3,28,NOR,1040,1040,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,282,0,0,0.0,0.0,2022-03-12 15:00:00+00:00,0,5,0,0,0,0,29,0,446,0,2,0.0,0,176,244,68,45,True,0,3,Myles Peart-Harris,3,29,BUR,1130,1100,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,293,0,0,0.0,0.0,2022-03-20 14:00:00+00:00,0,9,0,0,0,0,30,0,413,1,2,0.0,0,-92,64,156,45,False,0,3,Myles Peart-Harris,3,30,LEI,1100,1150,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,303,0,0,0.0,0.0,2022-04-02 14:00:00+00:00,0,6,0,0,0,0,31,0,491,4,1,0.0,0,121,203,82,45,False,0,3,Myles Peart-Harris,3,31,CHE,1300,1250,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,313,0,0,0.0,0.0,2022-04-10 13:00:00+00:00,0,19,0,0,0,0,32,0,380,0,2,0.0,0,-111,16,127,45,True,0,3,Myles Peart-Harris,3,32,WHU,1150,1180,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,328,0,0,0.0,0.0,2022-04-16 14:00:00+00:00,0,18,0,0,0,0,33,0,405,2,1,0.0,0,-2,57,59,45,False,0,3,Myles Peart-Harris,3,33,WAT,1090,1120,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,332,0,0,0.0,0.0,2022-04-23 16:30:00+00:00,0,17,0,0,0,0,34,0,367,0,0,0.0,0,-44,18,62,45,True,0,3,Myles Peart-Harris,3,34,TOT,1200,1210,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,344,0,0,0.0,0.0,2022-05-02 19:00:00+00:00,0,13,0,0,0,0,35,0,367,0,3,0.0,0,-6,23,29,45,False,0,3,Myles Peart-Harris,3,35,MUN,1170,1190,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,352,0,0,0.0,0.0,2022-05-07 14:00:00+00:00,0,16,0,0,0,0,36,0,388,0,3,0.0,0,12,47,35,45,True,0,3,Myles Peart-Harris,3,36,SOU,1140,1090,BRE,1120,1080,1,2021
0,0,0,0,0.0,662,362,0,0,0.0,0.0,2022-05-15 15:30:00+00:00,0,8,0,0,0,0,37,0,382,3,2,0.0,0,-17,22,39,45,False,0,3,Myles Peart-Harris,3,37,EVE,1130,1110,BRE,1150,1120,1,2021
0,0,0,0,0.0,662,372,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,0,10,0,0,0,0,38,0,397,2,1,0.0,0,9,33,24,45,True,0,3,Myles Peart-Harris,3,38,LEE,1070,1100,BRE,1120,1080,1,2021
