assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,14,0,12.4,285,6,1,0,4.8,15.6,2021-08-14 11:30:00+00:00,68,10,0,0,0,0,1,0,36489,1,5,20.0,2,0,0,0,55,True,0,3,Scott McTominay,13,1,LEE,1070,1100,MUN,1170,1190,1,2021
0,0,2,0,0.3,285,19,0,0,1.0,1.4,2021-08-22 13:00:00+00:00,14,16,0,0,0,0,2,0,42982,1,1,8.0,1,-2027,5027,7054,55,False,0,3,Scott McTominay,13,2,SOU,1090,1120,MUN,1190,1200,1,2021
0,0,0,0,0.0,285,30,0,0,0.0,0.0,2021-08-29 15:30:00+00:00,0,20,0,0,0,0,3,0,33341,1,0,0.0,0,-10684,2215,12899,55,False,0,3,Scott McTominay,13,3,WOL,1150,1080,MUN,1190,1200,1,2021
0,0,0,0,0.0,285,38,0,0,0.0,0.0,2021-09-11 14:00:00+00:00,0,14,0,0,0,0,4,0,21860,1,4,0.0,0,-11730,190,11920,54,True,0,3,Scott McTominay,13,4,NEW,1030,1070,MUN,1170,1190,1,2021
0,0,15,0,27.4,285,49,1,0,5.4,18.2,2021-09-19 13:00:00+00:00,90,19,0,0,0,0,5,0,19309,2,1,8.0,2,-3124,101,3225,54,False,0,3,Scott McTominay,13,5,WHU,1110,1160,MUN,1190,1200,1,2021
0,0,9,1,11.9,285,58,0,0,1.9,4.8,2021-09-25 11:30:00+00:00,81,2,0,0,0,0,6,0,19893,1,0,2.0,3,-60,1433,1493,54,True,0,3,Scott McTominay,13,6,AVL,1110,1090,MUN,1170,1190,1,2021
0,0,16,0,20.1,285,67,1,0,6.3,20.6,2021-10-02 11:30:00+00:00,90,8,0,0,0,0,7,0,20495,1,1,22.0,2,132,1248,1116,54,True,0,3,Scott McTominay,13,7,EVE,1090,1110,MUN,1170,1190,1,2021
0,0,3,0,0.3,285,75,2,0,1.1,4.0,2021-10-16 14:00:00+00:00,10,9,0,0,0,0,8,0,21661,2,4,7.0,1,580,2169,1589,54,False,0,3,Scott McTominay,13,8,LEI,1100,1150,MUN,1190,1200,1,2021
0,0,18,0,34.2,285,88,5,0,6.0,22.0,2021-10-24 15:30:00+00:00,90,11,0,0,0,0,9,0,21149,5,0,4.0,2,-736,836,1572,54,True,0,3,Scott McTominay,13,9,LIV,1350,1350,MUN,1170,1190,1,2021
0,0,14,1,2.5,285,98,0,0,2.7,16.0,2021-10-30 16:30:00+00:00,90,17,0,0,0,0,10,0,21444,3,0,8.0,3,-240,1369,1609,54,False,0,3,Scott McTominay,13,10,TOT,1190,1210,MUN,1190,1200,1,2021
