assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,362,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2022-08-07,0,19,0,0,0,0,1,0,238382,0,2,0,0.0,0,0,0,0,55,False,0,0,0,0,0.0,2,John Stones,13,WHU,1145,1060,MCI,1340,1380,2022,0.0,,2.58739,11.0,1.82623,0.246188,2.0,0.246188
0,0,3,0,0.3,362,0.0,0.0,0.0,0.04,17,0,0,0.3,2.8,2022-08-13,26,3,0,0,0,0,2,0,226853,0,0,4,0.0,1,-35318,5273,40591,55,True,0,0,0,0,0.0,2,John Stones,13,BOU,1110,1080,MCI,1340,1360,2022,0.0,,1.69064,11.0,1.69064,0.123946,0.0,0.123946
0,0,10,0,1.9,362,0.0,0.0,0.0,1.81,28,3,0,0.8,5.6,2022-08-21,90,15,0,0,0,0,3,0,203136,1,3,3,0.0,0,-31282,3385,34667,54,False,1,0,0,0,0.0,2,John Stones,13,NEW,1250,1165,MCI,1340,1380,2022,0.0,,3.67382,9.0,3.67382,2.2127,9.0,2.2127
1,1,26,0,16.1,362,0.5720340013504028,0.27,0.082406997680664,0.12,37,2,0,5.0,29.8,2022-08-27,90,7,1,0,0,0,4,0,197402,1,2,4,4.0,3,-14029,8197,22226,54,True,0,1,1,0,0.082406997680664,2,John Stones,13,CRY,1110,1090,MCI,1340,1360,2022,0.082406997680664,,2.3853,18.0,2.3853,0.091976,1.0,0.091976
1,1,40,1,12.2,362,0.6953009963035583,0.51,0.0,0.39,49,0,0,4.6,32.2,2022-08-31,74,16,0,0,0,0,5,0,201838,1,0,6,2.0,10,-1670,12532,14202,54,True,0,0,1,0,0.0,2,John Stones,13,NFO,1100,1105,MCI,1340,1360,2022,0.0,,3.83759,13.0,3.83759,0.729752,1.0,0.729752
0,0,16,0,1.1,362,0.0,0.0,0.0,0.34,51,1,0,2.1,18.2,2022-09-03,90,2,0,0,0,0,6,0,221998,1,1,1,2.0,2,11522,25293,13771,54,False,0,0,0,0,0.0,2,John Stones,13,AVL,1070,1070,MCI,1340,1380,2022,0.0,,1.92143,12.0,1.92143,0.279392,2.0,0.279392
0,0,22,1,2.8,362,0.0,0.02,0.0139338998124003,0.41,80,0,0,3.6,16.2,2022-09-17,90,20,0,0,0,0,8,0,229753,1,3,0,17.0,6,12440,21932,9492,54,False,0,1,0,0,0.0139338998124003,2,John Stones,13,WOL,1100,1060,MCI,1340,1380,2022,0.0139338998124003,,1.4242,8.0,1.4242,0.310995,4.0,0.310995
0,0,0,0,0.0,362,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2022-10-02,0,14,0,0,0,0,9,0,204722,0,3,6,0.0,0,-21965,9787,31752,54,True,0,0,0,0,0.0,2,John Stones,13,MUN,1220,1220,MCI,1340,1360,2022,0.0,,3.01103,17.0,3.01103,1.71335,5.0,0.952176
0,0,0,0,0.0,362,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08,0,17,0,0,0,0,10,0,168993,0,0,4,0.0,0,-35804,227,36031,54,True,0,0,0,0,0.0,2,John Stones,13,SOU,1070,1080,MCI,1340,1360,2022,0.0,,2.73536,12.0,2.73536,0.101148,0.0,0.101148
0,0,0,0,0.0,362,0.0,0.0,0.0,0.0,106,0,0,0.0,0.0,2022-10-16,0,12,0,0,0,0,11,0,156434,0,0,1,0.0,0,-13390,167,13557,54,False,0,0,0,0,0.0,2,John Stones,13,LIV,1180,1260,MCI,1340,1380,2022,0.0,,0.911493,17.0,0.911493,1.9992,6.0,1.9992
