assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2022-08-06 14:00:00+00:00,0,3,0,0,0,0,1,0,8744,0,0,2,0.0,0,0,0,0,40,False,0,2,Kaine Kesler-Hayden,2,1,BOU,1020,1050,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,2022-08-13 11:30:00+00:00,0,8,0,0,0,0,2,0,13638,0,1,2,0.0,0,-225,1637,1862,40,True,0,2,Kaine Kesler-Hayden,2,2,EVE,1100,1090,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,22,0,0,0.0,0.0,2022-08-20 14:00:00+00:00,0,7,0,0,0,0,3,0,9711,0,1,3,0.0,0,-3712,0,3712,40,False,0,2,Kaine Kesler-Hayden,2,3,CRY,1110,1060,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2022-08-28 13:00:00+00:00,0,19,0,0,0,0,4,0,8533,0,1,0,0.0,0,-1347,0,1347,40,True,0,2,Kaine Kesler-Hayden,2,4,WHU,1150,1110,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,41,0,0,0.0,0.0,2022-08-31 18:30:00+00:00,0,1,0,0,0,0,5,0,7813,0,1,2,0.0,0,-737,0,737,40,False,0,2,Kaine Kesler-Hayden,2,5,ARS,1250,1240,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2022-09-03 16:30:00+00:00,0,13,0,0,0,0,6,0,7154,0,1,1,0.0,0,-662,0,662,40,True,0,2,Kaine Kesler-Hayden,2,6,MCI,1340,1380,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,71,0,0,0.0,0.0,2022-09-16 19:00:00+00:00,0,17,0,0,0,0,8,0,6592,0,0,1,0.0,0,-199,0,199,40,True,0,2,Kaine Kesler-Hayden,2,8,SOU,1070,1080,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2022-10-02 15:30:00+00:00,0,11,0,0,0,0,9,0,6400,0,0,0,0.0,0,-248,0,248,40,False,0,2,Kaine Kesler-Hayden,2,9,LEE,1070,1130,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10 19:00:00+00:00,0,16,0,0,0,0,10,0,6219,0,1,1,0.0,0,-185,0,185,40,False,0,2,Kaine Kesler-Hayden,2,10,NFO,1065,1030,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,101,0,0,0.0,0.0,2022-10-16 13:00:00+00:00,0,6,0,0,0,0,11,0,6075,0,2,0,0.0,0,-140,0,140,40,True,0,2,Kaine Kesler-Hayden,2,11,CHE,1220,1220,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2022-10-20 18:30:00+00:00,0,9,0,0,0,0,12,0,5891,0,0,3,0.0,0,-138,0,138,40,False,0,2,Kaine Kesler-Hayden,2,12,FUL,1070,1120,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2022-10-23 13:00:00+00:00,0,4,0,0,0,0,13,0,5859,0,0,4,0.0,0,-93,0,93,40,True,0,2,Kaine Kesler-Hayden,2,13,BRE,1160,1200,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2022-10-29 14:00:00+00:00,0,15,0,0,0,0,14,0,5770,0,0,4,0.0,0,-91,0,91,40,False,0,2,Kaine Kesler-Hayden,2,14,NEW,1250,1165,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,141,0,0,0.0,0.0,2022-11-06 14:00:00+00:00,0,14,0,0,0,0,15,0,5672,0,1,3,0.0,0,-96,0,96,40,True,0,2,Kaine Kesler-Hayden,2,15,MUN,1220,1220,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,152,0,0,0.0,0.0,2022-11-13 14:00:00+00:00,0,5,0,0,0,0,16,0,5581,0,2,1,0.0,0,-90,0,90,40,False,0,2,Kaine Kesler-Hayden,2,16,BHA,1140,1200,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,162,0,0,0.0,0.0,2022-12-26 17:30:00+00:00,0,12,0,0,0,0,17,0,5328,0,3,1,0.0,0,-254,0,254,40,True,0,2,Kaine Kesler-Hayden,2,17,LIV,1250,1300,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-01-01 14:00:00+00:00,0,18,0,0,0,0,18,0,5290,0,2,0,0.0,0,-44,0,44,40,False,0,2,Kaine Kesler-Hayden,2,18,TOT,1140,1170,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2023-01-04 20:00:00+00:00,0,20,0,0,0,0,19,0,5252,0,1,1,0.0,0,-37,0,37,40,True,0,2,Kaine Kesler-Hayden,2,19,WOL,1100,1080,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,191,0,0,0.0,0.0,2023-01-13 20:00:00+00:00,0,11,0,0,0,0,20,0,5201,0,1,2,0.0,0,-50,0,50,40,True,0,2,Kaine Kesler-Hayden,2,20,LEE,1075,1120,AVL,1070,1070,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,209,0,0,0.0,0.0,2023-01-21 15:00:00+00:00,0,17,0,0,0,0,21,0,5165,0,1,0,0.0,0,-38,0,38,40,False,0,2,Kaine Kesler-Hayden,2,21,SOU,1070,1060,AVL,1075,1130,1,2022
0,0,0,0,0.0,537,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2023-02-04 15:00:00+00:00,0,10,0,0,0,0,22,0,5101,0,4,2,0.0,0,-61,0,61,40,True,0,2,Kaine Kesler-Hayden,2,22,LEI,1110,1120,AVL,1070,1070,1,2022
