assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,6,0,0.2,1488,0.0,0.08,0.08,0.59,191,0,0,1.2,4.8,2023-01-13 20:00:00+00:00,24,2,0,0,0,0,20,0,268,0,1,2,7.0,1,236,245,9,45,False,0,2,Maximilian Wöber,24,AVL,1070,1070,LEE,1075,1120,1,2022
0,1,24,1,1.3,1488,0.01,0.15,0.14,0.29,205,0,0,1.4,9.4,2023-01-22 14:00:00+00:00,90,4,0,0,0,0,21,0,633,1,0,0,3.0,7,278,368,90,45,True,0,2,Maximilian Wöber,24,BRE,1160,1200,LEE,1070,1130,1,2022
0,0,13,0,2.2,1488,0.02,0.02,0.0,0.27,218,1,0,2.0,16.2,2023-02-05 14:00:00+00:00,90,16,0,0,0,0,22,0,10719,1,0,1,2.0,1,9082,10041,959,45,False,1,2,Maximilian Wöber,24,NFO,1065,1030,LEE,1075,1120,1,2022
0,0,17,0,10.3,1488,0.01,0.15,0.14,2.19,76,2,0,4.9,32.2,2023-02-08 20:00:00+00:00,90,14,0,0,0,0,22,0,10719,1,2,2,6.0,1,9082,10041,959,45,False,0,2,Maximilian Wöber,24,MUN,1140,1165,LEE,1075,1120,1,2022
0,0,13,0,14.6,1488,0.06,0.25,0.19,1.12,225,2,0,3.2,8.6,2023-02-12 14:00:00+00:00,90,14,0,0,0,0,23,0,9106,1,2,0,9.0,1,-999,490,1489,45,True,0,2,Maximilian Wöber,24,MUN,1220,1220,LEE,1070,1130,1,2022
0,0,7,0,10.3,1488,0.01,0.01,0.0,1.0,235,0,0,2.5,14.6,2023-02-18 15:00:00+00:00,45,8,0,0,0,0,24,0,8862,1,0,1,0.0,1,-417,446,863,45,False,0,2,Maximilian Wöber,24,EVE,1070,1040,LEE,1075,1120,1,2022
0,1,28,1,10.7,1488,0.01,0.04,0.03,0.37,245,0,0,6.1,31.0,2023-02-25 15:00:00+00:00,90,17,0,0,0,0,25,0,5741,1,0,1,19.0,7,-2416,133,2549,45,True,0,2,Maximilian Wöber,24,SOU,1070,1080,LEE,1070,1130,1,2022
0,0,19,0,10.8,1488,0.12,0.12,0.0,1.52,255,1,0,3.2,19.2,2023-03-04 15:00:00+00:00,90,6,0,0,0,0,26,0,6205,1,0,1,2.0,2,-400,252,652,45,False,0,2,Maximilian Wöber,24,CHE,1190,1140,LEE,1075,1120,1,2022
0,0,15,0,0.3,1488,0.01,0.01,0.0,1.63,265,2,0,3.2,29.6,2023-03-11 15:00:00+00:00,90,5,0,0,0,0,27,0,6073,1,2,2,2.0,1,-196,395,591,45,True,0,2,Maximilian Wöber,24,BHA,1150,1200,LEE,1070,1130,1,2022
0,0,15,0,0.5,1488,0.0,0.0,0.0,2.86,280,2,0,2.6,25.2,2023-03-18 15:00:00+00:00,90,20,0,0,0,0,28,0,6017,1,4,2,0.0,1,-89,376,465,45,False,0,2,Maximilian Wöber,24,WOL,1100,1060,LEE,1075,1120,1,2022
0,0,0,0,0.0,1488,0.0,0.0,0.0,0.0,281,0,0,0.0,0.0,2023-04-01 14:00:00+00:00,0,1,0,0,0,0,29,0,4660,0,1,4,0.0,0,-1405,170,1575,45,False,0,2,Maximilian Wöber,24,ARS,1250,1240,LEE,1075,1120,1,2022
0,0,0,0,0.0,1488,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04 18:45:00+00:00,0,16,0,0,0,0,29,0,4660,0,1,2,0.0,0,-1405,170,1575,45,True,0,2,Maximilian Wöber,24,NFO,1100,1105,LEE,1070,1130,1,2022
0,0,0,0,0.0,1488,0.0,0.0,0.0,0.0,294,0,0,0.0,0.0,2023-04-09 13:00:00+00:00,0,7,0,0,0,0,30,0,4165,0,5,1,0.0,0,-590,19,609,44,True,0,2,Maximilian Wöber,24,CRY,1110,1090,LEE,1070,1130,1,2022
0,0,0,0,0.0,1488,0.0,0.0,0.0,0.0,304,0,0,0.0,0.0,2023-04-17 19:00:00+00:00,0,12,0,0,0,0,31,0,3774,0,6,1,0.0,0,-391,14,405,44,True,0,2,Maximilian Wöber,24,LIV,1250,1300,LEE,1070,1130,1,2022
0,0,2,0,1.9,1488,0.01,0.01,0.0,1.68,316,2,0,1.4,12.0,2023-04-22 11:30:00+00:00,90,9,0,0,0,0,32,0,3742,1,1,2,0.0,0,-57,140,197,44,False,1,2,Maximilian Wöber,24,FUL,1070,1120,LEE,1075,1120,1,2022
0,0,0,0,0.0,1488,0.0,0.0,0.0,0.0,323,0,0,0.0,0.0,2023-04-25 19:00:00+00:00,0,11,0,0,0,0,33,0,3775,0,1,1,0.0,0,12,225,213,44,True,0,2,Maximilian Wöber,24,LEI,1110,1120,LEE,1070,1130,1,2022
0,0,5,0,2.2,1488,0.07,0.07,0.0,1.36,332,2,0,1.9,12.8,2023-04-30 13:00:00+00:00,56,3,0,0,0,0,34,0,3198,0,1,4,4.0,0,-551,23,574,44,False,0,2,Maximilian Wöber,24,BOU,1020,1050,LEE,1075,1120,1,2022
0,0,12,0,0.1,1488,0.0,0.0,0.0,2.47,345,2,0,2.2,22.0,2023-05-06 14:00:00+00:00,90,13,0,0,0,0,35,0,3186,1,1,2,0.0,1,-66,133,199,44,False,0,2,Maximilian Wöber,24,MCI,1340,1360,LEE,1075,1120,1,2022
0,0,4,0,0.1,1488,0.0,0.0,0.0,2.42,357,2,0,1.0,9.4,2023-05-13 11:30:00+00:00,90,15,0,0,0,0,36,0,3409,1,2,2,0.0,1,208,341,133,44,True,0,2,Maximilian Wöber,24,NEW,1300,1220,LEE,1070,1130,1,2022
0,0,13,0,0.3,1488,0.0,0.0,0.0,2.15,369,3,0,2.7,26.4,2023-05-21 12:30:00+00:00,90,19,0,0,0,0,37,0,3223,1,1,3,0.0,1,-200,107,307,44,False,0,2,Maximilian Wöber,24,WHU,1145,1060,LEE,1075,1120,1,2022
0,0,2,0,0.0,1488,0.04,0.23,0.19,0.81,377,2,0,0.0,0.0,2023-05-28 15:30:00+00:00,59,18,0,0,0,0,38,0,3295,1,4,1,0.0,-1,39,154,115,44,True,1,2,Maximilian Wöber,24,TOT,1210,1230,LEE,1070,1130,1,2022
