assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,season,position
0,0,13,0,15.8,244,0.0,0.02,0.0,1.84,5,1,0,3.5,15.2,2022-08-06,90,20,0,0,0,0,1,0,46085,1,1,2,4.0,2,0,0,0,50,True,0,Rasmus Kristensen,922,0,0,0,0.0,24,WOL,1100,1080,LEE,1070,1130,1.0855256,6.6,1.147807,7.0,1.0855256,6.6,1.147807,7.0,1.458014,5.8,1.1968984,5.8,1.458014,5.8,1.1968984,5.8,2022,DEF
0,0,2,0,0.8,244,0.0,0.1,0.1934850066900253,1.22,19,2,0,4.1,7.2,2022-08-13,90,17,0,0,0,0,2,0,50309,1,2,2,33.0,0,-2594,2862,5456,50,False,1,Rasmus Kristensen,922,1,0,0,0.1934850066900253,24,SOU,1070,1060,LEE,1075,1120,0.386546,7.0,1.6172,12.0,0.386546,7.0,1.6172,12.0,0.88917,5.0,1.10119,9.0,0.88917,5.0,1.10119,9.0,2022,DEF
0,0,21,1,11.9,244,0.0577105991542339,0.02,0.0,0.88,25,0,0,3.0,18.4,2022-08-21,90,6,0,0,0,0,3,0,43249,1,0,3,0.0,6,-9098,1465,10563,49,True,0,Rasmus Kristensen,922,0,1,0,0.0,24,CHE,1220,1220,LEE,1070,1130,1.8813,9.5,1.0645315,2.5,1.8813,9.5,1.0645315,2.5,1.443055,7.0,1.255125,6.5,1.443055,7.0,1.255125,6.5,2022,DEF
0,0,10,0,2.2,244,0.0,0.02,0.0,2.02,34,1,0,1.6,14.0,2022-08-27,90,5,0,0,0,0,4,0,53779,1,0,1,0.0,2,4557,9854,5297,49,False,0,Rasmus Kristensen,922,0,0,0,0.0,24,BHA,1140,1200,LEE,1075,1120,1.7212333333333334,7.333333333333333,0.7912053333333334,5.0,1.7212333333333334,7.333333333333333,0.7912053333333334,5.0,1.6986066666666666,5.0,1.0675806666666663,6.666666666666667,1.6986066666666666,5.0,1.0675806666666663,6.666666666666667,2022,DEF
0,0,9,0,17.0,244,0.0556101985275745,0.04,0.0,1.0,45,1,0,4.2,20.8,2022-08-30,90,8,0,0,0,0,5,0,56767,1,1,1,4.0,1,588,6717,6129,49,True,1,Rasmus Kristensen,922,0,1,0,0.0,24,EVE,1100,1090,LEE,1070,1130,1.25144575,5.5,1.94808375,7.5,1.25144575,5.5,1.94808375,7.5,1.56114,5.0,1.2031505,6.5,1.56114,5.0,1.2031505,6.5,2022,DEF
0,0,0,0,0.0,244,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2022-09-03,0,4,0,0,0,0,6,0,55410,0,2,5,0.0,0,-3205,4662,7867,49,False,0,Rasmus Kristensen,922,0,0,0,0.0,24,BRE,1100,1130,LEE,1075,1120,1.72084,7.0,1.55684775,6.5,1.5628854,6.2,1.3366172,6.2,1.600225,6.0,1.2208255,5.0,1.458014,5.8,1.1968984,5.8,2022,DEF
0,0,19,1,1.6,244,0.0,0.06,0.0,1.36,85,0,0,1.4,10.0,2022-10-02,67,2,0,0,0,0,9,0,38227,1,0,0,2.0,6,-2129,1118,3247,48,True,0,Rasmus Kristensen,922,0,0,0,0.0,24,AVL,1075,1130,LEE,1070,1130,0.5561912499999999,3.75,1.3185077500000002,8.75,0.8834925714285714,6.0,1.4498302857142855,7.142857142857143,1.5499899999999998,6.0,1.5556855,5.25,1.5143449999999998,6.333333333333333,1.4554986666666665,5.666666666666667,2022,DEF
0,0,6,0,0.7,244,0.0,0.0,0.0,0.85,95,2,0,2.4,23.0,2022-10-09,83,7,0,0,0,0,10,0,44939,1,1,2,0.0,0,5187,7119,1932,48,False,1,Rasmus Kristensen,922,0,0,0,0.0,24,CRY,1110,1060,LEE,1075,1120,0.624951,2.0,2.04129,12.0,1.1803177142857142,3.7142857142857135,1.8058511428571429,12.0,1.072219,7.25,1.856675,6.5,1.3406708571428572,6.285714285714286,1.5184917142857144,6.571428571428571,2022,DEF
0,0,8,0,3.7,244,0.0,0.02,0.0,0.55,104,1,0,2.1,17.0,2022-10-16,90,1,0,0,0,0,11,0,43601,1,1,0,0.0,2,-1489,1690,3179,48,True,0,Rasmus Kristensen,922,0,0,0,0.0,24,ARS,1250,1320,LEE,1070,1130,2.011575,12.75,1.2092502500000002,3.5,2.1642,13.0,0.9076177777777776,3.555555555555556,1.051444,8.5,1.867195,6.25,1.306292,6.75,1.53517275,6.375,2022,DEF
0,0,15,0,19.7,244,0.409289002418518,0.34,0.0255037993192672,0.79,117,2,0,4.8,25.6,2022-10-20,90,11,0,0,0,0,12,0,50114,1,0,2,3.0,1,2247,3736,1489,48,False,0,Rasmus Kristensen,922,1,1,0,0.0255037993192672,24,LEI,1065,1200,LEE,1075,1120,1.2497165,9.5,1.1758995,4.5,1.0029173999999998,6.9,1.5467425,5.9,1.2956465,8.25,1.77966175,6.75,1.3858506666666668,6.888888888888889,1.4559043333333337,6.222222222222222,2022,DEF
