assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,2,0,1.0,1017,0.0,0.08,0.0342945009469985,0.24,8,0,0,2.5,0.0,2022-08-06,18,18,0,0,0,0,1,0,3733,0,1,4,24.0,1,0,0,0,45,False,0,1,0,0,0.0342945009469985,2,Romain Perraud,17,TOT,1140,1170,SOU,1070,1080,2022,0.0342945009469985,,0.386546,7.0,0.386546,1.6172,12.0,1.6172
0,0,0,0,0.0,1017,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2022-08-13,0,24,0,0,0,0,2,0,4663,0,2,2,0.0,0,-176,260,436,45,True,0,0,0,0,0.0,2,Romain Perraud,17,LEE,1075,1120,SOU,1070,1060,2022,0.0,,1.40906,4.0,1.40906,1.99694,9.0,1.99694
0,0,0,0,0.0,1017,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2022-08-20,0,11,0,0,0,0,3,0,4022,0,2,1,0.0,0,-972,37,1009,45,False,0,0,0,0,0.0,2,Romain Perraud,17,LEI,1065,1200,SOU,1070,1080,2022,0.0,,1.24155,4.0,1.24155,0.242948,5.0,0.242948
0,0,3,0,0.5,1017,0.0,0.0,0.0,0.0,39,0,0,0.1,0.0,2022-08-27,1,14,0,0,0,0,4,0,3157,0,1,0,0.0,1,-900,28,928,45,True,0,0,0,0,0.0,2,Romain Perraud,17,MUN,1220,1220,SOU,1070,1060,2022,0.0,,1.35887,11.0,1.35887,1.34359,11.0,1.34359
1,2,26,0,24.7,1017,0.9063040018081664,0.32,0.0120612001046538,0.83,50,1,0,6.5,28.6,2022-08-30,72,6,0,0,0,0,5,0,3467,1,1,2,12.0,7,-134,63,197,45,True,0,1,2,0,0.0120612001046538,2,Romain Perraud,17,CHE,1220,1220,SOU,1070,1060,2022,0.0120612001046538,,1.44086,3.0,1.44086,1.5047,7.0,1.5047
0,0,13,0,5.3,1017,0.0,0.1,0.0,0.8,60,1,0,2.6,17.0,2022-09-03,72,20,0,0,0,0,6,0,7498,1,0,1,4.0,2,2427,3051,624,45,False,0,0,0,0,0.0,2,Romain Perraud,17,WOL,1100,1060,SOU,1070,1080,2022,0.0,,1.20838,12.0,1.20838,1.10039,8.0,1.10039
0,0,4,0,10.3,1017,0.0498342998325824,0.01,0.0,0.83,71,1,0,3.2,19.2,2022-09-16,45,2,0,0,0,0,8,0,9451,1,0,1,2.0,1,1273,1730,457,45,False,0,0,1,0,0.0,2,Romain Perraud,17,AVL,1070,1070,SOU,1070,1080,2022,0.0,,0.218302,2.0,0.218302,1.34365,6.0,1.34365
0,0,3,0,16.0,1017,0.0336713008582592,0.07,0.0352557003498077,0.5,89,0,0,2.9,5.4,2022-10-01,30,8,0,0,0,0,9,0,8280,0,2,1,8.0,1,-955,349,1304,45,True,0,1,1,0,0.0352557003498077,2,Romain Perraud,17,EVE,1100,1090,SOU,1070,1060,2022,0.0352557003498077,,1.95961,12.0,1.95961,1.99979,4.0,1.99979
0,0,9,0,1.4,1017,0.0,0.06,0.0639965012669563,2.47,97,4,0,2.6,7.8,2022-10-08,90,13,0,0,0,0,10,0,7837,1,0,4,17.0,0,-662,173,835,45,False,0,3,0,0,0.0639965012669563,2,Romain Perraud,17,MCI,1340,1360,SOU,1070,1080,2022,0.0639965012669563,,0.101148,0.0,0.101148,2.73536,12.0,2.73536
0,0,18,0,2.8,1017,0.0,0.04,0.0141286002472043,1.68,108,1,1,5.5,43.0,2022-10-16,90,19,0,0,0,0,11,0,7732,1,1,1,9.0,8,-321,207,528,45,True,0,1,0,1,0.0141286002472043,2,Romain Perraud,17,WHU,1150,1110,SOU,1070,1060,2022,0.0141286002472043,,0.524479,2.0,0.524479,1.70727,8.0,1.70727
