assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,2022-08-21,0,15,0,0,0,0,3,0,1658,0,3,3,0.0,0,1133,1546,413,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,NEW,1250,1165,MCI,1340,1380,2022,0.0,
0,0,1,0,0.4,925,0.0,0.1,0.0988503023982048,0.0,37,0,0,0.3,0.0,2022-08-27,6,7,0,0,0,0,4,0,3049,0,2,4,4.0,1,458,1176,718,45,True,0,1,0,0,0.0988503023982048,2,Sergio Gómez,13,CRY,1110,1090,MCI,1340,1360,2022,0.0988503023982048,
0,0,4,0,2.3,925,0.0,0.02,0.0,0.29,49,0,0,1.5,8.6,2022-08-31,22,16,0,0,0,0,5,0,4264,0,0,6,4.0,1,317,1016,699,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,NFO,1100,1105,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2022-09-03,0,2,0,0,0,0,6,0,4657,0,1,1,0.0,0,-338,673,1011,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,AVL,1070,1070,MCI,1340,1380,2022,0.0,
0,0,4,0,0.8,925,0.0,0.0,0.0,0.0,80,0,0,0.5,3.8,2022-09-17,9,20,0,0,0,0,8,0,6405,0,3,0,0.0,1,444,1196,752,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,WOL,1100,1060,MCI,1340,1380,2022,0.0,
1,0,15,0,28.5,925,0.1714150011539459,0.17,0.0,1.59,88,3,0,6.4,31.0,2022-10-02,49,14,0,0,0,0,9,0,5846,0,3,6,4.0,3,-729,249,978,45,True,0,0,2,0,0.0,2,Sergio Gómez,13,MUN,1220,1220,MCI,1340,1360,2022,0.0,
0,0,2,0,0.5,925,0.0,0.04,0.0557961985468864,0.1,97,0,0,0.7,0.6,2022-10-08,20,17,0,0,0,0,10,0,31607,0,0,4,6.0,1,24467,26373,1906,45,True,0,1,0,0,0.0557961985468864,2,Sergio Gómez,13,SOU,1070,1080,MCI,1340,1360,2022,0.0557961985468864,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,106,0,0,0.0,0.0,2022-10-16,0,12,0,0,0,0,11,0,23322,0,0,1,0.0,0,-7875,864,8739,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,LIV,1180,1260,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2022-10-22,0,5,0,0,0,0,13,0,14673,0,1,3,0.0,0,-3038,437,3475,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,BHA,1150,1200,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,137,0,0,0.0,0.0,2022-10-29,0,11,0,0,0,0,14,0,12175,0,1,0,0.0,0,-2719,217,2936,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,LEI,1065,1200,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2022-11-05,0,9,0,0,0,0,15,0,10401,0,1,2,0.0,0,-1958,167,2125,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,FUL,1065,1140,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,155,0,0,0.0,0.0,2022-11-12,0,4,0,0,0,0,16,0,10388,0,2,1,0.0,0,-256,852,1108,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,BRE,1160,1200,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,167,0,0,0.0,0.0,2022-12-28,0,24,0,0,0,0,17,0,8584,0,3,1,0.0,0,-2212,571,2783,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,LEE,1070,1130,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2022-12-31,0,8,0,0,0,0,18,0,8452,0,1,1,0.0,0,-271,109,380,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,EVE,1100,1090,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,184,0,0,0.0,0.0,2023-01-05,0,6,0,0,0,0,19,0,8365,0,1,0,0.0,0,-178,58,236,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,CHE,1190,1140,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,196,0,0,0.0,0.0,2023-01-14,0,14,0,0,0,0,20,0,8356,0,1,2,0.0,0,-194,198,392,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,MUN,1140,1165,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,2023-01-19,0,18,0,0,0,0,20,0,8356,0,2,4,0.0,0,-194,198,392,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,TOT,1210,1230,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2023-01-22,0,20,0,0,0,0,21,0,8319,0,0,3,0.0,0,-183,80,263,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,WOL,1100,1080,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,219,0,0,0.0,0.0,2023-02-05,0,18,0,0,0,0,22,0,8429,0,0,1,0.0,0,-80,239,319,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,TOT,1140,1170,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2023-02-12,0,2,0,0,0,0,23,0,8542,0,1,3,0.0,0,-28,199,227,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,AVL,1075,1130,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2023-02-15,0,1,0,0,0,0,23,0,8542,0,3,1,0.0,0,-28,199,227,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,ARS,1250,1240,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18,0,16,0,0,0,0,24,0,8523,0,1,1,0.0,0,-120,90,210,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,NFO,1065,1030,MCI,1340,1380,2022,0.0,
0,0,7,0,2.4,925,0.0,0.14,0.0757163017988205,0.81,241,1,0,1.2,6.8,2023-02-25,35,3,0,0,0,0,25,0,8585,0,4,1,3.0,1,-62,124,186,45,False,0,2,0,0,0.0757163017988205,2,Sergio Gómez,13,BOU,1020,1050,MCI,1340,1380,2022,0.0757163017988205,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,257,0,0,0.0,0.0,2023-03-04,0,15,0,0,0,0,26,0,8663,0,0,2,0.0,0,-38,91,129,45,True,0,0,0,0,0.0,2,Sergio Gómez,13,NEW,1300,1220,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,262,0,0,0.0,0.0,2023-03-11,0,7,0,0,0,0,27,0,8687,0,1,0,0.0,0,-86,91,177,45,False,0,0,0,0,0.0,2,Sergio Gómez,13,CRY,1110,1060,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,287,0,0,0.0,0.0,2023-04-01,0,12,0,0,0,0,29,0,8701,0,1,4,0.0,0,-56,67,123,44,True,0,0,0,0,0.0,2,Sergio Gómez,13,LIV,1250,1300,MCI,1340,1360,2022,0.0,
0,0,3,0,1.1,925,0.0,0.0,0.0,0.0,298,0,0,0.4,2.4,2023-04-08,9,17,0,0,0,0,30,0,8699,0,4,1,0.0,1,-39,60,99,44,False,0,0,0,0,0.0,2,Sergio Gómez,13,SOU,1070,1060,MCI,1340,1380,2022,0.0,
0,0,4,0,0.7,925,0.0,0.0,0.0,1.62,305,1,0,0.8,7.2,2023-04-15,16,11,0,0,0,0,31,0,8690,0,1,3,0.0,1,-46,62,108,44,True,0,0,0,0,0.0,2,Sergio Gómez,13,LEI,1110,1120,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,329,0,0,0.0,0.0,2023-04-26,0,1,0,0,0,0,33,0,8794,0,1,4,0.0,0,20,78,58,44,True,0,0,0,0,0.0,2,Sergio Gómez,13,ARS,1250,1320,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,336,0,0,0.0,0.0,2023-04-30,0,9,0,0,0,0,34,0,8813,0,2,1,0.0,0,-12,73,85,44,False,0,0,0,0,0.0,2,Sergio Gómez,13,FUL,1070,1120,MCI,1340,1380,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,277,0,0,0.0,0.0,2023-05-03,0,19,0,0,0,0,34,0,8813,0,0,3,0.0,0,-12,73,85,44,True,0,0,0,0,0.0,2,Sergio Gómez,13,WHU,1150,1110,MCI,1340,1360,2022,0.0,
0,0,0,0,0.0,925,0.0,0.0,0.0,0.0,345,0,0,0.0,0.0,2023-05-06,0,24,0,0,0,0,35,0,8854,0,1,2,0.0,0,-3,105,108,44,True,0,0,0,0,0.0,2,Sergio Gómez,13,LEE,1075,1120,MCI,1340,1360,2022,0.0,
0,0,2,0,0.2,925,0.0,0.0,0.0,0.0,356,0,0,0.0,0.2,2023-05-14,1,8,0,0,0,0,36,0,8870,0,3,0,0.0,1,-11,66,77,44,False,0,0,0,0,0.0,2,Sergio Gómez,13,EVE,1070,1040,MCI,1340,1380,2022,0.0,
0,1,27,1,15.1,925,0.0201715920120477,0.04,0.0209307018667459,1.08,365,0,0,2.3,4.4,2023-05-21,77,6,0,0,0,0,37,0,8896,1,0,1,3.0,7,3,93,90,44,True,0,1,1,0,0.0209307018667459,2,Sergio Gómez,13,CHE,1220,1220,MCI,1340,1360,2022,0.0209307018667459,
0,0,3,0,0.8,925,0.0,0.0,0.0,0.0,314,0,0,0.2,1.2,2023-05-24,6,5,0,0,0,0,37,0,8896,0,1,1,0.0,1,3,93,90,44,False,0,0,0,0,0.0,2,Sergio Gómez,13,BHA,1140,1200,MCI,1340,1380,2022,0.0,
0,0,11,0,0.0,925,0.2542814314365387,0.91,0.0625663921236991,0.41,373,1,0,0.0,0.0,2023-05-28,90,4,0,0,0,0,38,0,11545,1,0,1,0.0,2,2143,2431,288,44,False,0,2,2,0,0.0625663921236991,2,Sergio Gómez,13,BRE,1100,1130,MCI,1340,1380,2022,0.0625663921236991,
