assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,3,0,0.0,393,0.0,0.0,0.0,0.0,7,0,0,0.1,0.6,2022-08-06,1,16,0,0,0,0,1,0,191857,0,0,2,0.0,1,0,0,0,45,True,0,0,0,0,0.0,2,Sven Botman,15,NFO,1100,1105,NEW,1250,1165,2022,0.0,,1.8591,24.0,1.8591,0.235825,2.0,0.235825
0,1,28,1,0.3,393,0.0,0.0,0.0,1.5,14,0,0,1.2,11.8,2022-08-13,90,5,0,0,0,0,2,0,186217,1,0,0,0.0,7,-19456,7074,26530,45,False,0,0,0,0,0.0,2,Sven Botman,15,BHA,1140,1200,NEW,1300,1220,2022,0.0,,0.183952,2.0,0.183952,1.60835,15.0,1.60835
0,0,12,0,10.4,393,0.5041120052337646,0.23,0.0548931993544101,2.11,28,3,0,2.5,8.6,2022-08-21,90,13,0,0,0,0,3,0,193303,1,3,3,6.0,1,-1829,15100,16929,45,True,0,1,1,0,0.0548931993544101,2,Sven Botman,15,MCI,1340,1380,NEW,1250,1165,2022,0.0548931993544101,,2.2127,9.0,2.2127,3.67382,9.0,3.67382
0,0,14,0,1.1,393,0.0,0.01,0.0,0.71,40,1,0,2.6,18.6,2022-08-28,90,20,0,0,0,0,4,0,193679,1,1,1,6.0,2,-4792,11686,16478,45,False,0,0,0,0,0.0,2,Sven Botman,15,WOL,1100,1060,NEW,1300,1220,2022,0.0,,1.93362,13.0,1.93362,1.13248,3.0,1.13248
0,0,0,0,0.0,393,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2022-08-31,0,12,0,0,0,0,5,0,183809,0,1,2,0.0,0,-12140,5067,17207,45,False,0,0,0,0,0.0,2,Sven Botman,15,LIV,1180,1260,NEW,1300,1220,2022,0.0,,0.643546,2.0,0.643546,1.76119,13.0,1.76119
0,0,24,1,0.7,393,0.0,0.22,0.1809789985418319,1.01,57,0,0,6.2,14.6,2022-09-03,90,7,0,0,0,0,6,0,178010,1,0,0,47.0,6,-9181,8316,17497,44,True,0,2,0,0,0.1809789985418319,2,Sven Botman,15,CRY,1110,1090,NEW,1250,1165,2022,0.1809789985418319,,2.90672,10.0,2.90672,0.920595,4.0,0.920595
0,0,0,0,0.0,393,0.0,0.0,0.0,0.0,77,0,0,0.0,0.0,2022-09-17,0,3,0,0,0,0,8,0,216037,0,1,1,0.0,0,24833,35181,10348,44,True,0,0,0,0,0.0,2,Sven Botman,15,BOU,1110,1080,NEW,1250,1165,2022,0.0,,1.54758,18.0,0.786407,0.976948,5.0,0.976948
1,0,26,0,10.8,393,0.0583402998745441,0.05,0.0223325006663799,0.47,84,1,0,5.0,20.4,2022-10-01,90,9,0,0,0,0,9,0,190595,1,4,1,19.0,5,-18534,4548,23082,44,False,0,1,1,0,0.0223325006663799,2,Sven Botman,15,FUL,1070,1120,NEW,1300,1220,2022,0.0223325006663799,,4.67198,17.0,4.67198,0.683701,5.0,0.683701
0,0,22,0,0.8,393,0.0,0.09,0.0952226966619491,1.19,98,1,0,5.9,22.2,2022-10-08,90,4,0,0,0,0,10,0,197975,1,1,5,36.0,2,5408,14391,8983,44,True,0,2,0,0,0.0952226966619491,2,Sven Botman,15,BRE,1160,1200,NEW,1250,1165,2022,0.0952226966619491,,2.44631,9.0,2.44631,1.13466,4.0,0.373493
0,1,27,1,10.8,393,0.1024269983172416,0.26,0.0,0.82,107,0,0,3.5,19.8,2022-10-16,90,14,0,0,0,0,11,0,195102,1,0,0,4.0,7,-3211,6928,10139,44,False,0,0,1,0,0.0,2,Sven Botman,15,MUN,1140,1165,NEW,1300,1220,2022,0.0,,0.78815,9.0,0.78815,1.41606,8.0,1.41606
0,1,25,1,20.6,393,0.099097803235054,0.24,0.0,0.17,120,0,0,4.1,16.4,2022-10-19,90,8,0,0,0,0,12,0,225331,1,0,1,4.0,7,19006,23730,4724,44,True,0,0,2,0,0.0,2,Sven Botman,15,EVE,1100,1090,NEW,1250,1165,2022,0.0,,1.13393,8.0,1.13393,0.0609567,5.0,0.0609567
0,0,12,0,10.8,393,0.0771180987358093,0.14,0.0,1.65,128,1,0,3.4,20.8,2022-10-23,90,18,0,0,0,0,13,0,231465,1,2,1,2.0,2,15005,24158,9153,44,False,0,0,1,0,0.0,2,Sven Botman,15,TOT,1140,1170,NEW,1300,1220,2022,0.0,,1.1294,11.0,1.1294,1.56513,7.0,1.56513
0,0,23,1,0.4,393,0.0,0.01,0.0,0.37,140,0,0,0.8,7.4,2022-10-29,70,2,0,0,0,0,14,0,255147,1,0,4,0.0,6,21725,30452,8727,44,True,0,0,0,0,0.0,2,Sven Botman,15,AVL,1075,1130,NEW,1250,1165,2022,0.0,,4.18808,15.0,3.42692,0.270814,2.0,0.270814
0,0,15,0,0.1,393,0.0,0.0,0.0,1.74,147,1,0,2.1,18.4,2022-11-06,90,17,0,0,0,0,15,0,279987,1,4,1,2.0,2,22550,36778,14228,44,False,0,0,0,0,0.0,2,Sven Botman,15,SOU,1070,1060,NEW,1300,1220,2022,0.0,,1.42101,4.0,1.42101,1.65228,6.0,1.65228
0,1,26,1,1.0,393,0.0,0.0,0.0,0.3,156,0,0,1.7,15.8,2022-11-12,86,6,0,0,0,0,16,0,288079,1,0,1,0.0,7,7102,23280,16178,44,True,0,0,0,0,0.0,2,Sven Botman,15,CHE,1220,1220,NEW,1250,1165,2022,0.0,,1.3601,7.0,1.3601,0.359105,2.0,0.359105
0,0,28,1,0.4,393,0.0,0.06,0.0617083013057708,0.52,168,0,0,2.1,16.6,2022-12-26,90,11,0,0,0,0,17,0,394527,1,3,0,4.0,6,101741,239823,138082,44,False,0,1,0,0,0.0617083013057708,2,Sven Botman,15,LEI,1065,1200,NEW,1300,1220,2022,0.0617083013057708,,1.76382,5.0,1.00265,0.31099,4.0,0.31099
0,0,24,1,0.8,393,0.0,0.32,0.2801240086555481,0.47,176,0,0,3.6,18.4,2022-12-31,90,24,0,0,0,0,18,0,450857,1,0,0,17.0,6,55153,65385,10232,44,True,0,1,0,0,0.2801240086555481,2,Sven Botman,15,LEE,1075,1120,NEW,1250,1165,2022,0.2801240086555481,,2.78846,9.0,2.78846,0.517099,4.0,0.517099
0,0,23,1,0.4,393,0.0,0.0,0.0,1.13,181,0,0,1.8,16.0,2023-01-03,90,1,0,0,0,0,19,0,466567,1,0,0,2.0,6,15759,29913,14154,44,False,0,0,0,0,0.0,2,Sven Botman,15,ARS,1250,1240,NEW,1300,1220,2022,0.0,,0.959523,4.0,0.959523,0.970637,9.0,0.970637
0,0,25,1,1.1,393,0.0,0.02,0.0,1.14,197,0,0,2.2,20.4,2023-01-15,90,9,0,0,0,0,20,0,568451,1,0,1,0.0,6,96098,119474,23376,45,True,0,0,0,0,0.0,2,Sven Botman,15,FUL,1065,1140,NEW,1250,1165,2022,0.0,,1.96256,13.0,1.96256,0.989872,3.0,0.228703
0,0,25,1,1.5,393,0.0,0.08,0.0290204994380474,0.3,203,0,0,2.9,17.4,2023-01-21,90,7,0,0,0,0,21,0,622454,1,0,0,10.0,6,53518,69053,15535,45,False,0,1,0,0,0.0290204994380474,2,Sven Botman,15,CRY,1110,1060,NEW,1300,1220,2022,0.0290204994380474,,1.44384,13.0,1.44384,0.333154,3.0,0.333154
0,0,21,0,1.3,393,0.0,0.03,0.0380486994981765,1.01,217,1,0,3.3,27.6,2023-02-04,90,19,0,0,0,0,22,0,703696,1,1,1,4.0,2,76391,101605,25214,45,True,0,1,0,0,0.0380486994981765,2,Sven Botman,15,WHU,1150,1110,NEW,1250,1165,2022,0.0380486994981765,,1.22883,6.0,1.22883,1.27831,4.0,1.27831
0,0,13,0,11.0,393,0.0149486996233463,0.04,0.011086800135672,1.83,222,1,0,5.0,19.6,2023-02-11,90,3,0,0,0,0,23,0,707107,1,1,1,19.0,1,2491,28685,26194,45,False,1,1,1,0,0.011086800135672,2,Sven Botman,15,BOU,1020,1050,NEW,1300,1220,2022,0.011086800135672,,1.54853,6.0,1.54853,1.54458,4.0,1.54458
0,0,17,0,1.1,393,0.0,0.19,0.0544023998081684,2.37,237,2,0,2.5,18.4,2023-02-18,90,12,0,0,0,0,24,0,646055,1,2,0,5.0,1,-61595,10633,72228,45,True,0,1,0,0,0.0544023998081684,2,Sven Botman,15,LIV,1250,1300,NEW,1250,1165,2022,0.0544023998081684,,1.74852,5.0,1.74852,2.16549,7.0,2.16549
0,0,15,0,0.3,393,0.0,0.0,0.0,1.34,257,2,0,2.4,23.4,2023-03-04,90,13,0,0,0,0,26,0,601857,1,0,2,0.0,1,89019,135852,46833,45,False,0,0,0,0,0.0,2,Sven Botman,15,MCI,1340,1360,NEW,1300,1220,2022,0.0,,0.359809,7.0,0.359809,1.34144,12.0,1.34144
0,0,10,0,0.8,393,0.0,0.2,0.4817529916763305,1.12,268,1,0,1.8,9.2,2023-03-12,90,20,0,0,0,0,27,0,634748,1,1,2,8.0,2,31268,57269,26001,45,True,0,2,0,0,0.4817529916763305,2,Sven Botman,15,WOL,1100,1080,NEW,1250,1165,2022,0.4817529916763305,,2.45527,12.0,2.45527,0.709895,3.0,0.709895
0,0,9,0,0.8,393,0.0,0.01,0.0,0.38,278,1,0,0.4,3.2,2023-03-17,90,16,0,0,0,0,28,0,729430,1,2,1,0.0,2,73343,87679,14336,45,False,0,0,0,0,0.0,2,Sven Botman,15,NFO,1065,1030,NEW,1300,1220,2022,0.0,,2.50027,15.0,1.7391,0.531985,3.0,0.531985
0,1,26,1,0.3,393,0.0,0.0,0.0,0.43,288,0,0,1.7,15.0,2023-04-02,90,14,0,0,0,0,29,0,668743,1,0,2,2.0,7,-37553,17114,54667,45,True,0,0,0,0,0.0,2,Sven Botman,15,MUN,1220,1220,NEW,1250,1165,2022,0.0,,3.33162,11.0,3.33162,0.334127,5.0,0.334127
0,0,13,0,10.2,393,0.040998101234436,0.0,0.0,0.81,70,1,0,2.9,16.4,2023-04-05,90,19,0,0,0,0,29,0,668743,1,5,1,2.0,2,-37553,17114,54667,45,False,0,0,1,0,0.0,2,Sven Botman,15,WHU,1145,1060,NEW,1300,1220,2022,0.0,,2.84091,11.0,2.84091,0.83342,3.0,0.83342
0,0,13,0,0.4,393,0.0,0.21,0.111284002661705,2.65,292,1,0,3.6,14.6,2023-04-08,90,4,0,0,0,0,30,0,708388,1,2,1,21.0,1,33935,44332,10397,45,False,1,2,0,0,0.111284002661705,2,Sven Botman,15,BRE,1100,1130,NEW,1300,1220,2022,0.111284002661705,,1.02337,9.0,1.02337,2.06521,5.0,0.542871
0,0,15,0,0.7,393,0.0,0.0,0.0,1.93,301,3,0,1.7,16.2,2023-04-15,90,2,0,0,0,0,31,0,730674,1,0,3,0.0,1,21226,33369,12143,45,False,0,0,0,0,0.0,2,Sven Botman,15,AVL,1070,1070,NEW,1300,1220,2022,0.0,,0.425086,6.0,0.425086,1.91802,12.0,1.91802
0,0,14,0,0.8,393,0.0,0.02,0.0142855606973171,1.01,320,1,0,2.5,17.2,2023-04-23,90,18,0,0,0,0,32,0,643774,1,1,6,7.0,2,5174,21627,16453,45,True,0,1,0,0,0.0142855606973171,2,Sven Botman,15,TOT,1210,1230,NEW,1250,1165,2022,0.0142855606973171,,3.98532,12.0,3.98532,0.883001,2.0,0.883001
0,0,16,0,0.0,393,0.0,0.0,0.0,0.66,322,1,0,2.0,18.2,2023-04-27,90,8,0,0,0,0,33,0,758723,1,4,1,2.0,2,20787,43601,22814,45,False,0,0,0,0,0.0,2,Sven Botman,15,EVE,1070,1040,NEW,1300,1220,2022,0.0,,2.86368,9.0,2.86368,0.777008,6.0,0.777008
1,0,17,0,0.7,393,0.0,1.19,0.9362782835960388,0.83,340,1,0,6.0,12.4,2023-04-30,90,17,0,0,0,0,34,0,728885,1,1,3,47.0,5,-9599,27532,37131,45,True,0,3,0,0,0.9362782835960388,2,Sven Botman,15,SOU,1070,1080,NEW,1250,1165,2022,0.9362782835960388,,3.91457,12.0,3.91457,0.897175,4.0,0.897175
0,0,16,0,5.1,393,0.0,0.09,0.0277162436395883,1.2,346,2,0,4.9,22.6,2023-05-07,90,1,0,0,0,0,35,0,758490,1,2,0,21.0,1,7094,31002,23908,45,True,0,1,0,0,0.0277162436395883,2,Sven Botman,15,ARS,1250,1320,NEW,1250,1165,2022,0.0277162436395883,,1.37224,11.0,1.37224,1.29061,8.0,1.29061
0,0,15,0,0.1,393,0.0,0.0,0.0,2.06,357,2,0,1.4,14.0,2023-05-13,90,24,0,0,0,0,36,0,816825,1,2,2,0.0,1,57135,80109,22974,45,False,0,0,0,0,0.0,2,Sven Botman,15,LEE,1070,1130,NEW,1300,1220,2022,0.0,,2.35118,9.0,0.82884,2.01567,5.0,1.2545
0,0,8,0,0.7,393,0.0,0.01,0.0,0.49,248,1,0,1.1,8.0,2023-05-18,90,5,0,0,0,0,36,0,816825,1,1,4,2.0,2,57135,80109,22974,45,True,0,0,0,0,0.0,2,Sven Botman,15,BHA,1150,1200,NEW,1250,1165,2022,0.0,,4.11359,15.0,4.11359,0.593493,2.0,0.593493
0,2,26,1,13.8,393,0.0408077500760555,0.12,0.0467942729592323,0.07,366,0,0,3.2,14.2,2023-05-22,90,11,0,0,0,0,37,0,780967,1,0,0,4.0,8,-29839,13352,43191,45,True,0,1,1,0,0.0467942729592323,2,Sven Botman,15,LEI,1110,1120,NEW,1250,1165,2022,0.0467942729592323,,2.05089,13.0,2.05089,0.0839072,0.0,0.0839072
0,1,20,0,0.0,393,0.0,0.0,0.0,2.21,374,1,0,0.0,0.0,2023-05-28,90,6,0,0,0,0,38,0,787128,1,1,1,0.0,3,2716,16566,13850,45,False,0,0,0,0,0.0,2,Sven Botman,15,CHE,1190,1140,NEW,1300,1220,2022,0.0,,1.51899,5.0,1.51899,2.01924,17.0,2.01924
