assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,1,0,0.9,1003,0.0,0.0,0.0,0.99,8,2,0,0.5,4.0,2022-08-06,45,18,0,0,0,0,1,0,70717,1,1,4,0.0,0,0,0,0,40,False,0,0,0,0,0.0,2,Yan Valery,17,TOT,1140,1170,SOU,1070,1080,2022,0.0,
0,0,0,0,0.0,1003,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2022-08-13,0,24,0,0,0,0,2,0,82877,0,2,2,0.0,0,1842,7780,5938,40,True,0,0,0,0,0.0,2,Yan Valery,17,LEE,1075,1120,SOU,1070,1060,2022,0.0,
0,0,0,0,0.0,1003,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2022-08-20,0,11,0,0,0,0,3,0,83934,0,2,1,0.0,0,-2427,6509,8936,40,False,0,0,0,0,0.0,2,Yan Valery,17,LEI,1065,1200,SOU,1070,1080,2022,0.0,
0,0,0,0,0.0,1003,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2022-08-27,0,14,0,0,0,0,4,0,82239,0,1,0,0.0,0,-3902,3754,7656,40,True,0,0,0,0,0.0,2,Yan Valery,17,MUN,1220,1220,SOU,1070,1060,2022,0.0,
0,0,0,0,0.0,1003,0.0,0.0,0.0,0.0,50,0,0,0.0,0.0,2022-08-30,0,6,0,0,0,0,5,0,78893,0,1,2,0.0,0,-4657,1648,6305,40,True,0,0,0,0,0.0,2,Yan Valery,17,CHE,1220,1220,SOU,1070,1060,2022,0.0,
0,0,0,0,0.0,1003,0.0,0.0,0.1466580033302307,0.0,60,0,0,0.0,0.0,2022-09-03,0,20,0,0,0,0,6,0,70167,0,0,1,0.0,0,-9424,1102,10526,40,False,0,2,0,0,0.1466580033302307,2,Yan Valery,17,WOL,1100,1060,SOU,1070,1080,2022,0.1466580033302307,
0,0,0,0,0.0,1003,0.0,0.0,0.0,0.0,71,0,0,0.0,0.0,2022-09-16,0,2,0,0,0,0,8,0,56559,0,0,1,0.0,0,-4007,0,4007,40,False,0,0,0,0,0.0,2,Yan Valery,17,AVL,1070,1070,SOU,1070,1080,2022,0.0,
0,0,0,0,0.0,1003,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2022-10-01,0,8,0,0,0,0,9,0,53197,0,2,1,0.0,0,-4675,0,4675,40,True,0,0,0,0,0.0,2,Yan Valery,17,EVE,1100,1090,SOU,1070,1060,2022,0.0,
0,0,0,0,0.0,1003,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08,0,13,0,0,0,0,10,0,49951,0,0,4,0.0,0,-3274,0,3274,40,False,0,0,0,0,0.0,2,Yan Valery,17,MCI,1340,1360,SOU,1070,1080,2022,0.0,
0,0,0,0,0.0,1003,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2022-10-16,0,19,0,0,0,0,11,0,47900,0,1,1,0.0,0,-2118,0,2118,40,True,0,0,0,0,0.0,2,Yan Valery,17,WHU,1150,1110,SOU,1070,1060,2022,0.0,
