assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,2,0,0.0,123,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2022-08-07 13:00:00+00:00,1,14,0,0,0,0,1,0,71544,0,2,1,0.0,1,0,0,0,55,False,0,4,Deniz Undav,5,MUN,1140,1165,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2022-08-13 14:00:00+00:00,0,15,0,0,0,0,2,0,69223,0,0,0,0.0,0,-6866,3543,10409,55,True,0,4,Deniz Undav,5,NEW,1300,1220,BHA,1140,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2022-08-21 13:00:00+00:00,0,19,0,0,0,0,3,0,57152,0,2,0,0.0,0,-13492,2788,16280,54,False,0,4,Deniz Undav,5,WHU,1145,1060,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2022-08-27 14:00:00+00:00,0,11,0,0,0,0,4,0,48522,0,0,1,0.0,0,-9739,1837,11576,53,True,0,4,Deniz Undav,5,LEE,1075,1120,BHA,1140,1200,1,2022
0,0,-1,0,0.3,123,0.0,0.16,0.16,0.01,44,0,0,0.4,0.0,2022-08-30 18:30:00+00:00,11,9,0,0,0,0,5,0,42398,0,1,2,4.0,1,-7003,1942,8945,53,False,0,4,Deniz Undav,5,FUL,1070,1120,BHA,1150,1200,1,2022
0,0,6,0,10.3,123,0.09,0.09,0.0,0.04,53,0,0,1.7,4.2,2022-09-04 13:00:00+00:00,6,10,0,0,0,0,6,0,36926,0,2,5,2.0,1,-6206,2030,8236,52,True,0,4,Deniz Undav,5,LEI,1110,1120,BHA,1140,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2022-10-01 14:00:00+00:00,0,12,0,0,0,0,9,0,31131,0,3,3,0.0,0,-1182,1411,2593,51,False,0,4,Deniz Undav,5,LIV,1180,1260,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08 16:30:00+00:00,0,18,0,0,0,0,10,0,30654,0,1,0,0.0,0,-746,1722,2468,51,True,0,4,Deniz Undav,5,TOT,1210,1230,BHA,1140,1200,1,2022
0,0,1,0,3.8,123,0.02,0.27,0.25,0.1,102,0,0,4.5,0.0,2022-10-14 19:00:00+00:00,21,4,0,0,0,0,11,0,30043,0,0,2,43.0,1,-755,1095,1850,51,False,0,4,Deniz Undav,5,BRE,1100,1130,BHA,1150,1200,1,2022
0,0,4,0,12.7,123,0.03,0.03,0.0,0.0,114,0,0,1.9,2.0,2022-10-18 18:30:00+00:00,5,16,0,0,0,0,12,0,29437,0,0,0,4.0,1,-583,802,1385,51,True,0,4,Deniz Undav,5,NFO,1100,1105,BHA,1140,1200,1,2022
0,0,3,0,10.3,123,0.01,0.01,0.0,0.0,125,0,0,1.4,2.0,2022-10-22 14:00:00+00:00,11,13,0,0,0,0,13,0,29415,0,1,3,2.0,1,-297,921,1218,51,False,0,4,Deniz Undav,5,MCI,1340,1360,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2022-10-29 14:00:00+00:00,0,6,0,0,0,0,14,0,29200,0,1,4,0.0,0,-375,1273,1648,51,True,0,4,Deniz Undav,5,CHE,1220,1220,BHA,1140,1200,1,2022
0,0,2,0,0.3,123,0.0,0.09,0.09,0.12,150,0,0,2.3,3.2,2022-11-05 15:00:00+00:00,8,20,0,0,0,0,15,0,28854,0,3,2,19.0,1,-530,1344,1874,51,False,0,4,Deniz Undav,5,WOL,1100,1060,BHA,1150,1200,1,2022
0,0,3,0,0.8,123,0.01,0.08,0.07,0.03,152,0,0,1.9,0.0,2022-11-13 14:00:00+00:00,31,2,0,0,0,0,16,0,29038,0,2,1,18.0,1,22,1428,1406,51,True,0,4,Deniz Undav,5,AVL,1075,1130,BHA,1140,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,170,0,0,0.0,0.0,2022-12-26 15:00:00+00:00,0,17,0,0,0,0,17,0,30038,0,3,1,0.0,0,774,4768,3994,51,False,0,4,Deniz Undav,5,SOU,1070,1060,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31 17:30:00+00:00,0,1,0,0,0,0,18,0,29564,0,4,2,0.0,0,-537,702,1239,51,True,0,4,Deniz Undav,5,ARS,1250,1320,BHA,1140,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-01-03 19:45:00+00:00,0,8,0,0,0,0,19,0,29080,0,4,1,0.0,0,-541,615,1156,51,False,0,4,Deniz Undav,5,EVE,1070,1040,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-01-14 15:00:00+00:00,0,12,0,0,0,0,20,0,28374,0,0,3,0.0,0,-787,598,1385,51,True,0,4,Deniz Undav,5,LIV,1250,1300,BHA,1140,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,206,0,0,0.0,0.0,2023-01-21 15:00:00+00:00,0,10,0,0,0,0,21,0,27881,0,2,2,0.0,0,-571,416,987,51,False,0,4,Deniz Undav,5,LEI,1065,1200,BHA,1150,1200,1,2022
0,0,-1,1,23.1,123,0.54,1.51,0.97,0.67,213,0,0,7.0,10.2,2023-02-04 15:00:00+00:00,74,3,0,0,0,0,22,0,27497,1,0,1,37.0,2,-518,643,1161,51,True,0,4,Deniz Undav,5,BOU,1110,1080,BHA,1140,1200,1,2022
0,0,-2,0,5.5,123,0.0,0.24,0.24,0.17,223,0,0,3.1,0.0,2023-02-11 15:00:00+00:00,56,7,0,0,0,0,23,0,27542,1,1,1,26.0,1,-32,604,636,51,False,0,4,Deniz Undav,5,CRY,1110,1060,BHA,1150,1200,1,2022
0,0,-2,0,4.3,123,0.07,0.43,0.36,0.09,233,1,0,4.4,1.0,2023-02-18 15:00:00+00:00,17,9,0,0,0,0,24,0,27534,0,1,0,39.0,1,-102,545,647,51,True,0,4,Deniz Undav,5,FUL,1065,1140,BHA,1140,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,254,0,0,0.0,0.0,2023-03-04 15:00:00+00:00,0,19,0,0,0,0,26,0,27729,0,0,4,0.0,0,292,777,485,50,True,0,4,Deniz Undav,5,WHU,1150,1110,BHA,1140,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,265,0,0,0.0,0.0,2023-03-11 15:00:00+00:00,0,11,0,0,0,0,27,0,27610,0,2,2,0.0,0,-221,501,722,50,False,0,4,Deniz Undav,5,LEE,1070,1130,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-03-15 19:30:00+00:00,0,7,0,0,0,0,27,0,27610,0,0,1,0.0,0,-221,501,722,50,True,0,4,Deniz Undav,5,CRY,1110,1090,BHA,1140,1200,1,2022
1,0,12,0,0.3,123,0.0,0.31,0.31,0.0,283,0,0,0.9,0.2,2023-04-01 14:00:00+00:00,7,4,0,0,0,0,29,0,27259,0,3,3,8.0,4,-93,358,451,50,True,0,4,Deniz Undav,5,BRE,1160,1200,BHA,1140,1200,1,2022
0,0,3,0,0.0,123,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-04-04 18:45:00+00:00,1,3,0,0,0,0,29,0,27259,0,2,0,0.0,1,-93,358,451,50,False,0,4,Deniz Undav,5,BOU,1020,1050,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2023-04-08 14:00:00+00:00,0,18,0,0,0,0,30,0,27202,0,1,2,0.0,0,-136,220,356,50,False,0,4,Deniz Undav,5,TOT,1140,1170,BHA,1150,1200,1,2022
0,0,0,0,0.0,123,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2023-04-15 14:00:00+00:00,0,6,0,0,0,0,31,0,27155,0,2,1,0.0,0,-122,205,327,50,False,0,4,Deniz Undav,5,CHE,1190,1140,BHA,1150,1200,1,2022
0,0,2,0,13.1,123,0.07,0.07,0.0,0.79,324,1,0,2.0,1.2,2023-04-26 18:30:00+00:00,15,16,0,0,0,0,33,0,27515,0,1,3,6.0,1,459,691,232,50,False,0,4,Deniz Undav,5,NFO,1065,1030,BHA,1150,1200,1,2022
0,2,54,1,3.1,123,0.15,0.98,0.83,0.66,334,0,2,12.9,64.4,2023-04-29 14:00:00+00:00,79,20,0,0,0,0,34,0,28771,1,0,6,61.0,12,1015,1539,524,50,True,0,4,Deniz Undav,5,WOL,1100,1080,BHA,1140,1200,1,2022
0,0,4,0,1.0,123,0.02,0.07,0.05,0.07,274,0,0,0.8,1.6,2023-05-04 19:00:00+00:00,15,14,0,0,0,0,34,0,28771,0,0,1,5.0,1,1015,1539,524,50,True,0,4,Deniz Undav,5,MUN,1220,1220,BHA,1140,1200,1,2022
0,0,2,0,1.0,123,0.04,0.04,0.0,1.19,342,3,0,1.0,4.6,2023-05-08 16:30:00+00:00,45,8,0,0,0,0,35,0,35605,1,5,1,4.0,1,6574,7526,952,50,True,0,4,Deniz Undav,5,EVE,1100,1090,BHA,1140,1200,1,2022
1,2,36,0,10.3,123,0.02,0.46,0.44,0.22,351,0,1,8.2,40.4,2023-05-14 15:30:00+00:00,8,1,0,0,0,0,36,0,37052,0,3,0,31.0,10,1395,3340,1945,50,False,0,4,Deniz Undav,5,ARS,1250,1240,BHA,1150,1200,1,2022
0,0,17,0,3.4,123,0.0,0.17,0.17,2.21,248,2,1,4.5,22.4,2023-05-18 18:30:00+00:00,84,15,1,0,0,0,36,0,37052,1,1,4,19.0,3,1395,3340,1945,50,False,1,4,Deniz Undav,5,NEW,1250,1165,BHA,1150,1200,1,2022
0,0,2,0,0.8,123,0.01,0.05,0.04,0.0,362,0,0,0.2,0.0,2023-05-21 13:00:00+00:00,16,17,0,0,0,0,37,0,113054,0,1,3,3.0,1,67021,69691,2670,50,True,0,4,Deniz Undav,5,SOU,1070,1080,BHA,1140,1200,1,2022
0,0,3,0,1.3,123,0.01,0.01,0.0,0.07,314,0,0,0.4,0.2,2023-05-24 19:00:00+00:00,15,13,0,0,0,0,37,0,113054,0,1,1,2.0,1,67021,69691,2670,50,True,0,4,Deniz Undav,5,MCI,1340,1380,BHA,1140,1200,1,2022
0,0,23,0,0.0,123,0.16,1.07,0.91,2.59,372,2,1,0.0,0.0,2023-05-28 15:30:00+00:00,88,2,0,0,0,0,38,0,89828,1,1,2,0.0,5,-13569,4263,17832,50,False,1,4,Deniz Undav,5,AVL,1070,1070,BHA,1150,1200,1,2022
