assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06,0,9,0,0,0,0,1,0,55789,0,2,2,0.0,0,0,0,0,90,False,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,FUL,1070,1120,LIV,1250,1300,2022,0.0,,2.34111,11.0,2.34111,1.26822,4.0,0.507047
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2022-08-15,0,7,0,0,0,0,2,0,39445,0,1,1,0.0,0,-17552,431,17983,90,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,CRY,1110,1090,LIV,1180,1260,2022,0.0,,2.23596,20.0,2.23596,1.64468,2.0,1.64468
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,2022-08-22,0,14,0,0,0,0,3,0,34014,0,1,2,0.0,0,-7033,1949,8982,89,False,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,MUN,1140,1165,LIV,1250,1300,2022,0.0,,1.52301,16.0,1.52301,2.01764,8.0,2.01764
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2022-08-27,0,3,0,0,0,0,4,0,31172,0,0,9,0.0,0,-3829,848,4677,89,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,BOU,1110,1080,LIV,1180,1260,2022,0.0,,4.86035,18.0,4.86035,0.180991,4.0,0.180991
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2022-08-31,0,15,0,0,0,0,5,0,29251,0,1,2,0.0,0,-2420,367,2787,89,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,NEW,1300,1220,LIV,1180,1260,2022,0.0,,1.76119,13.0,1.76119,0.643546,2.0,0.643546
0,0,-1,0,20.5,317,0.1124380007386207,0.66,0.2332279980182647,0.08,55,0,0,3.4,1.2,2022-09-03,10,8,0,0,0,0,6,0,27647,0,0,0,12.0,1,-2049,613,2662,89,False,0,2,2,0,0.2332279980182647,4,Diogo Teixeira da Silva,12,EVE,1070,1040,LIV,1250,1300,2022,0.2332279980182647,,1.38617,12.0,1.38617,1.39169,10.0,1.39169
0,0,2,0,0.6,317,0.0,0.0,0.0,0.31,87,1,0,0.5,2.2,2022-10-01,15,5,0,0,0,0,9,0,43811,0,3,3,2.0,1,6864,9365,2501,89,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,BHA,1150,1200,LIV,1180,1260,2022,0.0,,2.1515,13.0,2.1515,2.36567,7.0,2.36567
1,0,15,0,14.9,317,0.1055670008063316,0.2,0.0,3.09,91,3,0,4.7,25.8,2022-10-09,80,1,0,0,0,0,10,0,44517,1,2,3,6.0,5,-647,5404,6051,89,False,0,0,1,0,0.0,4,Diogo Teixeira da Silva,12,ARS,1250,1240,LIV,1250,1300,2022,0.0,,0.765151,4.0,0.765151,2.81968,14.0,2.05851
0,0,12,1,45.0,317,0.4155440032482147,0.16,0.1954260021448135,0.98,106,0,0,9.1,23.4,2022-10-16,90,13,0,0,0,0,11,0,48378,1,0,1,23.0,1,2304,6542,4238,89,True,1,1,4,0,0.1954260021448135,4,Diogo Teixeira da Silva,12,MCI,1340,1380,LIV,1180,1260,2022,0.1954260021448135,,1.9992,6.0,1.9992,0.911493,17.0,0.911493
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2022-10-19,0,19,0,0,0,0,12,0,43343,0,0,1,0.0,0,-5566,5893,11459,89,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,WHU,1150,1110,LIV,1180,1260,2022,0.0,,2.24066,8.0,2.24066,2.48649,4.0,1.72532
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22,0,16,0,0,0,0,13,0,36046,0,0,1,0.0,0,-7198,130,7328,89,False,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,NFO,1065,1030,LIV,1250,1300,2022,0.0,,2.19752,13.0,2.19752,2.50163,6.0,2.50163
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2022-10-29,0,24,0,0,0,0,14,0,33567,0,2,1,0.0,0,-2617,126,2743,89,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,LEE,1075,1120,LIV,1180,1260,2022,0.0,,1.90889,14.0,1.90889,1.61271,6.0,1.61271
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2022-11-06,0,18,0,0,0,0,15,0,32488,0,2,1,0.0,0,-1202,122,1324,89,False,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,TOT,1140,1170,LIV,1250,1300,2022,0.0,,1.46548,7.0,1.46548,1.81736,4.0,1.81736
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2022-11-12,0,17,0,0,0,0,16,0,31906,0,1,3,0.0,0,-639,160,799,88,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,SOU,1070,1080,LIV,1180,1260,2022,0.0,,2.74418,10.0,2.74418,1.43427,9.0,1.43427
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,162,0,0,0.0,0.0,2022-12-26,0,2,0,0,0,0,17,0,31538,0,3,1,0.0,0,-556,1334,1890,88,False,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,AVL,1070,1070,LIV,1250,1300,2022,0.0,,3.50694,8.0,3.50694,1.69155,5.0,1.69155
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2022-12-30,0,11,0,0,0,0,18,0,31230,0,1,2,0.0,0,-370,110,480,88,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,LEI,1110,1120,LIV,1180,1260,2022,0.0,,2.02463,6.0,2.02463,0.863312,3.0,0.863312
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,183,0,0,0.0,0.0,2023-01-02,0,4,0,0,0,0,19,0,31086,0,1,3,0.0,0,-178,77,255,88,False,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,BRE,1100,1130,LIV,1250,1300,2022,0.0,,2.10461,19.0,2.10461,2.0991,0.0,2.0991
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-01-14,0,5,0,0,0,0,20,0,30783,0,0,3,0.0,0,-353,150,503,88,False,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,BHA,1140,1200,LIV,1250,1300,2022,0.0,,1.28853,5.0,1.28853,2.40062,13.0,2.40062
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,207,0,0,0.0,0.0,2023-01-21,0,6,0,0,0,0,21,0,30638,0,0,0,0.0,0,-199,148,347,88,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,CHE,1220,1220,LIV,1180,1260,2022,0.0,,1.30125,7.0,1.30125,1.84467,7.0,1.84467
0,0,0,0,0.0,317,0.0,0.0,0.0,0.0,220,0,0,0.0,0.0,2023-02-04,0,20,0,0,0,0,22,0,30352,0,0,3,0.0,0,-340,118,458,88,False,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,WOL,1100,1060,LIV,1250,1300,2022,0.0,,1.30193,14.0,1.30193,2.63328,5.0,2.63328
0,0,2,0,1.2,317,0.0,0.0,0.0,0.08,227,0,0,0.1,0.0,2023-02-13,20,8,0,0,0,0,23,0,30964,0,0,2,0.0,1,547,828,281,88,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,EVE,1100,1090,LIV,1180,1260,2022,0.0,,2.23291,7.0,2.23291,0.402331,3.0,0.402331
0,0,-3,0,5.8,317,0.0,0.7,0.6742820143699646,0.54,237,0,0,2.6,0.0,2023-02-18,31,15,0,0,0,0,24,0,35475,0,2,0,22.0,1,4095,4693,598,88,False,0,4,0,0,0.6742820143699646,4,Diogo Teixeira da Silva,12,NEW,1250,1165,LIV,1250,1300,2022,0.6742820143699646,,2.16549,7.0,2.16549,1.74852,5.0,1.74852
0,0,2,1,13.6,317,0.0174288991838693,0.36,0.4024820029735565,0.59,242,0,0,4.4,5.8,2023-02-25,70,7,0,0,0,0,25,0,57881,1,0,0,25.0,2,16017,20874,4857,88,False,0,4,1,0,0.4024820029735565,4,Diogo Teixeira da Silva,12,CRY,1110,1060,LIV,1250,1300,2022,0.4024820029735565,,1.35123,5.0,1.35123,0.989086,1.0,0.989086
1,0,17,1,25.4,317,0.6317989826202393,0.86,0.1618900001049041,0.93,67,0,0,5.6,17.0,2023-03-01,75,20,0,0,0,0,25,0,57881,1,0,2,14.0,5,16017,20874,4857,88,True,0,2,2,0,0.1618900001049041,4,Diogo Teixeira da Silva,12,WOL,1100,1080,LIV,1180,1260,2022,0.1618900001049041,,2.70191,11.0,2.70191,0.78681,4.0,0.78681
0,0,2,0,3.2,317,0.0,0.0,0.0,0.0,256,0,0,0.7,0.2,2023-03-05,12,14,0,0,0,0,26,0,52446,0,0,7,4.0,1,78,5857,5779,88,True,0,0,0,0,0.0,4,Diogo Teixeira da Silva,12,MUN,1220,1220,LIV,1180,1260,2022,0.0,,3.44269,14.0,3.44269,0.837542,3.0,0.837542
0,0,2,0,2.9,317,0.0,0.17,0.3206880092620849,0.06,261,0,0,3.6,6.2,2023-03-11,45,3,0,0,0,0,27,0,45467,0,0,1,27.0,1,-7446,2372,9818,88,False,0,2,0,0,0.3206880092620849,4,Diogo Teixeira da Silva,12,BOU,1020,1050,LIV,1250,1300,2022,0.3206880092620849,,2.13465,12.0,1.37349,1.10128,1.0,1.10128
1,0,17,0,22.4,317,0.14962899684906,0.05,0.0,2.28,287,3,0,5.2,25.2,2023-04-01,69,13,0,0,0,0,29,0,46369,1,1,4,4.0,5,3958,6493,2535,87,False,0,0,2,0,0.0,4,Diogo Teixeira da Silva,12,MCI,1340,1360,LIV,1250,1300,2022,0.0,,0.318171,3.0,0.318171,3.01243,18.0,3.01243
