assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2022-08-07,0,14,0,0,0,0,1,0,82551,0,2,1,0.0,0,0,0,0,65,False,0,0,0,0,0.0,4,Neal Maupay,5,MUN,1140,1165,BHA,1150,1200,2022,0.0,,1.7289,5.0,1.7289,1.42103,7.0,1.42103
0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2022-08-13,0,15,0,0,0,0,2,0,72337,0,0,0,0.0,0,-17499,4474,21973,64,True,0,0,0,0,0.0,4,Neal Maupay,5,NEW,1300,1220,BHA,1140,1200,2022,0.0,,1.60835,15.0,1.60835,0.183952,2.0,0.183952
0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2022-08-21,0,19,0,0,0,0,3,0,57573,0,2,0,0.0,0,-17960,3730,21690,63,False,0,0,0,0,0.0,4,Neal Maupay,5,WHU,1145,1060,BHA,1150,1200,2022,0.0,,1.82645,2.0,1.06528,0.768634,6.0,0.768634
0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2022-08-27,0,4,0,0,0,0,4,0,51137,0,1,1,0.0,0,-9175,4499,13674,63,False,0,0,0,0,0.0,4,Neal Maupay,8,BRE,1100,1130,EVE,1100,1090,2022,0.0,,1.65465,7.0,1.65465,2.28391,9.0,2.28391
0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2022-08-30,0,24,0,0,0,0,5,0,50793,0,1,1,0.0,0,-2172,6710,8882,62,False,0,0,0,0,0.0,4,Neal Maupay,8,LEE,1070,1130,EVE,1100,1090,2022,0.0,,1.17189,3.0,1.17189,1.04551,9.0,1.04551
0,0,4,1,42.5,229,0.255277007818222,1.09,0.9402329921722412,2.19,55,0,0,10.3,5.8,2022-09-03,90,12,0,0,0,0,6,0,44481,1,0,0,55.0,2,-7411,3462,10873,62,True,0,5,4,0,0.9402329921722412,4,Neal Maupay,8,LIV,1250,1300,EVE,1070,1040,2022,0.9402329921722412,,1.39169,10.0,1.39169,1.38617,12.0,1.38617
0,3,31,1,5.1,229,0.0,0.17,0.1166509985923767,1.04,75,0,1,6.4,34.0,2022-09-18,88,19,0,0,0,0,8,0,46881,1,0,1,25.0,9,455,3301,2846,61,True,0,2,0,1,0.1166509985923767,4,Neal Maupay,8,WHU,1150,1110,EVE,1070,1040,2022,0.1166509985923767,,0.39773,3.0,0.39773,0.655351,2.0,0.655351
0,0,0,0,2.1,229,0.0,0.46,0.7966669797897339,1.53,89,1,0,7.6,1.6,2022-10-01,88,17,0,0,0,0,9,0,67251,1,2,1,72.0,2,17184,22613,5429,61,False,0,3,0,0,0.7966669797897339,4,Neal Maupay,8,SOU,1070,1060,EVE,1100,1090,2022,0.7966669797897339,,1.99979,4.0,1.99979,1.95961,12.0,1.95961
0,0,6,0,1.6,229,0.0,0.0,0.0,1.45,96,2,0,0.8,2.6,2022-10-09,83,14,0,0,0,0,10,0,78807,1,2,1,4.0,2,10975,21481,10506,61,True,0,0,0,0,0.0,4,Neal Maupay,8,MUN,1220,1220,EVE,1070,1040,2022,0.0,,0.365844,7.0,0.365844,1.82612,8.0,1.82612
0,0,2,0,0.8,229,0.0,0.0,0.0,1.84,109,1,0,0.0,0.0,2022-10-15,65,18,0,0,0,0,11,0,76895,1,0,2,0.0,1,-2434,7128,9562,61,False,1,0,0,0,0.0,4,Neal Maupay,8,TOT,1140,1170,EVE,1100,1090,2022,0.0,,0.560039,0.0,0.560039,2.49409,8.0,1.73292
0,0,2,0,1.0,229,0.0,0.0,0.0,0.58,120,0,0,0.3,0.2,2022-10-19,17,15,0,0,0,0,12,0,72915,0,0,1,2.0,1,-3200,3750,6950,61,False,0,0,0,0,0.0,4,Neal Maupay,8,NEW,1250,1165,EVE,1100,1090,2022,0.0,,0.0609567,5.0,0.0609567,1.13393,8.0,1.13393
0,0,2,0,1.3,229,0.0,0.0,0.0,0.07,123,0,0,0.1,0.0,2022-10-22,12,7,0,0,0,0,13,0,69955,0,0,3,0.0,1,-5044,4085,9129,61,True,0,0,0,0,0.0,4,Neal Maupay,8,CRY,1110,1090,EVE,1070,1040,2022,0.0,,1.93396,5.0,1.93396,0.597167,4.0,0.597167
0,0,1,0,0.0,229,0.0,0.0,0.0,0.06,136,0,0,0.0,0.0,2022-10-29,4,9,0,0,0,0,14,0,62947,0,0,0,0.0,1,-7541,3046,10587,61,False,0,0,0,0,0.0,4,Neal Maupay,8,FUL,1070,1120,EVE,1100,1090,2022,0.0,,1.19166,2.0,1.19166,1.76438,11.0,1.76438
0,0,3,0,2.0,229,0.0,0.09,0.0858345031738281,0.83,143,1,0,4.4,0.2,2022-11-05,29,11,0,0,0,0,15,0,61992,0,2,0,42.0,1,-1727,5862,7589,61,True,0,1,0,0,0.0858345031738281,4,Neal Maupay,8,LEI,1110,1120,EVE,1070,1040,2022,0.0858345031738281,,1.3729,12.0,1.3729,2.2679,11.0,2.2679
0,0,3,0,11.6,229,0.0175308007746934,0.26,0.1197049990296363,2.25,151,3,0,4.5,4.0,2022-11-12,73,3,0,0,0,0,16,0,66178,1,0,3,29.0,2,3548,9775,6227,61,False,0,2,1,0,0.1197049990296363,4,Neal Maupay,8,BOU,1020,1050,EVE,1100,1090,2022,0.1197049990296363,,0.768756,7.0,0.768756,2.45642,8.0,2.45642
0,0,7,0,0.8,229,0.0,0.13,0.0890223011374473,0.48,166,1,0,2.3,8.4,2022-12-26,82,20,0,0,0,0,17,0,67452,1,2,1,14.0,2,186,15481,15295,61,True,0,2,0,0,0.0890223011374473,4,Neal Maupay,8,WOL,1100,1080,EVE,1070,1040,2022,0.0890223011374473,,1.22653,4.0,1.22653,1.22076,6.0,1.22076
0,0,-2,0,0.0,229,0.0,0.0,0.0,1.21,175,0,0,0.0,0.0,2022-12-31,20,13,0,0,0,0,18,0,62702,0,1,1,0.0,0,-5080,1895,6975,61,False,1,0,0,0,0.0,4,Neal Maupay,8,MCI,1340,1360,EVE,1100,1090,2022,0.0,,0.0760019,2.0,0.0760019,2.36333,13.0,2.36333
0,0,4,0,0.8,229,0.0,0.0,0.0,0.33,186,0,0,0.2,1.0,2023-01-03,26,5,0,0,0,0,19,0,60439,0,4,1,0.0,1,-2510,1827,4337,60,True,0,0,0,0,0.0,4,Neal Maupay,8,BHA,1150,1200,EVE,1070,1040,2022,0.0,,1.16896,4.0,0.407788,2.50731,4.0,2.50731
0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,195,0,0,0.0,0.0,2023-01-14,0,17,0,0,0,0,20,0,58108,0,2,1,0.0,0,-2780,2059,4839,60,True,0,0,0,0,0.0,4,Neal Maupay,8,SOU,1070,1080,EVE,1070,1040,2022,0.0,,1.18191,4.0,1.18191,1.08412,8.0,1.08412
0,0,0,0,0.0,229,0.0,0.0,0.0,0.0,210,0,0,0.0,0.0,2023-01-21,0,19,0,0,0,0,21,0,55103,0,0,2,0.0,0,-3252,712,3964,60,False,0,0,0,0,0.0,4,Neal Maupay,8,WHU,1145,1060,EVE,1100,1090,2022,0.0,,0.286826,4.0,0.286826,2.46879,3.0,2.46879
