assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2022-08-13,0,17,0,0,0,0,2,0,920,0,2,2,0.0,0,255,312,57,40,False,0,0,0,0,0.0,1,Joel Robles,24,SOU,1070,1060,LEE,1075,1120,2022,0.0,,1.99694,9.0,1.99694,1.40906,4.0,1.40906
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,2022-08-21,0,6,0,0,0,0,3,0,2597,0,0,3,0.0,0,570,802,232,40,True,0,0,0,0,0.0,1,Joel Robles,24,CHE,1220,1220,LEE,1070,1130,2022,0.0,,2.20971,1.0,2.20971,0.692492,7.0,0.692492
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2022-08-27,0,5,0,0,0,0,4,0,3594,0,0,1,0.0,0,225,605,380,40,False,0,0,0,0,0.0,1,Joel Robles,24,BHA,1140,1200,LEE,1075,1120,2022,0.0,,1.14874,5.0,1.14874,1.60986,6.0,1.60986
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2022-08-30,0,8,0,0,0,0,5,0,4039,0,1,1,0.0,0,-21,300,321,40,True,0,0,0,0,0.0,1,Joel Robles,24,EVE,1100,1090,LEE,1070,1130,2022,0.0,,1.04551,9.0,1.04551,1.17189,3.0,1.17189
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2022-09-03,0,4,0,0,0,0,6,0,4573,0,2,5,0.0,0,66,420,354,40,False,0,0,0,0,0.0,1,Joel Robles,24,BRE,1100,1130,LEE,1075,1120,2022,0.0,,1.796,9.0,1.796,2.7485,5.0,1.98734
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2022-10-02,0,2,0,0,0,0,9,0,5007,0,0,0,0.0,0,2,156,154,40,True,0,0,0,0,0.0,1,Joel Robles,24,AVL,1075,1130,LEE,1070,1130,2022,0.0,,0.298626,6.0,0.298626,1.89645,12.0,1.89645
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09,0,7,0,0,0,0,10,0,5140,0,1,2,0.0,0,-32,130,162,40,False,0,0,0,0,0.0,1,Joel Robles,24,CRY,1110,1060,LEE,1075,1120,2022,0.0,,1.06564,10.0,1.06564,1.65194,5.0,1.65194
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2022-10-16,0,1,0,0,0,0,11,0,5202,0,1,0,0.0,0,-21,136,157,40,True,0,0,0,0,0.0,1,Joel Robles,24,ARS,1250,1320,LEE,1070,1130,2022,0.0,,2.02232,8.0,1.26115,0.821757,5.0,0.821757
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2022-10-20,0,11,0,0,0,0,12,0,5302,0,0,2,0.0,0,-31,99,130,40,False,0,0,0,0,0.0,1,Joel Robles,24,LEI,1065,1200,LEE,1075,1120,2022,0.0,,1.19464,5.0,1.19464,0.655249,4.0,0.655249
0,0,0,0,0.0,914,0.0,0.0,0.0,0.0,124,0,0,0.0,0.0,2022-10-23,0,9,0,0,0,0,13,0,5288,0,3,2,0.0,0,-39,104,143,40,True,0,0,0,0,0.0,1,Joel Robles,24,FUL,1065,1140,LEE,1070,1130,2022,0.0,,1.96384,8.0,1.96384,2.47512,3.0,2.47512
