assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,3,0,0.0,802,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05,1,7,0,0,0,0,1,0,19266,0,2,0,0.0,1,0,0,0,45,False,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,CRY,1110,1060,ARS,1250,1320,2022,0.0,,1.43601,13.0,1.43601,1.20637,8.0,1.20637
0,0,0,0,0.0,802,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2022-08-13,0,11,0,0,0,0,2,0,25819,0,2,4,0.0,0,112,3667,3555,45,True,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,LEI,1110,1120,ARS,1250,1240,2022,0.0,,3.0107,10.0,3.0107,0.690679,5.0,0.690679
0,0,3,0,0.3,802,0.0,0.0,0.0,0.02,21,0,0,0.0,0.0,2022-08-20,2,3,0,0,0,0,3,0,24783,0,3,0,0.0,1,-3226,3055,6281,45,False,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,BOU,1020,1050,ARS,1250,1320,2022,0.0,,1.71081,8.0,1.71081,0.211335,1.0,0.211335
0,0,0,0,0.0,802,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2022-08-27,0,9,0,0,0,0,4,0,24708,0,1,2,0.0,0,-2096,3152,5248,44,True,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,FUL,1065,1140,ARS,1250,1240,2022,0.0,,2.47427,17.0,2.47427,0.926007,1.0,0.926007
0,0,15,0,6.2,802,0.0,0.03,0.0,0.45,41,1,0,1.7,10.8,2022-08-31,90,2,0,0,0,0,5,0,26009,1,1,2,0.0,2,-418,3244,3662,44,True,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,AVL,1075,1130,ARS,1250,1240,2022,0.0,,2.79971,18.0,2.79971,0.297168,3.0,0.297168
0,0,15,0,12.4,802,0.0172926001250743,0.02,0.0,1.25,56,2,0,2.0,7.4,2022-09-04,73,14,0,0,0,0,6,0,33910,1,1,3,0.0,2,4771,8785,4014,44,False,0,0,1,0,0.0,3,Albert Sambi Lokonga,1,MUN,1140,1165,ARS,1250,1320,2022,0.0,,1.42238,16.0,1.42238,2.02904,5.0,2.02904
0,0,4,0,0.9,802,0.0,0.0,0.0,0.04,72,0,0,0.3,1.6,2022-09-18,12,4,0,0,0,0,8,0,37082,0,3,0,0.0,1,-213,1949,2162,44,False,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,BRE,1100,1130,ARS,1250,1320,2022,0.0,,1.32021,9.0,1.32021,0.54011,3.0,0.54011
0,0,3,0,3.5,802,0.0,0.02,0.0,0.01,81,0,0,0.5,1.6,2022-10-01,17,18,0,0,0,0,9,0,36364,0,1,3,0.0,1,-404,2701,3105,44,True,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,TOT,1210,1230,ARS,1250,1240,2022,0.0,,2.48403,12.0,2.48403,1.5027,2.0,0.741526
0,0,0,0,0.0,802,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2022-10-09,0,12,0,0,0,0,10,0,34789,0,2,3,0.0,0,-1759,1572,3331,44,True,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,LIV,1250,1300,ARS,1250,1240,2022,0.0,,2.81968,14.0,2.05851,0.765151,4.0,0.765151
0,0,0,0,0.0,802,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2022-10-16,0,24,0,0,0,0,11,0,32381,0,1,0,0.0,0,-2541,489,3030,44,False,0,0,0,0,0.0,3,Albert Sambi Lokonga,1,LEE,1070,1130,ARS,1250,1320,2022,0.0,,0.821757,5.0,0.821757,2.02232,8.0,1.26115
