assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,3,0,0.3,182,0.0,0.0,0.0,0.0,10,0,0,0.2,0.0,2022-08-07 15:30:00+00:00,2,19,0,0,0,0,1,0,13764,0,2,0,2.0,1,0,0,0,45,False,0,3,Cole Palmer,13,WHU,1145,1060,MCI,1340,1380,1,2022
0,0,0,0,0.0,182,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2022-08-13 14:00:00+00:00,0,3,0,0,0,0,2,0,15494,0,0,4,0.0,0,-554,1910,2464,45,True,0,3,Cole Palmer,13,BOU,1110,1080,MCI,1340,1360,1,2022
0,0,0,0,0.0,182,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,2022-08-21 15:30:00+00:00,0,15,0,0,0,0,3,0,12151,0,3,3,0.0,0,-3338,359,3697,45,False,0,3,Cole Palmer,13,NEW,1250,1165,MCI,1340,1380,1,2022
0,0,4,0,1.3,182,0.01,0.01,0.0,0.0,37,0,0,0.3,1.4,2022-08-27 14:00:00+00:00,1,7,0,0,0,0,4,0,11564,0,2,4,0.0,1,-1196,498,1694,45,True,0,3,Cole Palmer,13,CRY,1110,1090,MCI,1340,1360,1,2022
0,0,6,0,7.1,182,0.01,0.01,0.0,0.33,49,0,0,1.9,5.6,2022-08-31 18:30:00+00:00,35,16,0,0,0,0,5,0,11191,0,0,6,6.0,1,-779,641,1420,45,True,0,3,Cole Palmer,13,NFO,1100,1105,MCI,1340,1360,1,2022
0,0,0,0,0.0,182,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2022-09-03 16:30:00+00:00,0,2,0,0,0,0,6,0,11532,0,1,1,0.0,0,-144,1459,1603,44,False,0,3,Cole Palmer,13,AVL,1070,1070,MCI,1340,1380,1,2022
0,0,1,0,11.3,182,0.03,0.06,0.03,0.0,80,0,0,1.9,2.0,2022-09-17 11:30:00+00:00,13,20,0,0,0,0,8,0,10644,0,3,0,6.0,1,-625,184,809,44,False,0,3,Cole Palmer,13,WOL,1100,1060,MCI,1340,1380,1,2022
0,0,5,0,14.8,182,0.09,0.09,0.0,1.48,88,2,0,2.3,6.4,2022-10-02 13:00:00+00:00,15,14,0,0,0,0,9,0,10747,0,3,6,2.0,1,-363,549,912,44,True,0,3,Cole Palmer,13,MUN,1220,1220,MCI,1340,1360,1,2022
0,0,3,0,1.6,182,0.04,0.08,0.04,0.1,97,0,0,2.6,2.2,2022-10-08 14:00:00+00:00,20,17,0,0,0,0,10,0,10278,0,0,4,22.0,1,-568,694,1262,44,True,0,3,Cole Palmer,13,SOU,1070,1080,MCI,1340,1360,1,2022
0,0,0,0,0.0,182,0.0,0.0,0.0,0.0,106,0,0,0.0,0.0,2022-10-16 15:30:00+00:00,0,12,0,0,0,0,11,0,11386,0,0,1,0.0,0,579,1855,1276,43,False,0,3,Cole Palmer,13,LIV,1180,1260,MCI,1340,1380,1,2022
