assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position
0,3,28,0,41.0,483,0.0813743025064468,0.29,0.1445879936218261,0.8,5,2,1,11.0,41.0,2022-08-06,90,24,0,0,0,0,1,0,38556,1,1,2,28.0,10,0,0,0,55,False,0,Daniel Castelo Podence,562,3,3,1,0.1445879936218261,20,LEE,1070,1130,WOL,1100,1080,1.0855256,6.6,1.147807,7.0,1.0855256,6.6,1.147807,7.0,1.458014,5.8,1.1968984,5.8,1.458014,5.8,1.1968984,5.8,2022,MID
0,0,-2,1,15.1,483,0.0868706032633781,0.2,0.3768280148506164,1.49,20,0,0,2.3,1.6,2022-08-13,90,9,0,0,0,0,2,0,189066,1,0,0,6.0,2,79112,96564,17452,55,True,1,Daniel Castelo Podence,562,1,1,0,0.3768280148506164,20,FUL,1065,1140,WOL,1100,1060,1.10119,9.0,0.88917,5.0,1.10119,9.0,0.88917,5.0,1.26822,4.0,2.34111,11.0,1.26822,4.0,2.34111,11.0,2022,MID
0,0,6,0,21.7,483,0.1149990037083625,0.1,0.0887728035449981,0.53,29,0,0,3.2,6.0,2022-08-20,58,18,0,0,0,0,3,0,179591,1,0,1,4.0,1,-11420,35401,46821,55,False,0,Daniel Castelo Podence,562,1,2,0,0.0887728035449981,20,TOT,1140,1170,WOL,1100,1080,1.0382825,5.0,0.98865,3.5,1.0382825,5.0,0.98865,3.5,1.60214,7.0,1.112998,9.5,1.60214,7.0,1.112998,9.5,2022,MID
0,0,3,0,0.3,483,0.0,0.01,0.0,0.53,40,1,0,0.0,0.0,2022-08-28,7,15,0,0,0,0,4,0,144768,0,1,1,0.0,1,-38579,8920,47499,55,True,0,Daniel Castelo Podence,562,0,0,0,0.0,20,NEW,1300,1220,WOL,1100,1060,0.920896,5.333333333333333,1.1477933333333334,5.0,0.920896,5.333333333333333,1.1477933333333334,5.0,1.4185839999999998,11.666666666666666,1.8393316666666664,8.666666666666666,1.4185839999999998,11.666666666666666,1.8393316666666664,8.666666666666666,2022,MID
0,0,3,0,22.1,483,0.500074028968811,0.51,0.3711880147457123,0.12,42,0,0,6.1,5.0,2022-08-31,15,3,0,0,0,0,5,0,124157,0,0,0,34.0,1,-23028,6006,29034,55,False,0,Daniel Castelo Podence,562,1,2,0,0.3711880147457123,20,BOU,1020,1050,WOL,1100,1080,0.973792,4.75,1.34425,7.0,0.973792,4.75,1.34425,7.0,0.27615325,2.0,2.18767375,12.0,0.27615325,2.0,2.18767375,12.0,2022,MID
0,3,28,1,43.9,483,0.1596290022134781,0.35,0.2735790014266968,1.09,60,0,1,10.6,40.6,2022-09-03,81,17,0,0,0,0,6,0,105177,1,0,1,21.0,11,-20148,2438,22586,55,True,0,Daniel Castelo Podence,562,1,3,1,0.2735790014266968,20,SOU,1070,1080,WOL,1100,1060,1.0816095,6.0,1.21246625,7.5,1.0855256,6.6,1.147807,7.0,1.362585,5.5,1.2720445,8.0,1.1673772,5.8,1.3410756,8.8,2022,MID
0,0,5,0,11.2,483,0.0676798969507217,0.04,0.0221263002604246,0.93,80,3,0,2.0,1.8,2022-09-17,69,13,0,0,0,0,8,0,125293,1,3,0,7.0,2,5786,11527,5741,55,True,0,Daniel Castelo Podence,562,1,1,0,0.0221263002604246,20,MCI,1340,1380,WOL,1100,1060,1.11286325,7.75,1.24252875,10.0,1.0880029999999998,6.833333333333333,1.1579024999999998,7.833333333333333,2.954535,13.0,0.8284549999999999,3.25,2.6826950000000003,12.333333333333334,0.6139923333333334,2.5,2022,MID
0,0,5,0,14.5,483,0.0851380974054336,0.24,0.0835176035761833,0.92,90,2,0,6.4,13.6,2022-10-01,90,19,0,0,0,0,9,0,125553,1,0,2,36.0,2,2310,14670,12360,55,False,0,Daniel Castelo Podence,562,4,1,0,0.0835176035761833,20,WHU,1145,1060,WOL,1100,1080,1.01908125,7.25,1.23205875,10.0,0.977001857142857,6.428571428571429,1.195945,7.857142857142857,0.9830525,2.25,0.5332257499999999,4.25,1.0047674285714283,3.4285714285714284,1.2169204285714286,4.857142857142857,2022,MID
0,0,-1,0,4.5,483,0.0,0.28,0.1534820050001144,1.91,94,3,0,3.2,0.0,2022-10-08,90,6,0,0,0,0,10,0,119158,1,0,3,28.0,2,-6579,8865,15444,55,False,0,Daniel Castelo Podence,562,2,0,0,0.1534820050001144,20,CHE,1190,1140,WOL,1100,1080,0.87995825,9.0,1.00848875,7.75,0.926875125,6.875,1.176369375,7.375,1.30406325,6.5,1.38264,4.0,1.3816207142857144,7.428571428571429,1.4099047142857144,3.142857142857143,2022,MID
0,0,7,1,14.7,483,0.0683000013232231,0.04,0.0,1.49,110,0,0,3.1,8.2,2022-10-15,90,16,0,0,0,0,11,0,128713,1,0,1,8.0,2,7958,17623,9665,55,True,1,Daniel Castelo Podence,562,0,1,0,0.0,20,NFO,1100,1105,WOL,1100,1060,0.6839555,6.5,1.52571,8.75,0.90705,6.555555555555555,1.315763888888889,7.777777777777778,1.046849,3.0,1.040382,7.0,0.9827063333333332,3.4444444444444446,1.758152,9.555555555555555,2022,MID
0,0,11,0,37.0,483,0.2172600030899047,0.16,0.0824948027729988,1.2,115,2,0,7.1,15.4,2022-10-18,90,7,0,0,0,0,12,0,119631,1,1,2,19.0,2,-5450,3941,9391,55,False,0,Daniel Castelo Podence,562,1,3,0,0.0824948027729988,20,CRY,1110,1060,WOL,1100,1080,0.714778,5.75,1.5355175,6.5,0.938713,6.4,1.3089485,7.3,0.90730325,3.0,1.5502115,11.25,1.140108,3.555555555555556,1.6311137777777778,11.88888888888889,2022,MID
0,0,2,0,37.1,483,0.0924182012677192,0.57,0.4124599993228912,0.89,130,4,0,12.1,13.8,2022-10-23,90,11,0,0,0,0,13,0,115116,1,4,0,70.0,2,-8540,2813,11353,54,True,0,Daniel Castelo Podence,562,5,2,0,0.4124599993228912,20,LEI,1110,1120,WOL,1100,1060,0.8514885,6.75,1.49351,6.5,0.9313606363636364,6.545454545454546,1.3041504545454543,7.363636363636363,1.01490625,8.0,0.978012,4.25,0.9713111818181818,6.636363636363637,1.5147331818181815,5.818181818181818,2022,MID
0,0,7,0,35.8,483,0.0901131033897399,0.23,0.1340470016002655,1.41,133,1,0,12.1,26.0,2022-10-29,90,4,0,0,0,0,14,0,104152,1,1,1,59.0,1,-11253,2181,13434,54,False,1,Daniel Castelo Podence,562,2,3,0,0.1340470016002655,20,BRE,1100,1130,WOL,1100,1080,1.111954,7.0,1.48094375,6.75,0.9885680833333332,6.916666666666667,1.2778941666666668,7.166666666666667,1.37448,5.5,2.1541412500000003,11.5,1.47057975,5.833333333333333,1.5978324166666669,8.416666666666666,2022,MID
