assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
1,0,28,1,46.1,371,0.21,0.41,0.2,0.28,7,0,0,11.1,39.0,2022-08-06 14:00:00+00:00,90,16,0,0,0,0,1,0,42379,1,0,2,26.0,6,0,0,0,60,True,0,3,Joelinton Cássio Apolinário de Lira,15,1,NFO,1100,1105,NEW,1250,1165,1,2022
0,0,10,1,14.0,371,0.02,0.02,0.0,1.5,14,0,0,3.0,14.2,2022-08-13 14:00:00+00:00,90,5,0,0,0,0,2,0,77813,1,0,0,2.0,2,16737,23292,6555,60,False,1,3,Joelinton Cássio Apolinário de Lira,15,2,BHA,1140,1200,NEW,1300,1220,1,2022
0,0,9,0,22.0,371,0.03,0.03,0.0,2.11,28,3,0,4.7,20.8,2022-08-21 15:30:00+00:00,90,13,0,0,0,0,3,0,68717,1,3,3,4.0,1,-10528,5823,16351,60,True,1,3,Joelinton Cássio Apolinário de Lira,15,3,MCI,1340,1380,NEW,1250,1165,1,2022
0,0,10,0,41.3,371,0.17,0.25,0.08,0.71,40,1,0,9.3,26.2,2022-08-28 13:00:00+00:00,90,20,0,0,0,0,4,0,64140,1,1,1,25.0,2,-7801,4294,12095,60,False,0,3,Joelinton Cássio Apolinário de Lira,15,4,WOL,1100,1060,NEW,1300,1220,1,2022
0,0,14,0,10.8,371,0.05,0.05,0.0,1.5,48,2,0,3.1,20.4,2022-08-31 19:00:00+00:00,90,12,0,0,0,0,5,0,59240,1,1,2,0.0,2,-6705,2911,9616,60,False,0,3,Joelinton Cássio Apolinário de Lira,15,5,LIV,1180,1260,NEW,1300,1220,1,2022
0,0,10,1,29.1,371,0.07,0.75,0.68,1.01,57,0,0,12.3,14.6,2022-09-03 14:00:00+00:00,90,7,0,0,0,0,6,0,69142,1,0,0,79.0,3,6325,14100,7775,60,True,0,3,Joelinton Cássio Apolinário de Lira,15,6,CRY,1110,1090,NEW,1250,1165,1,2022
0,0,5,0,5.4,371,0.03,0.26,0.23,0.75,77,1,0,3.8,4.0,2022-09-17 14:00:00+00:00,90,3,0,0,0,0,8,0,115027,1,1,1,29.0,1,31203,36542,5339,60,True,1,3,Joelinton Cássio Apolinário de Lira,15,8,BOU,1110,1080,NEW,1250,1165,1,2022
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2022-10-01 14:00:00+00:00,0,9,0,0,0,0,9,0,93375,0,4,1,0.0,0,-7736,8660,16396,60,False,0,3,Joelinton Cássio Apolinário de Lira,15,9,FUL,1070,1120,NEW,1300,1220,1,2022
1,0,11,0,1.3,371,0.05,0.05,0.0,0.22,98,0,0,1.0,4.8,2022-10-08 14:00:00+00:00,24,4,0,0,0,0,10,0,78849,0,1,5,4.0,4,-15118,4301,19419,60,True,0,3,Joelinton Cássio Apolinário de Lira,15,10,BRE,1160,1200,NEW,1250,1165,1,2022
0,0,0,1,1.5,371,0.03,0.35,0.32,0.82,107,0,0,3.3,5.0,2022-10-16 13:00:00+00:00,90,14,0,0,0,0,11,0,72356,1,0,0,26.0,3,-7238,1989,9227,60,False,0,3,Joelinton Cássio Apolinário de Lira,15,11,MUN,1140,1165,NEW,1300,1220,1,2022
0,0,2,0,1.6,371,0.03,0.03,0.0,0.17,120,0,0,0.8,2.4,2022-10-19 18:30:00+00:00,45,8,0,0,0,0,12,0,80299,1,0,1,4.0,0,4488,7787,3299,59,True,1,3,Joelinton Cássio Apolinário de Lira,15,12,EVE,1100,1090,NEW,1250,1165,1,2022
0,0,6,0,3.4,371,0.04,0.04,0.0,1.65,128,1,0,2.2,10.4,2022-10-23 15:30:00+00:00,90,18,0,0,0,0,13,0,64271,1,2,1,8.0,2,-13134,877,14011,59,False,0,3,Joelinton Cássio Apolinário de Lira,15,13,TOT,1140,1170,NEW,1300,1220,1,2022
0,0,28,1,25.0,371,0.05,0.71,0.66,0.37,140,0,1,10.4,43.2,2022-10-29 14:00:00+00:00,90,2,0,0,0,0,14,0,62820,1,0,4,36.0,7,-2115,4137,6252,59,True,1,3,Joelinton Cássio Apolinário de Lira,15,14,AVL,1075,1130,NEW,1250,1165,1,2022
0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2022-11-06 14:00:00+00:00,0,17,0,0,0,0,15,0,52851,0,4,1,0.0,0,-9785,1111,10896,59,False,0,3,Joelinton Cássio Apolinário de Lira,15,15,SOU,1070,1060,NEW,1300,1220,1,2022
0,0,14,1,14.9,371,0.18,0.29,0.11,0.3,156,0,0,3.7,11.4,2022-11-12 17:30:00+00:00,90,6,0,0,0,0,16,0,53730,1,0,1,11.0,3,64,2468,2404,59,True,0,3,Joelinton Cássio Apolinário de Lira,15,16,CHE,1220,1220,NEW,1250,1165,1,2022
