assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,3,0,0.2,98,0.0,0.0,0.0,0.11,6,0,0,0.7,5.2,2022-08-07,31,11,0,0,0,0,1,0,9624,0,2,2,2.0,1,0,0,0,55,False,0,0,0,0,0.0,3,Keane Lewis-Potter,4,LEI,1065,1200,BRE,1160,1200,2022,0.0,,0.931067,3.0,0.931067,0.455695,5.0,0.455695
0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2022-08-13,0,14,0,0,0,0,2,0,9983,0,0,4,0.0,0,-956,325,1281,55,True,0,0,0,0,0.0,3,Keane Lewis-Potter,4,MUN,1220,1220,BRE,1100,1130,2022,0.0,,1.38785,3.0,1.38785,0.896038,11.0,0.896038
0,0,4,0,10.2,98,0.0340507999062538,0.1,0.0487009994685649,1.07,24,1,0,3.7,3.2,2022-08-20,30,9,0,0,0,0,3,0,8677,0,2,3,24.0,1,-1826,337,2163,54,False,0,1,1,0,0.0487009994685649,3,Keane Lewis-Potter,4,FUL,1070,1120,BRE,1160,1200,2022,0.0487009994685649,,1.59352,8.0,1.59352,2.89934,7.0,2.89934
1,0,16,0,31.8,98,0.943453013896942,0.22,0.0264481008052825,0.26,33,0,0,6.1,19.4,2022-08-27,22,8,0,0,0,0,4,0,7464,0,1,1,10.0,4,-1413,159,1572,53,True,0,1,3,0,0.0264481008052825,3,Keane Lewis-Potter,4,EVE,1100,1090,BRE,1100,1130,2022,0.0264481008052825,,2.28391,9.0,2.28391,1.65465,7.0,1.65465
0,0,3,0,1.5,98,0.0,0.04,0.0270677004009485,0.87,43,1,0,1.1,1.4,2022-08-30,67,7,0,0,0,0,5,0,7958,1,1,1,8.0,2,63,641,578,53,False,0,1,0,0,0.0270677004009485,3,Keane Lewis-Potter,4,CRY,1110,1060,BRE,1160,1200,2022,0.0270677004009485,,1.61808,8.0,1.61808,0.777363,1.0,0.777363
0,0,-4,0,3.4,98,0.0,0.29,0.5440009832382202,0.49,52,1,0,7.0,6.2,2022-09-03,58,24,0,0,0,0,6,0,7906,1,2,5,60.0,1,-300,495,795,53,True,0,3,0,0,0.5440009832382202,3,Keane Lewis-Potter,4,LEE,1075,1120,BRE,1100,1130,2022,0.5440009832382202,,2.7485,5.0,1.98734,1.796,9.0,1.796
0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,72,0,0,0.0,0.0,2022-09-18,0,1,0,0,0,0,8,0,8018,0,3,0,0.0,0,-56,257,313,53,True,0,0,0,0,0.0,3,Keane Lewis-Potter,4,ARS,1250,1320,BRE,1100,1130,2022,0.0,,0.54011,3.0,0.54011,1.32021,9.0,1.32021
0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2022-10-01,0,3,0,0,0,0,9,0,6884,0,0,0,0.0,0,-1115,116,1231,53,False,0,0,0,0,0.0,3,Keane Lewis-Potter,4,BOU,1020,1050,BRE,1160,1200,2022,0.0,,1.046,9.0,1.046,0.758128,6.0,0.758128
0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2022-10-08,0,15,0,0,0,0,10,0,5970,0,1,5,0.0,0,-921,29,950,52,False,0,0,0,0,0.0,3,Keane Lewis-Potter,4,NEW,1250,1165,BRE,1160,1200,2022,0.0,,1.13466,4.0,0.373493,2.44631,9.0,2.44631
0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2022-10-14,0,5,0,0,0,0,11,0,5684,0,0,2,0.0,0,-325,53,378,52,True,0,0,0,0,0.0,3,Keane Lewis-Potter,4,BHA,1150,1200,BRE,1100,1130,2022,0.0,,1.90636,8.0,1.1452,2.15668,14.0,2.15668
