assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order
0,0,2,0,0.3,106,0.0,0.0,0.0,0.02,192,0,0,0.1,0.2,2023-01-14,8,3,0,0,0,0,20,0,215,0,0,2,0.0,1,193,207,14,50,True,0,0,0,0,0.0,3,Kevin Schade,4,BOU,1110,1080,BRE,1100,1130,2022,0.0,
0,0,0,0,0.0,106,0.0,0.0,0.0,0.0,205,0,0,0.0,0.0,2023-01-22,0,24,0,0,0,0,21,0,270,0,0,0,0.0,0,25,84,59,50,False,0,0,0,0,0.0,3,Kevin Schade,4,LEE,1070,1130,BRE,1160,1200,2022,0.0,
0,0,1,0,0.5,106,0.0,0.0,0.0,0.11,212,0,0,0.7,2.0,2023-02-04,16,17,0,0,0,0,22,0,308,0,0,3,4.0,1,-32,53,85,50,True,0,0,0,0,0.0,3,Kevin Schade,4,SOU,1070,1080,BRE,1100,1130,2022,0.0,
0,0,-1,0,0.0,106,0.0,0.0,0.0,0.0,221,0,0,0.0,0.0,2023-02-11,1,1,0,0,0,0,23,0,325,0,1,1,0.0,0,-11,35,46,50,False,1,0,0,0,0.0,3,Kevin Schade,4,ARS,1250,1240,BRE,1160,1200,2022,0.0,
0,0,2,0,5.0,106,0.0,0.18,0.1347929984331131,0.82,232,1,0,1.8,0.2,2023-02-18,27,7,0,0,0,0,24,0,356,0,1,1,13.0,1,-13,34,47,50,True,0,2,0,0,0.1347929984331131,3,Kevin Schade,4,CRY,1110,1090,BRE,1100,1130,2022,0.1347929984331131,
1,0,18,0,10.5,106,0.403346985578537,0.09,0.0,0.29,253,1,0,3.7,20.0,2023-03-06,13,9,0,0,0,0,26,0,360,0,2,3,6.0,4,-3,23,26,49,True,0,0,1,0,0.0,3,Kevin Schade,4,FUL,1065,1140,BRE,1100,1130,2022,0.0,
0,0,2,0,0.5,106,0.0,0.35,0.1876309961080551,0.03,263,0,0,1.9,0.0,2023-03-11,28,8,0,0,0,0,27,0,503,0,0,1,19.0,1,126,163,37,49,False,0,2,0,0,0.1876309961080551,3,Kevin Schade,4,EVE,1070,1040,BRE,1160,1200,2022,0.1876309961080551,
0,0,10,1,21.5,106,0.3397360146045685,0.09,0.0230778995901346,0.43,69,0,0,4.2,8.6,2023-03-15,64,17,0,0,0,0,27,0,503,1,2,0,12.0,3,126,163,37,49,False,0,1,2,0,0.0230778995901346,3,Kevin Schade,4,SOU,1070,1060,BRE,1160,1200,2022,0.0230778995901346,
0,0,1,0,0.3,106,0.0,0.0,0.0,0.42,273,0,0,0.1,0.0,2023-03-18,29,11,0,0,0,0,28,0,722,0,1,1,2.0,1,120,169,49,49,True,0,0,0,0,0.0,3,Kevin Schade,4,LEI,1110,1120,BRE,1100,1130,2022,0.0,
0,0,0,0,0.0,106,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2023-04-01,0,5,0,0,0,0,29,0,594,0,3,3,0.0,0,-50,51,101,49,False,0,0,0,0,0.0,3,Kevin Schade,4,BHA,1140,1200,BRE,1160,1200,2022,0.0,
