assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,7,0,4.8,699,0.23,0.47,0.24,0.56,207,0,0,3.2,14.6,2023-01-21 12:30:00+00:00,35,12,0,0,0,0,21,0,70537,0,0,0,13.0,1,68142,72837,4695,70,False,0,3,Mykhailo Mudryk,6,LIV,1180,1260,CHE,1220,1220,1,2022
0,0,3,0,1.1,699,0.01,0.01,0.0,0.17,214,0,0,0.6,0.8,2023-02-03 20:00:00+00:00,45,9,0,0,0,0,22,0,381406,1,0,0,4.0,1,299468,317871,18403,70,True,0,3,Mykhailo Mudryk,6,FUL,1065,1140,CHE,1190,1140,1,2022
0,0,10,0,1.9,699,0.04,0.04,0.0,1.16,230,1,0,1.3,4.6,2023-02-11 12:30:00+00:00,66,19,0,0,0,0,23,0,323304,1,1,1,6.0,2,-53066,33753,86819,70,False,0,3,Mykhailo Mudryk,6,WHU,1145,1060,CHE,1220,1220,1,2022
0,0,-2,0,0.2,699,0.0,0.05,0.05,0.34,234,0,0,0.5,0.0,2023-02-18 15:00:00+00:00,26,17,0,0,0,0,24,0,285604,0,1,0,7.0,1,-40038,27933,67971,69,True,0,3,Mykhailo Mudryk,6,SOU,1070,1080,CHE,1190,1140,1,2022
0,0,-3,0,0.5,699,0.0,0.04,0.04,0.0,249,0,0,0.0,0.0,2023-02-26 13:30:00+00:00,7,18,0,0,0,0,25,0,212503,0,0,2,1.0,1,-60583,8003,68586,68,False,0,3,Mykhailo Mudryk,6,TOT,1140,1170,CHE,1220,1220,1,2022
0,0,0,0,0.0,699,0.0,0.0,0.0,0.0,255,0,0,0.0,0.0,2023-03-04 15:00:00+00:00,0,11,0,0,0,0,26,0,181060,0,0,1,0.0,0,-47867,7021,54888,67,True,0,3,Mykhailo Mudryk,6,LEE,1075,1120,CHE,1190,1140,1,2022
1,0,11,0,21.0,699,0.05,0.1,0.05,2.32,266,1,0,5.0,20.0,2023-03-11 15:00:00+00:00,81,10,0,0,0,0,27,0,131986,1,3,1,9.0,5,-49373,3700,53073,65,False,0,3,Mykhailo Mudryk,6,LEI,1065,1200,CHE,1220,1220,1,2022
0,0,0,0,0.0,699,0.0,0.0,0.0,0.0,275,0,0,0.0,0.0,2023-03-18 17:30:00+00:00,0,8,0,0,0,0,28,0,220078,0,2,2,0.0,0,61497,71682,10185,65,True,0,3,Mykhailo Mudryk,6,EVE,1100,1090,CHE,1190,1140,1,2022
0,0,-5,0,3.2,699,0.04,0.69,0.65,0.77,284,2,0,3.8,5.0,2023-04-01 16:30:00+00:00,56,2,0,0,0,0,29,0,158001,1,2,0,30.0,1,-35851,7419,43270,65,True,0,3,Mykhailo Mudryk,6,AVL,1075,1130,CHE,1190,1140,1,2022
0,0,4,0,10.5,699,0.01,0.01,0.0,0.0,74,0,0,1.6,3.4,2023-04-04 19:00:00+00:00,12,12,0,0,0,0,29,0,158001,0,0,0,2.0,1,-35851,7419,43270,65,True,0,3,Mykhailo Mudryk,6,LIV,1250,1300,CHE,1190,1140,1,2022
0,0,2,0,0.3,699,0.03,0.03,0.0,0.0,300,0,0,0.3,3.0,2023-04-08 14:00:00+00:00,22,20,0,0,0,0,30,0,133306,0,0,1,0.0,1,-26485,2249,28734,65,False,0,3,Mykhailo Mudryk,6,WOL,1100,1060,CHE,1220,1220,1,2022
1,0,14,0,12.0,699,0.05,0.19,0.14,2.28,302,2,0,5.2,17.0,2023-04-15 14:00:00+00:00,90,5,0,0,0,0,31,0,117190,1,2,1,23.0,5,-16526,2146,18672,65,True,0,3,Mykhailo Mudryk,6,BHA,1150,1200,CHE,1190,1140,1,2022
0,0,12,0,18.7,699,0.07,0.07,0.0,0.33,328,1,0,3.0,5.4,2023-04-26 18:45:00+00:00,45,4,0,0,0,0,33,0,103194,0,2,0,6.0,1,-3809,1278,5087,65,True,0,3,Mykhailo Mudryk,6,BRE,1160,1200,CHE,1190,1140,1,2022
0,0,7,0,38.8,699,0.48,0.48,0.0,0.14,331,0,0,5.0,9.0,2023-05-02 19:00:00+00:00,19,1,0,0,0,0,34,0,95800,0,1,3,2.0,1,-7228,647,7875,65,False,0,3,Mykhailo Mudryk,6,ARS,1250,1240,CHE,1220,1220,1,2022
0,0,2,0,4.0,699,0.09,0.09,0.0,0.43,341,1,0,0.5,0.0,2023-05-06 14:00:00+00:00,62,3,0,0,0,0,35,0,94449,1,3,1,2.0,1,-2056,3293,5349,65,False,1,3,Mykhailo Mudryk,6,BOU,1020,1050,CHE,1220,1220,1,2022
0,0,0,0,0.0,699,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2023-05-13 14:00:00+00:00,0,16,0,0,0,0,36,0,93185,0,2,2,0.0,0,-1567,2584,4151,65,True,0,3,Mykhailo Mudryk,6,NFO,1100,1105,CHE,1190,1140,1,2022
0,0,3,0,14.0,699,0.09,0.16,0.07,0.2,365,0,0,2.3,0.0,2023-05-21 15:00:00+00:00,21,13,0,0,0,0,37,0,93452,0,0,1,9.0,1,-220,3792,4012,64,False,0,3,Mykhailo Mudryk,6,MCI,1340,1360,CHE,1220,1220,1,2022
0,0,8,0,15.4,699,0.07,0.65,0.58,2.18,319,2,0,5.9,18.0,2023-05-25 19:00:00+00:00,63,14,0,0,0,0,37,0,93452,1,1,4,26.0,2,-220,3792,4012,64,False,0,3,Mykhailo Mudryk,6,MUN,1140,1165,CHE,1220,1220,1,2022
0,0,0,0,0.0,699,0.0,0.0,0.0,0.0,374,0,0,0.0,0.0,2023-05-28 15:30:00+00:00,0,15,0,0,0,0,38,0,93116,0,1,1,0.0,0,-178,2796,2974,64,True,0,3,Mykhailo Mudryk,6,NEW,1300,1220,CHE,1190,1140,1,2022
